property_id,valuation_uncertainty_risk,developer_risk,locality_quality_risk,market_liquidity_risk,price_volatility_risk,risk_score,risk_band
74,9.58,47.08,23.77,18.02,4.26,20.81,LOW
75,37.95,7.4,43.41,62.07,2.53,32.44,MODERATE
76,4.98,31.05,44.94,41.99,4.2,25.47,LOW
77,9.55,39.87,54.59,66.05,6.77,35.5,MODERATE
78,18.19,9.17,61.63,40.68,4.75,27.56,LOW
79,19.69,13.5,44.65,72.77,3.22,31.59,MODERATE
80,26.68,52.85,47.81,43.54,7.25,36.6,MODERATE
81,27.34,46.27,50.05,54.59,6.49,37.99,MODERATE
82,24.54,77.67,52.06,66.65,0.0,45.41,MODERATE
83,2.7,30.65,43.42,67.64,5.36,29.82,LOW
84,43.06,28.79,40.22,58.67,10.3,37.84,MODERATE
85,41.32,50.43,28.14,37.62,28.48,37.84,MODERATE
86,35.5,38.81,34.09,22.41,5.31,28.73,LOW
87,10.17,55.28,49.86,55.73,6.34,35.67,MODERATE
88,2.84,52.85,40.22,58.67,10.3,32.6,MODERATE
89,56.8,30.65,44.14,84.78,4.01,46.72,MODERATE
90,6.58,35.8,44.39,16.48,3.54,21.51,LOW
91,7.53,79.62,46.47,69.35,1.31,41.17,MODERATE
92,41.1,39.87,64.62,62.23,1.45,43.84,MODERATE
93,13.99,30.65,27.39,79.52,5.52,31.84,MODERATE
94,9.25,39.87,54.59,66.05,6.77,35.43,MODERATE
95,63.13,55.28,45.14,30.75,2.65,42.41,MODERATE
96,39.17,70.78,64.62,62.23,1.45,49.54,MODERATE
97,4.87,50.43,44.65,72.77,3.22,35.27,MODERATE
98,7.69,45.61,49.06,88.54,1.51,38.79,MODERATE
99,0.23,9.3,74.34,80.87,5.45,33.78,MODERATE
100,13.35,9.17,37.97,85.55,7.91,31.06,MODERATE
101,39.96,77.67,66.25,44.11,5.32,48.39,MODERATE
102,45.84,39.19,53.49,50.77,10.04,41.65,MODERATE
103,9.61,44.85,42.71,43.66,6.29,29.59,LOW
104,3.07,50.98,67.09,69.3,9.98,39.74,MODERATE
105,11.11,52.85,62.96,56.72,14.21,39.41,MODERATE
106,10.62,49.18,44.14,84.78,4.01,38.88,MODERATE
107,7.76,81.78,56.62,50.18,100.0,54.66,MODERATE
108,100.0,9.3,62.34,56.72,6.72,51.68,MODERATE
109,12.03,33.91,27.73,28.53,9.45,22.46,LOW
110,22.82,52.85,48.0,31.83,2.74,32.65,MODERATE
111,1.72,7.4,28.14,37.62,28.48,19.34,LOW
112,15.12,28.79,41.04,21.17,0.05,21.99,LOW
113,26.1,45.69,37.2,33.49,4.35,30.45,MODERATE
114,37.36,49.18,43.87,39.72,19.26,38.78,MODERATE
115,13.16,67.71,52.06,66.65,0.0,40.57,MODERATE
116,14.32,44.85,46.74,32.43,8.08,29.6,LOW
117,9.88,27.6,43.21,37.75,6.15,25.11,LOW
118,53.17,9.17,50.05,54.59,6.49,37.03,MODERATE
119,12.97,27.6,55.38,71.74,7.53,35.32,MODERATE
120,30.97,44.42,36.69,13.35,13.11,28.6,LOW
121,22.77,9.17,49.33,36.19,8.62,25.92,LOW
122,46.48,81.78,37.2,33.49,4.35,42.77,MODERATE
123,65.29,54.51,41.57,33.83,3.77,42.87,MODERATE
124,5.07,50.43,28.14,37.62,28.48,28.78,LOW
125,6.34,46.27,53.94,66.16,1.04,35.01,MODERATE
126,5.64,30.5,50.05,54.59,6.49,29.41,LOW
127,60.35,45.69,38.77,75.74,3.32,47.62,MODERATE
128,6.45,13.5,61.34,75.53,1.78,31.95,MODERATE
129,20.16,31.05,44.94,41.99,4.2,29.26,LOW
130,26.35,9.3,64.55,94.57,7.93,41.46,MODERATE
131,8.06,9.17,49.33,36.19,8.62,22.25,LOW
132,9.8,39.87,62.23,24.09,4.71,28.39,LOW
133,18.59,45.69,38.77,75.74,3.32,37.18,MODERATE
134,5.81,30.65,40.22,58.67,10.3,28.9,LOW
135,43.12,28.79,66.25,44.11,5.32,39.41,MODERATE
136,4.96,77.67,66.25,44.11,5.32,39.64,MODERATE
137,37.35,9.3,63.25,50.14,3.97,34.47,MODERATE
138,0.51,39.87,44.39,16.48,3.54,20.81,LOW
139,12.9,55.29,43.87,39.72,19.26,33.89,MODERATE
140,1.54,45.61,46.74,32.43,8.08,26.55,LOW
141,37.56,45.61,61.51,50.38,8.86,42.22,MODERATE
142,14.33,50.43,44.65,72.77,3.22,37.64,MODERATE
143,9.73,21.89,74.34,80.87,5.45,38.67,MODERATE
144,33.21,44.42,45.14,30.75,2.65,32.76,MODERATE
145,22.88,13.5,44.65,72.77,3.22,32.39,MODERATE
146,49.14,32.66,23.77,18.02,4.26,27.81,LOW
147,17.67,13.5,45.17,43.38,7.55,25.96,LOW
148,9.84,55.29,43.41,62.07,2.53,34.99,MODERATE
149,4.39,27.6,45.17,43.38,7.55,25.46,LOW
150,19.26,45.61,46.74,32.43,8.08,30.98,MODERATE
151,16.5,30.65,44.14,84.78,4.01,36.64,MODERATE
152,13.7,45.69,35.93,38.19,7.67,28.54,LOW
153,72.02,30.5,52.61,51.56,6.38,45.89,MODERATE
154,83.45,30.65,40.07,84.98,2.17,52.33,MODERATE
155,12.94,28.79,49.08,53.12,1.49,29.66,LOW
156,19.71,13.5,61.69,65.14,8.5,34.27,MODERATE
157,3.73,44.85,46.74,32.43,8.08,26.95,LOW
158,49.84,41.92,63.25,50.14,3.97,44.12,MODERATE
159,17.53,52.85,40.22,58.67,10.3,36.27,MODERATE
160,2.58,50.98,43.42,67.64,5.36,33.85,MODERATE
161,29.82,32.66,44.94,41.99,4.2,32.0,MODERATE
162,34.28,81.78,45.96,28.05,13.05,41.69,MODERATE
163,13.52,54.69,36.79,73.54,2.69,36.79,MODERATE
164,19.39,44.42,40.22,58.67,10.3,35.06,MODERATE
165,11.41,45.69,37.2,33.49,4.35,26.78,LOW
166,17.38,13.5,44.65,72.77,3.22,31.01,MODERATE
167,15.5,92.37,34.3,19.13,10.61,34.63,MODERATE
168,3.77,13.5,45.17,43.38,7.55,22.48,LOW
169,10.06,22.06,33.99,44.43,2.53,22.99,LOW
170,22.61,52.85,23.77,18.02,4.26,25.22,LOW
171,11.55,79.62,62.83,59.7,4.82,44.04,MODERATE
172,58.43,30.5,50.05,54.59,6.49,42.61,MODERATE
173,18.51,50.98,35.93,38.19,7.67,30.8,MODERATE
174,1.28,13.5,36.69,13.35,13.11,14.99,LOW
175,9.89,81.78,45.96,28.05,13.05,35.59,MODERATE
176,4.83,81.03,61.34,75.53,1.78,45.06,MODERATE
177,37.39,46.27,32.94,31.9,6.06,32.48,MODERATE
178,9.81,35.8,33.99,44.43,2.53,25.68,LOW
179,10.98,27.6,49.06,88.54,1.51,36.01,MODERATE
180,23.87,44.85,46.74,32.43,8.08,31.98,MODERATE
181,5.61,70.78,64.62,62.23,1.45,41.15,MODERATE
182,16.17,22.06,48.0,31.83,2.74,24.83,LOW
183,24.06,81.03,64.25,82.95,6.21,52.59,MODERATE
184,21.05,35.8,43.21,37.75,6.15,29.54,LOW
185,54.87,55.29,45.17,43.38,7.55,43.62,MODERATE
186,11.0,22.06,33.99,44.43,2.53,23.22,LOW
187,32.32,54.51,47.75,23.78,2.21,33.62,MODERATE
188,38.38,31.05,26.54,32.88,8.7,29.0,LOW
189,3.23,35.8,37.97,85.55,7.91,33.86,MODERATE
190,38.34,39.19,69.63,63.49,5.5,44.87,MODERATE
191,13.48,9.17,50.05,54.59,6.49,27.11,LOW
192,34.77,54.51,62.83,59.7,4.82,44.82,MODERATE
193,14.82,45.69,35.93,38.19,7.67,28.82,LOW
194,16.75,39.19,52.61,51.56,6.38,33.82,MODERATE
195,9.56,81.03,37.97,85.55,7.91,44.49,MODERATE
196,0.87,67.71,26.54,32.88,8.7,26.95,LOW
197,39.71,55.29,37.2,33.49,4.35,35.77,MODERATE
198,66.12,9.3,54.8,54.62,4.34,40.92,MODERATE
199,1.09,38.81,46.47,69.35,1.31,31.4,MODERATE
200,8.71,32.66,36.79,73.54,2.69,31.18,MODERATE
201,19.18,50.43,64.55,94.57,7.93,47.89,MODERATE
202,46.13,35.8,43.21,37.75,6.15,35.81,MODERATE
203,20.97,38.81,46.47,69.35,1.31,36.36,MODERATE
204,4.93,9.3,44.14,84.78,4.01,29.48,LOW
205,40.45,7.4,41.57,33.83,3.77,27.24,LOW
206,33.45,67.71,62.96,56.72,14.21,47.97,MODERATE
207,29.61,52.85,61.4,60.31,7.14,43.39,MODERATE
208,37.2,27.8,49.06,88.54,1.51,42.61,MODERATE
209,47.9,35.8,37.97,85.55,7.91,45.03,MODERATE
210,29.81,27.6,64.55,94.57,7.93,45.99,MODERATE
211,13.68,50.43,49.08,53.12,1.49,34.17,MODERATE
212,13.01,92.37,37.2,33.49,4.35,36.51,MODERATE
213,1.92,50.98,41.44,31.24,6.52,26.19,LOW
214,4.69,79.62,46.47,69.35,1.31,40.46,MODERATE
215,39.92,39.87,34.3,19.13,10.61,30.23,MODERATE
216,17.03,50.98,26.82,39.87,3.59,28.33,LOW
217,4.08,45.69,62.96,56.72,14.21,36.22,MODERATE
218,13.57,67.71,55.74,73.6,6.83,43.83,MODERATE
219,52.36,49.18,44.14,84.78,4.01,49.31,MODERATE
220,0.28,41.92,46.14,60.26,0.85,29.86,LOW
221,4.72,44.85,46.74,32.43,8.08,27.2,LOW
222,8.18,92.37,67.74,76.58,5.54,50.21,MODERATE
223,30.19,50.43,63.25,50.14,3.97,40.91,MODERATE
224,25.8,39.19,67.09,69.3,9.98,43.06,MODERATE
225,24.6,52.85,64.62,62.23,1.45,42.31,MODERATE
226,27.79,28.79,49.79,22.56,7.83,28.35,LOW
227,28.23,35.8,37.97,85.55,7.91,40.11,MODERATE
228,1.62,28.79,66.25,44.11,5.32,29.03,LOW
229,6.68,54.51,43.21,37.75,6.15,29.69,LOW
230,1.73,81.78,63.25,50.14,3.97,40.06,MODERATE
231,1.82,50.43,64.55,94.57,7.93,43.55,MODERATE
232,38.95,39.87,50.05,54.59,6.49,39.61,MODERATE
233,3.55,33.91,43.41,62.07,2.53,29.15,LOW
234,18.53,9.3,40.07,84.98,2.17,31.83,MODERATE
235,11.62,35.8,41.44,31.24,6.52,25.58,LOW
236,28.8,54.51,74.34,80.87,5.45,49.96,MODERATE
237,23.5,67.71,63.25,50.14,3.97,42.69,MODERATE
238,12.79,39.19,28.14,37.62,28.48,28.46,LOW
239,13.11,39.87,61.4,60.31,7.14,36.67,MODERATE
240,9.22,44.85,43.21,37.75,6.15,28.39,LOW
241,59.44,33.91,37.7,35.87,3.28,36.85,MODERATE
242,12.42,38.81,59.24,22.75,11.82,29.04,LOW
243,3.97,38.81,46.47,69.35,1.31,32.12,MODERATE
244,63.42,41.92,34.09,22.41,5.31,36.34,MODERATE
245,9.37,30.5,46.03,96.31,7.43,38.03,MODERATE
246,2.46,27.8,53.94,66.16,1.04,30.35,MODERATE
247,3.71,50.98,49.08,53.12,1.49,31.79,MODERATE
248,55.0,45.61,43.21,37.75,6.15,39.98,MODERATE
249,10.63,44.42,37.7,35.87,3.28,26.75,LOW
250,11.31,30.5,43.41,62.07,2.53,30.4,MODERATE
251,7.01,52.85,61.4,60.31,7.14,37.74,MODERATE
252,4.12,47.08,64.62,62.23,1.45,36.03,MODERATE
253,7.27,39.19,28.14,37.62,28.48,27.08,LOW
254,19.86,33.91,49.79,22.56,7.83,27.39,LOW
255,9.79,52.85,55.16,54.74,3.55,35.53,MODERATE
256,24.59,92.37,37.2,33.49,4.35,39.41,MODERATE
257,12.5,22.06,49.28,20.61,8.21,22.75,LOW
258,48.38,55.28,27.73,28.53,9.45,35.82,MODERATE
259,5.31,44.42,61.51,50.38,8.86,33.92,MODERATE
260,2.08,55.29,43.41,62.07,2.53,33.05,MODERATE
261,24.18,9.17,34.49,52.59,6.05,26.2,LOW
262,35.86,30.65,40.07,84.98,2.17,40.43,MODERATE
263,25.95,39.87,27.73,28.53,9.45,27.13,LOW
264,23.81,39.87,34.3,19.13,10.61,26.2,LOW
265,100.0,31.05,34.3,19.13,10.61,43.49,MODERATE
266,29.8,44.85,43.21,37.75,6.15,33.53,MODERATE
267,31.49,13.5,37.2,33.49,4.35,25.36,LOW
268,5.79,41.92,37.97,85.55,7.91,35.72,MODERATE
269,4.26,49.18,40.07,84.98,2.17,36.24,MODERATE
270,52.14,9.3,44.14,84.78,4.01,41.28,MODERATE
271,31.9,13.5,34.09,22.41,5.31,22.77,LOW
272,22.2,31.05,47.71,75.92,5.14,37.26,MODERATE
273,43.85,49.18,53.49,50.77,10.04,43.16,MODERATE
274,19.71,28.79,62.83,59.7,4.82,35.92,MODERATE
275,84.86,92.37,34.3,19.13,10.61,51.97,MODERATE
276,52.69,31.05,43.87,39.72,19.26,38.99,MODERATE
277,11.51,41.92,37.97,85.55,7.91,37.15,MODERATE
278,65.03,7.4,62.34,56.72,6.72,42.56,MODERATE
279,27.29,33.91,49.79,22.56,7.83,29.25,LOW
280,28.6,32.66,67.09,69.3,9.98,42.46,MODERATE
281,58.07,9.17,40.22,58.67,10.3,37.67,MODERATE
282,19.58,67.71,26.54,32.88,8.7,31.63,MODERATE
283,37.41,47.08,49.08,53.12,1.49,39.43,MODERATE
284,9.25,9.3,54.8,54.62,4.34,26.71,LOW
285,7.73,44.42,44.94,41.99,4.2,28.83,LOW
286,19.17,47.08,43.87,39.72,19.26,33.82,MODERATE
287,7.5,55.28,49.86,55.73,6.34,35.0,MODERATE
288,10.62,31.05,47.75,23.78,2.21,23.5,LOW
289,8.06,9.3,64.55,94.57,7.93,36.89,MODERATE
290,7.35,27.8,50.05,54.59,6.49,29.3,LOW
291,31.69,39.19,49.06,88.54,1.51,43.51,MODERATE
292,7.72,32.66,44.94,41.99,4.2,26.48,LOW
293,100.0,33.91,42.71,43.66,6.29,50.0,MODERATE
294,6.07,28.79,48.0,31.83,2.74,23.65,LOW
295,37.62,67.71,63.25,50.14,3.97,46.22,MODERATE
296,1.36,77.67,55.38,71.74,7.53,42.43,MODERATE
297,22.6,9.17,32.94,31.9,6.06,21.36,LOW
298,5.8,52.85,62.96,56.72,14.21,38.09,MODERATE
299,11.15,22.06,49.28,20.61,8.21,22.41,LOW
300,12.0,28.79,41.04,21.17,0.05,21.21,LOW
301,19.99,28.79,41.04,21.17,0.05,23.2,LOW
302,28.13,27.8,40.07,84.98,2.17,37.93,MODERATE
303,3.81,30.65,40.22,58.67,10.3,28.4,LOW
304,49.52,41.92,41.44,31.24,6.52,36.28,MODERATE
305,16.3,31.05,49.28,20.61,8.21,25.49,LOW
306,87.55,55.28,61.63,40.68,4.75,54.12,MODERATE
307,16.33,45.61,49.06,88.54,1.51,40.95,MODERATE
308,5.02,7.4,28.14,37.62,28.48,20.16,LOW
309,91.16,44.85,46.74,32.43,8.08,48.81,MODERATE
310,36.64,54.69,53.94,66.16,1.04,44.27,MODERATE
311,1.65,39.87,50.05,54.59,6.49,30.29,MODERATE
312,20.73,55.28,49.86,55.73,6.34,38.31,MODERATE
313,3.57,54.51,43.21,37.75,6.15,28.91,LOW
314,13.34,44.42,45.14,30.75,2.65,27.79,LOW
315,9.66,30.65,40.07,84.98,2.17,33.88,MODERATE
316,70.47,9.17,37.97,85.55,7.91,45.34,MODERATE
317,37.44,46.27,53.94,66.16,1.04,42.79,MODERATE
318,33.67,30.5,52.61,51.56,6.38,36.31,MODERATE
319,17.44,67.71,26.54,32.88,8.7,31.09,MODERATE
320,72.5,32.66,67.09,69.3,9.98,53.43,MODERATE
321,24.2,45.61,41.04,21.17,0.05,27.62,LOW
322,5.11,67.71,62.96,56.72,14.21,40.89,MODERATE
323,39.19,30.5,52.61,51.56,6.38,37.69,MODERATE
324,10.47,45.69,44.94,41.99,4.2,29.77,LOW
325,46.97,54.69,53.94,66.16,1.04,46.86,MODERATE
326,18.06,45.69,38.77,75.74,3.32,37.05,MODERATE
327,15.67,45.69,35.93,38.19,7.67,29.03,LOW
328,21.46,22.06,37.7,35.87,3.28,24.98,LOW
329,5.45,39.87,44.39,16.48,3.54,22.04,LOW
330,18.12,45.69,38.77,75.74,3.32,37.07,MODERATE
331,9.92,46.27,46.47,69.35,1.31,35.09,MODERATE
332,5.75,30.5,47.75,23.78,2.21,22.18,LOW
333,4.98,9.3,64.55,94.57,7.93,36.12,MODERATE
334,10.33,50.43,27.39,79.52,5.52,34.88,MODERATE
335,23.96,27.6,36.51,72.54,8.54,34.6,MODERATE
336,65.51,46.27,50.05,54.59,6.49,47.53,MODERATE
337,36.81,47.08,61.63,40.68,4.75,39.79,MODERATE
338,34.54,27.8,53.94,66.16,1.04,38.37,MODERATE
339,20.8,44.42,61.51,50.38,8.86,37.79,MODERATE
340,60.23,44.42,54.8,54.62,4.34,46.48,MODERATE
341,19.25,9.3,74.34,80.87,5.45,38.53,MODERATE
342,25.94,39.19,69.63,63.49,5.5,41.77,MODERATE
343,31.36,31.05,34.49,52.59,6.05,32.37,MODERATE
344,0.72,38.81,62.96,56.72,14.21,34.01,MODERATE
345,3.07,50.43,32.94,31.9,6.06,24.73,LOW
346,24.05,54.69,45.17,43.38,7.55,35.79,MODERATE
347,83.8,31.05,26.54,32.88,8.7,40.35,MODERATE
348,19.43,27.6,37.2,33.49,4.35,25.17,LOW
349,26.87,35.8,33.99,44.43,2.53,29.94,LOW
350,40.86,22.06,37.7,35.87,3.28,29.83,LOW
351,7.4,9.3,35.93,38.19,7.67,19.68,LOW
352,1.78,22.06,54.8,54.62,4.34,27.39,LOW
353,1.35,50.98,35.93,38.19,7.67,26.51,LOW
354,5.82,54.51,45.17,43.38,7.55,31.2,MODERATE
355,8.32,44.85,46.74,32.43,8.08,28.09,LOW
356,1.83,39.19,42.71,43.66,6.29,26.51,LOW
357,26.42,31.05,26.54,32.88,8.7,26.01,LOW
358,12.2,9.17,49.33,36.19,8.62,23.28,LOW
359,100.0,33.91,43.41,62.07,2.53,53.26,MODERATE
360,35.76,44.42,44.94,41.99,4.2,35.84,MODERATE
361,41.28,47.08,56.62,50.18,100.0,56.09,ELEVATED
362,2.37,79.62,62.83,59.7,4.82,41.75,MODERATE
363,11.93,55.29,26.54,32.88,8.7,27.23,LOW
364,11.98,30.65,44.14,84.78,4.01,35.51,MODERATE
365,8.72,22.06,48.0,31.83,2.74,22.97,LOW
366,31.7,30.65,67.74,76.58,5.54,43.75,MODERATE
367,30.51,31.05,47.75,23.78,2.21,28.47,LOW
368,13.35,21.89,44.65,72.77,3.22,31.68,MODERATE
369,34.57,52.85,61.4,60.31,7.14,44.63,MODERATE
370,29.15,31.05,43.87,39.72,19.26,33.11,MODERATE
371,11.5,28.79,66.25,44.11,5.32,31.5,MODERATE
372,8.58,45.69,59.24,22.75,11.82,29.45,LOW
373,19.16,27.6,37.2,33.49,4.35,25.1,LOW
374,17.6,7.4,56.62,50.18,100.0,42.24,MODERATE
375,0.74,32.66,34.3,19.13,10.61,19.0,LOW
376,17.41,81.78,74.84,21.52,9.31,41.38,MODERATE
377,5.5,13.5,37.97,85.55,7.91,29.97,LOW
378,8.03,32.66,27.39,79.52,5.52,30.75,MODERATE
379,35.08,21.89,42.71,43.66,6.29,31.36,MODERATE
380,32.23,45.61,43.21,37.75,6.15,34.29,MODERATE
381,10.63,39.19,43.72,62.22,4.4,32.34,MODERATE
382,7.64,50.98,62.34,56.72,6.72,36.92,MODERATE
383,16.01,44.42,40.22,58.67,10.3,34.21,MODERATE
384,13.53,49.18,44.14,84.78,4.01,39.61,MODERATE
385,40.89,27.8,50.05,54.59,6.49,37.68,MODERATE
386,45.5,9.17,34.49,52.59,6.05,31.53,MODERATE
387,3.47,50.43,49.06,88.54,1.51,38.7,MODERATE
388,18.28,55.29,37.2,33.49,4.35,30.42,MODERATE
389,31.22,9.17,34.49,52.59,6.05,27.96,LOW
390,23.77,44.85,32.58,28.53,7.36,28.24,LOW
391,8.9,49.18,34.3,19.13,10.61,24.34,LOW
392,9.46,30.65,64.25,82.95,6.21,38.87,MODERATE
393,29.03,9.3,46.14,60.26,0.85,30.52,MODERATE
394,20.24,30.65,43.41,62.07,2.53,32.66,MODERATE
395,10.8,92.37,43.21,37.75,6.15,38.29,MODERATE
396,34.23,54.69,34.49,52.59,6.05,37.82,MODERATE
397,22.61,22.06,45.17,43.38,7.55,28.91,LOW
398,0.33,9.17,49.33,36.19,8.62,20.31,LOW
399,28.89,28.79,49.79,22.56,7.83,28.62,LOW
400,12.55,7.4,41.44,31.24,6.52,20.13,LOW
401,13.56,49.18,49.33,36.19,8.62,31.62,MODERATE
402,17.95,70.78,59.46,42.01,6.98,39.98,MODERATE
403,40.21,55.29,47.75,23.78,2.21,35.75,MODERATE
404,18.57,79.62,54.8,54.62,4.34,43.1,MODERATE
405,15.2,39.87,67.09,69.3,9.98,40.55,MODERATE
406,42.6,67.71,63.25,50.14,3.97,47.46,MODERATE
407,38.86,92.37,32.58,28.53,7.36,41.51,MODERATE
408,22.82,92.37,32.58,28.53,7.36,37.5,MODERATE
409,19.75,92.37,32.58,28.53,7.36,36.74,MODERATE
410,3.39,54.51,74.34,80.87,5.45,43.61,MODERATE
411,2.69,55.29,43.87,39.72,19.26,31.34,MODERATE
412,10.97,39.19,56.62,50.18,100.0,46.94,MODERATE
413,1.31,13.5,26.82,39.87,3.59,16.9,LOW
414,0.95,54.51,64.55,94.57,7.93,44.15,MODERATE
415,35.87,44.42,28.14,37.62,28.48,35.28,MODERATE
416,12.58,55.29,55.74,73.6,6.83,41.1,MODERATE
417,2.33,77.67,38.77,75.74,3.32,39.52,MODERATE
418,4.2,13.5,45.17,43.38,7.55,22.59,LOW
419,5.76,49.18,49.33,36.19,8.62,29.67,LOW
420,3.64,30.65,33.99,44.43,2.53,23.1,LOW
421,37.03,44.85,43.21,37.75,6.15,35.34,MODERATE
422,7.24,92.37,34.3,19.13,10.61,32.56,MODERATE
423,44.59,54.69,41.04,21.17,0.05,34.54,MODERATE
424,33.79,35.8,67.09,69.3,9.98,44.38,MODERATE
425,3.54,30.5,43.72,62.22,4.4,28.84,LOW
426,25.13,44.85,42.71,43.66,6.29,33.47,MODERATE
427,21.65,39.87,35.93,38.19,7.67,29.36,LOW
428,14.2,81.78,37.2,33.49,4.35,34.7,MODERATE
429,6.65,30.65,54.59,66.05,6.77,32.94,MODERATE
430,46.37,30.5,56.62,50.18,100.0,54.05,MODERATE
431,34.44,50.98,43.42,67.64,5.36,41.82,MODERATE
432,10.66,70.78,54.8,54.62,4.34,39.36,MODERATE
433,38.07,52.85,64.62,62.23,1.45,45.67,MODERATE
434,20.18,55.29,46.47,69.35,1.31,39.46,MODERATE
435,20.79,67.71,63.25,50.14,3.97,42.01,MODERATE
436,18.4,47.08,45.14,30.75,2.65,29.59,LOW
437,34.11,9.3,32.94,31.9,6.06,24.26,LOW
438,3.83,49.18,43.87,39.72,19.26,30.4,MODERATE
439,18.48,13.5,49.28,20.61,8.21,22.53,LOW
440,0.17,9.17,46.47,69.35,1.31,25.24,LOW
441,20.53,55.28,62.83,59.7,4.82,41.42,MODERATE
442,62.54,45.61,62.03,35.4,11.62,45.98,MODERATE
