infrastructure_id,locality_id,type,latitude,longitude,distance_from_center,expected_completion,impact_score
162,71,Metro,27.012408,79.446261,12.46,2028-06-27,19.2
163,72,Mall,24.440705,72.619543,3.41,2028-09-04,78.4
164,72,Airport,24.425244,72.532253,9.73,2025-06-17,71.1
165,73,Highway,17.223627,76.024996,1.25,2026-10-27,96.2
166,73,Airport,17.282998,76.009717,9.38,2026-09-08,67.2
167,73,Business District,17.228479,76.020857,8.44,2028-01-06,56.0
168,74,Business District,19.904701,82.323255,1.68,2025-10-26,86.3
169,74,Mall,19.911389,82.315125,7.45,2026-11-08,28.8
170,74,Mall,19.885751,82.268308,11.95,2026-01-21,81.1
171,75,Highway,20.17156,73.491771,9.97,2028-05-16,70.1
172,75,Highway,20.220426,73.509639,10.36,2026-11-16,20.1
173,75,Hospital,20.197233,73.510043,12.69,2027-04-21,82.6
174,76,School,19.602778,73.545256,7.82,2026-03-07,54.5
175,77,Metro,11.730927,85.866483,0.93,2028-09-03,91.4
176,77,Business District,11.769597,85.849849,4.51,2026-12-23,29.1
177,78,Airport,8.596704,75.911635,9.53,2028-10-21,87.5
178,78,Highway,8.583068,75.9311,9.23,2026-06-21,75.5
179,78,Airport,8.529222,75.987709,3.12,2029-05-14,59.5
180,79,Mall,13.022105,83.689668,7.96,2029-07-21,83.5
181,79,Metro,13.001292,83.654663,9.96,2026-12-10,42.5
182,80,Hospital,8.217442,73.834223,9.18,2026-01-15,27.5
183,80,School,8.313521,73.820761,3.92,2026-07-17,18.1
184,80,Mall,8.231115,73.820325,9.02,2027-04-09,65.1
185,81,Metro,13.470558,82.160233,6.0,2029-06-18,27.3
186,81,School,13.492768,82.208725,12.18,2028-09-18,84.1
187,81,School,13.531727,82.180122,8.33,2028-08-21,53.6
188,81,Airport,13.449239,82.136519,7.06,2025-04-28,51.0
189,82,Highway,25.78521,80.055907,1.1,2025-11-18,62.8
190,83,Business District,25.111544,87.759794,7.59,2027-11-02,69.1
191,84,Mall,21.318083,85.313995,4.96,2029-01-01,41.2
192,84,Business District,21.320356,85.329833,11.1,2027-05-28,72.9
193,84,Hospital,21.348493,85.397812,3.07,2025-02-22,77.4
194,84,Airport,21.341548,85.31275,4.04,2028-11-10,69.9
195,85,Business District,15.861401,80.496263,14.0,2028-11-20,82.1
196,85,Highway,15.898428,80.575908,10.17,2026-01-21,83.7
197,86,Airport,13.903079,77.978856,9.27,2028-06-12,76.0
198,87,Hospital,12.434517,72.990041,11.21,2025-12-30,52.0
199,88,Airport,10.175678,73.647339,10.18,2029-02-27,71.9
200,88,Metro,10.166984,73.701526,5.95,2025-05-15,74.0
201,88,Mall,10.189713,73.615212,5.21,2026-10-26,34.4
202,88,Hospital,10.173306,73.669486,9.15,2029-05-13,27.1
203,89,Metro,22.23572,76.669717,9.01,2025-09-28,69.0
204,89,Airport,22.237627,76.706229,13.02,2026-11-20,39.0
205,89,Airport,22.239196,76.670814,5.45,2026-05-19,32.2
206,89,Hospital,22.215885,76.71592,6.22,2024-10-06,27.1
207,90,Mall,25.920078,83.871035,8.06,2024-11-24,54.6
208,90,Business District,25.852518,83.894952,9.99,2027-02-21,85.2
209,90,Highway,25.851417,83.89293,5.6,2025-10-23,59.3
