locality_id,flood_risk_status,environmental_risk_status,infrastructure_delivery_risk_score,infrastructure_concentration_risk_score
63,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
64,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,1.7
65,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,4.7
66,INSUFFICIENT DATA,INSUFFICIENT DATA,28.3,1.0
67,INSUFFICIENT DATA,INSUFFICIENT DATA,65.2,0.6
68,INSUFFICIENT DATA,INSUFFICIENT DATA,61.9,4.2
69,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,1.6
70,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
71,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,29.1
72,INSUFFICIENT DATA,INSUFFICIENT DATA,52.4,0.2
73,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,2.7
74,INSUFFICIENT DATA,INSUFFICIENT DATA,14.7,7.9
75,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,11.0
76,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
77,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,26.7
78,INSUFFICIENT DATA,INSUFFICIENT DATA,66.1,1.2
79,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,10.6
80,INSUFFICIENT DATA,INSUFFICIENT DATA,58.8,15.1
81,INSUFFICIENT DATA,INSUFFICIENT DATA,76.4,4.7
82,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
83,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
84,INSUFFICIENT DATA,INSUFFICIENT DATA,70.4,1.6
85,INSUFFICIENT DATA,INSUFFICIENT DATA,49.5,0.0
86,INSUFFICIENT DATA,INSUFFICIENT DATA,100.0,100.0
87,INSUFFICIENT DATA,INSUFFICIENT DATA,0.0,100.0
88,INSUFFICIENT DATA,INSUFFICIENT DATA,64.3,5.6
89,INSUFFICIENT DATA,INSUFFICIENT DATA,23.3,5.0
90,INSUFFICIENT DATA,INSUFFICIENT DATA,42.8,2.1
