listing_id,property_id,listing_date,asking_price,status,days_on_market,price_change_pct
138,5464,2025-05-07,13292000.0,Sold,5,-0.37
139,5249,2026-01-28,10306000.0,Active,23,2.33
140,2028,2023-11-01,17370000.0,Sold,132,3.6
141,2696,2025-01-13,10271000.0,Active,116,2.2
142,1496,2023-10-12,15437000.0,Active,87,-5.95
143,7231,2024-03-22,12785000.0,Sold,65,1.05
144,5259,2024-01-15,12097000.0,Withdrawn,131,-3.78
145,5619,2025-09-14,6720000.0,Expired,39,0.35
146,6737,2025-08-19,10186000.0,Sold,104,-2.84
147,392,2025-03-20,17700000.0,Expired,62,-3.45
148,5795,2024-08-31,12884000.0,Sold,14,-1.53
149,4515,2026-03-02,13375000.0,Expired,71,-3.66
150,6433,2025-08-21,8144000.0,Active,69,-3.58
151,4475,2025-09-14,4509000.0,Sold,64,1.27
152,5893,2025-01-07,13293000.0,Active,33,-9.2
153,3562,2026-02-07,18483000.0,Sold,27,0.4
154,2279,2026-03-09,8969000.0,Sold,58,-1.22
155,7162,2025-12-27,7148000.0,Withdrawn,112,3.01
156,6185,2023-11-20,8190000.0,Active,45,-0.95
157,3100,2025-08-24,7401000.0,Expired,82,-4.22
158,6279,2025-01-09,8012000.0,Active,72,-7.95
159,201,2025-09-22,14938000.0,Sold,50,-5.15
160,5960,2025-02-25,5952000.0,Sold,42,-3.45
161,4876,2026-04-11,8421000.0,Expired,63,-3.06
162,7074,2023-12-08,6874000.0,Active,120,-0.73
163,3105,2025-04-28,11139000.0,Sold,54,-3.38
164,7216,2024-11-29,8600000.0,Sold,7,-1.0
165,4599,2025-08-08,12076000.0,Sold,5,0.89
166,2455,2025-11-02,17762000.0,Active,54,-1.79
167,3646,2026-05-12,9493000.0,Sold,113,4.07
168,5848,2024-07-20,5582000.0,Sold,5,0.57
169,805,2023-09-19,7596000.0,Sold,80,-1.56
170,6243,2025-02-07,12451000.0,Active,65,-2.93
171,2732,2024-03-28,10582000.0,Active,41,-6.85
172,5992,2024-08-02,9489000.0,Expired,65,1.7
173,2774,2025-06-01,5262000.0,Active,133,-3.45
174,1571,2024-10-20,13106000.0,Active,59,-3.27
175,5057,2026-01-10,19778000.0,Sold,80,-0.94
176,7907,2025-09-09,5977000.0,Active,94,2.79
177,6757,2026-08-09,9837000.0,Sold,87,1.67
178,5582,2026-01-31,10109000.0,Active,34,-0.04
179,2691,2024-01-30,8999000.0,Active,89,-0.7
180,3841,2024-09-11,8314000.0,Expired,12,3.3
181,1029,2026-01-30,12599000.0,Sold,53,-0.64
182,7386,2026-03-02,11292000.0,Sold,5,0.75
183,503,2026-07-19,8652000.0,Withdrawn,89,-4.41
184,6911,2024-09-26,21932000.0,Sold,76,-0.66
185,4494,2024-05-09,14436000.0,Sold,58,1.29
186,871,2026-06-01,19497000.0,Active,81,1.79
187,6939,2026-02-18,6478000.0,Sold,84,-4.15
188,4489,2026-06-08,7225000.0,Active,53,-1.35
189,207,2025-08-15,17463000.0,Active,73,-2.5
190,5135,2026-01-09,11722000.0,Active,91,-3.22
191,5978,2025-10-28,18064000.0,Sold,19,-6.16
192,7722,2025-12-24,7914000.0,Active,11,-1.95
193,7036,2025-06-18,24360000.0,Active,52,-3.32
194,1485,2024-09-08,9475000.0,Active,79,0.07
195,7859,2023-10-12,12557000.0,Sold,97,-1.61
196,7743,2024-09-14,20532000.0,Expired,81,-5.11
197,864,2024-11-27,16432000.0,Withdrawn,108,3.81
198,2791,2025-11-15,20810000.0,Active,8,2.87
199,7409,2026-04-09,7479000.0,Sold,65,-1.16
200,564,2025-10-19,9789000.0,Withdrawn,122,-2.42
201,5117,2024-11-18,10616000.0,Expired,103,-5.72
202,4192,2025-01-19,11433000.0,Active,58,-4.38
203,6020,2024-09-20,18769000.0,Sold,58,-2.58
204,1758,2023-12-30,10846000.0,Active,11,-4.06
205,6629,2024-01-10,14309000.0,Active,29,-3.29
206,7575,2023-12-21,13645000.0,Sold,117,-5.61
207,6375,2025-10-24,27537000.0,Expired,31,-4.58
208,6893,2024-06-02,6905000.0,Expired,35,-3.06
209,1679,2024-12-24,15147000.0,Sold,65,0.84
210,3243,2026-07-29,13517000.0,Withdrawn,77,-0.61
211,4637,2025-02-17,9441000.0,Sold,56,1.34
212,1060,2025-06-15,13541000.0,Sold,79,-1.34
213,6669,2024-10-02,5359000.0,Active,76,1.88
214,5280,2026-08-03,14637000.0,Sold,94,-2.58
215,1723,2026-06-02,8726000.0,Expired,36,-2.64
216,3315,2025-08-19,14686000.0,Sold,95,-1.12
217,3158,2026-06-20,8575000.0,Withdrawn,84,0.3
218,5916,2025-08-06,8290000.0,Active,148,1.28
219,2626,2024-07-21,6600000.0,Sold,62,1.47
220,2730,2025-03-30,11703000.0,Sold,49,-4.28
221,6701,2024-10-01,12089000.0,Active,52,-6.64
222,1598,2025-06-12,6066000.0,Sold,5,-5.34
223,3061,2025-05-27,13852000.0,Withdrawn,88,-4.17
224,2694,2025-11-20,12738000.0,Active,112,-4.96
225,4892,2024-03-01,12180000.0,Active,58,0.22
226,5148,2024-01-25,7063000.0,Sold,114,0.65
227,5740,2023-09-28,16121000.0,Active,92,0.51
228,3628,2023-11-15,15826000.0,Sold,17,-1.56
229,1364,2024-03-26,8681000.0,Active,88,-0.92
230,7966,2025-09-21,13177000.0,Sold,130,-2.68
231,1982,2026-04-23,18860000.0,Sold,176,-6.33
232,5451,2024-11-28,10004000.0,Active,45,1.19
233,1664,2025-05-14,17366000.0,Expired,139,-4.9
234,1530,2024-01-29,15289000.0,Active,37,4.77
235,2039,2026-01-23,9705000.0,Active,152,-3.94
236,7516,2023-12-20,11246000.0,Expired,5,4.14
237,5593,2023-11-25,10456000.0,Sold,60,2.2
238,3303,2024-11-22,13748000.0,Sold,33,-0.12
239,2238,2025-05-22,19067000.0,Expired,108,-3.86
240,7393,2024-03-14,6688000.0,Active,65,-0.26
241,5505,2024-09-28,11957000.0,Active,73,1.15
242,5497,2025-09-01,18078000.0,Sold,55,-5.21
243,1307,2024-04-09,14756000.0,Withdrawn,66,-3.48
244,4030,2023-11-11,10952000.0,Sold,105,-1.94
245,6777,2025-12-05,13583000.0,Sold,92,-0.88
246,2676,2025-01-25,12688000.0,Sold,86,1.11
247,5069,2024-04-13,16104000.0,Withdrawn,77,0.08
248,5865,2024-08-05,7563000.0,Active,59,-4.1
249,1283,2024-10-24,13823000.0,Sold,45,-0.05
250,7527,2024-01-12,14143000.0,Sold,154,-2.21
251,710,2026-01-10,10813000.0,Expired,138,3.69
252,5576,2025-10-21,8133000.0,Active,80,0.46
253,5531,2025-01-24,12239000.0,Sold,85,-3.97
254,4745,2024-04-30,17532000.0,Sold,140,0.54
255,4414,2024-08-15,13739000.0,Active,143,-2.1
256,3749,2024-08-17,22883000.0,Sold,141,-1.11
257,7393,2024-11-26,6688000.0,Active,118,-3.86
258,7987,2024-02-24,14098000.0,Sold,102,-3.48
259,5354,2024-01-15,9888000.0,Expired,135,1.1
260,4780,2025-08-29,4783000.0,Sold,110,-0.15
261,664,2025-12-17,9839000.0,Sold,99,-5.71
262,1999,2026-07-02,13946000.0,Expired,127,-3.36
263,7995,2024-05-23,6411000.0,Withdrawn,118,-3.3
264,3446,2025-02-22,6622000.0,Active,54,1.73
265,3744,2023-12-22,6863000.0,Active,86,-0.16
266,5728,2025-04-23,11932000.0,Expired,94,-1.59
267,1496,2024-11-03,15437000.0,Active,89,-4.6
268,3305,2026-03-13,17430000.0,Sold,81,-1.53
269,3764,2025-05-26,17535000.0,Active,124,-1.43
270,5233,2024-07-03,10703000.0,Sold,31,-3.36
271,1854,2024-09-26,11336000.0,Active,104,-0.03
272,5617,2024-12-27,8172000.0,Sold,5,-4.18
273,6586,2025-05-06,11725000.0,Sold,71,-6.35
274,4660,2024-02-17,10531000.0,Active,5,0.89
275,1292,2024-01-06,12705000.0,Sold,108,-3.52
276,3582,2025-05-15,13200000.0,Active,68,-0.34
277,7975,2023-11-18,13849000.0,Sold,46,2.85
278,3458,2025-07-26,8832000.0,Sold,147,-4.05
279,7555,2025-03-01,13701000.0,Withdrawn,126,1.85
280,7281,2024-08-21,11170000.0,Withdrawn,17,-3.67
281,1637,2026-06-07,18223000.0,Sold,88,-5.91
282,3697,2026-01-05,21808000.0,Active,80,-2.91
283,3000,2025-05-03,12800000.0,Expired,61,-2.06
284,3153,2024-06-18,13385000.0,Active,64,-7.35
285,699,2025-10-18,12867000.0,Expired,98,-3.62
286,2161,2026-03-02,19288000.0,Expired,110,-2.8
287,4098,2024-10-02,7730000.0,Active,89,0.19
288,4738,2025-11-27,13648000.0,Sold,130,2.28
289,6364,2025-07-30,7290000.0,Active,70,-2.64
290,5686,2024-07-31,15773000.0,Active,73,-1.39
291,855,2026-07-13,10976000.0,Active,88,-0.62
292,5856,2025-09-17,15579000.0,Active,89,-1.59
293,7393,2025-02-12,6688000.0,Active,80,-3.54
294,6529,2025-01-29,14737000.0,Sold,92,-3.06
295,3475,2026-03-03,9604000.0,Active,81,2.62
296,5758,2023-11-14,7338000.0,Sold,64,-4.29
297,5250,2024-07-14,16291000.0,Withdrawn,38,-4.65
298,5173,2023-11-09,15368000.0,Active,37,-1.34
299,1708,2024-01-04,14990000.0,Sold,94,-4.66
300,2778,2024-07-15,11241000.0,Sold,40,-8.86
301,5792,2024-07-15,10496000.0,Sold,64,-0.49
302,1734,2024-08-03,10203000.0,Expired,93,-1.81
303,5536,2024-09-06,5836000.0,Active,73,4.05
304,6391,2025-02-21,6436000.0,Active,80,-1.07
305,4932,2025-09-20,18770000.0,Active,41,-1.34
306,3511,2023-11-03,15287000.0,Sold,18,-3.84
307,203,2024-08-16,17425000.0,Active,17,8.64
308,3256,2024-09-08,8558000.0,Expired,29,2.54
309,4219,2026-03-16,5793000.0,Sold,61,1.04
310,4497,2024-01-21,7263000.0,Active,130,1.1
311,767,2026-07-16,17009000.0,Expired,40,6.99
312,4390,2024-02-09,11861000.0,Sold,5,-0.69
313,2328,2025-06-28,13433000.0,Withdrawn,12,-0.69
314,2932,2025-03-07,8810000.0,Withdrawn,92,2.7
315,7778,2025-10-31,17146000.0,Active,5,0.93
316,198,2024-03-13,27658000.0,Sold,24,0.78
317,7126,2025-05-29,12662000.0,Sold,103,7.76
318,1931,2026-03-13,10784000.0,Active,63,-2.87
319,3583,2024-12-25,6587000.0,Withdrawn,128,-0.51
320,6896,2024-09-09,16328000.0,Sold,35,-5.8
321,6288,2024-11-19,13143000.0,Expired,26,-3.96
322,609,2026-04-12,6668000.0,Sold,5,0.14
323,3273,2024-05-27,16275000.0,Withdrawn,78,-2.55
324,1148,2024-03-25,6902000.0,Sold,78,-6.44
325,4283,2023-12-08,12050000.0,Expired,32,4.6
326,3398,2025-03-29,15200000.0,Expired,128,-3.73
327,2512,2026-04-21,18898000.0,Active,104,-3.64
328,7517,2026-01-02,8208000.0,Active,118,-1.06
329,1795,2026-07-25,6068000.0,Sold,5,-0.67
330,660,2026-01-20,8706000.0,Active,96,-1.53
331,2812,2025-03-30,14800000.0,Sold,100,-0.87
332,7099,2024-08-09,14079000.0,Active,161,2.92
333,6052,2024-10-31,13460000.0,Expired,5,3.96
334,6547,2025-11-28,15573000.0,Active,88,-4.01
335,1370,2024-04-25,13173000.0,Expired,70,-2.82
336,1987,2026-05-27,16088000.0,Sold,111,-0.19
337,5631,2025-07-24,17931000.0,Sold,32,-2.93
338,147,2024-06-13,15967000.0,Sold,5,2.2
339,3220,2026-01-14,14517000.0,Active,65,-3.47
340,2912,2023-10-25,14353000.0,Sold,112,-2.73
341,1735,2025-10-13,51675000.0,Sold,92,-3.05
342,1844,2023-09-06,12747000.0,Sold,91,4.02
343,489,2024-01-26,9354000.0,Expired,48,-3.57
344,2977,2025-02-03,8993000.0,Active,48,0.55
345,1960,2025-11-17,19956000.0,Active,105,-1.95
346,5760,2025-01-20,12891000.0,Withdrawn,113,-0.02
347,6695,2025-07-01,13450000.0,Sold,83,2.34
348,2386,2024-09-05,16446000.0,Active,113,-4.14
349,2920,2026-02-27,4613000.0,Sold,158,-7.81
350,4737,2024-01-31,12156000.0,Active,92,-1.53
351,1803,2026-05-25,10038000.0,Active,43,0.24
352,6617,2023-08-21,2908000.0,Sold,27,-5.8
353,6066,2026-03-09,13880000.0,Expired,117,-3.84
354,6295,2026-01-12,8446000.0,Sold,5,-0.9
355,5535,2025-02-23,11008000.0,Expired,63,-4.55
356,4062,2026-04-07,11566000.0,Active,178,0.39
357,3370,2025-06-23,12067000.0,Sold,51,-0.76
358,5731,2025-06-19,8691000.0,Expired,61,-6.75
359,263,2026-06-13,16151000.0,Withdrawn,43,6.48
360,5884,2025-07-23,7110000.0,Expired,35,-6.59
361,6288,2024-04-10,13143000.0,Active,83,-5.14
362,6490,2024-02-06,8610000.0,Sold,15,-0.78
363,624,2026-03-05,17449000.0,Active,85,-0.82
364,1017,2025-07-07,6343000.0,Expired,25,-5.6
365,3644,2024-05-14,8258000.0,Active,81,-0.68
366,4977,2024-12-23,9701000.0,Expired,33,0.56
367,2050,2026-06-29,5772000.0,Sold,77,-3.41
368,7041,2024-04-06,12857000.0,Withdrawn,31,2.04
369,5424,2024-07-21,10571000.0,Active,63,-1.5
370,6398,2025-02-21,12307000.0,Active,112,2.17
371,3724,2025-07-15,9682000.0,Active,93,-3.22
372,4549,2023-12-08,10087000.0,Active,127,-1.23
373,3109,2024-08-10,10003000.0,Sold,30,-0.4
374,5280,2025-02-17,14637000.0,Active,150,-2.71
375,4091,2026-03-14,18228000.0,Active,99,-2.62
376,7159,2024-07-13,19981000.0,Sold,5,-2.46
377,2057,2024-09-27,11356000.0,Active,89,-3.29
378,7401,2023-10-17,6240000.0,Active,65,7.07
379,3171,2023-11-29,13649000.0,Sold,117,-5.22
380,1683,2026-07-26,13052000.0,Sold,135,-1.79
381,6960,2024-11-13,16287000.0,Sold,108,4.22
382,2256,2026-02-27,12768000.0,Expired,40,-1.0
383,1155,2026-04-09,15419000.0,Withdrawn,67,-1.63
384,4500,2024-02-12,19506000.0,Expired,56,3.73
385,6296,2024-03-12,19972000.0,Active,112,-1.9
386,6198,2026-02-17,14475000.0,Sold,96,-9.15
387,3192,2024-08-20,13232000.0,Expired,42,-3.13
388,1697,2024-08-08,12767000.0,Sold,160,-0.06
389,3992,2024-11-18,16369000.0,Expired,98,-2.43
390,4724,2024-02-14,12397000.0,Sold,34,-2.66
391,4683,2026-05-15,20487000.0,Withdrawn,93,3.32
392,1649,2026-07-08,13934000.0,Expired,100,-0.86
393,5540,2026-02-15,7821000.0,Active,86,-1.01
394,1446,2024-08-28,13925000.0,Active,37,-7.63
395,4200,2024-05-20,13236000.0,Sold,5,-2.66
396,3924,2024-10-19,6428000.0,Active,19,-2.04
397,254,2025-10-05,13072000.0,Sold,16,-5.48
398,7395,2024-02-21,20926000.0,Sold,127,-1.04
399,3184,2025-08-16,18101000.0,Expired,130,-0.39
400,2558,2025-05-05,3429000.0,Active,116,-3.62
401,5593,2023-08-24,10456000.0,Expired,132,-5.1
402,99,2026-02-21,15012000.0,Expired,41,3.63
403,2201,2023-11-19,9743000.0,Active,88,-3.38
404,5981,2024-12-19,23784000.0,Sold,11,1.12
405,2962,2025-08-19,12785000.0,Active,70,2.48
406,6016,2024-04-27,5727000.0,Sold,75,-5.34
407,4974,2024-10-14,8264000.0,Active,192,-1.01
408,4434,2026-05-16,11956000.0,Active,51,-2.75
409,3778,2026-05-22,5808000.0,Expired,65,-6.22
410,2870,2026-01-14,16435000.0,Active,106,-4.48
411,3235,2026-05-30,6586000.0,Active,101,-4.09
412,3792,2026-02-18,18114000.0,Sold,59,-3.95
413,957,2024-05-30,17726000.0,Sold,14,0.81
414,5801,2025-09-08,11747000.0,Active,135,0.78
415,4068,2025-10-17,13427000.0,Expired,112,-0.34
416,161,2023-10-14,9095000.0,Active,85,1.12
417,5700,2023-10-14,11184000.0,Active,82,-5.08
418,6945,2026-01-03,7691000.0,Expired,109,0.5
419,4494,2026-05-31,14436000.0,Sold,154,-0.78
420,1301,2025-03-17,6153000.0,Withdrawn,48,-3.03
421,4912,2026-08-03,14234000.0,Expired,50,-3.11
422,3988,2023-10-15,20812000.0,Sold,133,-4.56
423,1528,2025-05-14,9152000.0,Withdrawn,62,6.77
424,6016,2025-12-15,5727000.0,Expired,170,-1.15
425,5512,2023-12-16,14583000.0,Active,46,-1.14
426,5255,2024-03-15,14835000.0,Expired,110,-3.51
427,1219,2024-01-13,5174000.0,Sold,5,-3.06
428,4497,2024-05-30,7263000.0,Expired,26,-3.46
429,4736,2025-12-02,23757000.0,Withdrawn,64,0.88
430,3105,2023-11-21,11139000.0,Active,21,-0.25
431,2736,2024-03-01,21894000.0,Expired,33,-1.2
432,4556,2026-05-16,11732000.0,Expired,89,-2.06
433,955,2024-02-17,11418000.0,Sold,109,3.83
434,4566,2025-07-13,10740000.0,Expired,127,-0.06
435,3447,2025-02-04,11581000.0,Expired,126,-5.16
436,1046,2024-10-30,15875000.0,Sold,76,-7.5
437,6894,2024-10-12,7977000.0,Sold,18,0.29
438,1694,2023-10-04,18720000.0,Active,37,-2.97
439,6182,2025-06-15,9137000.0,Expired,5,-5.05
440,6374,2024-12-09,10468000.0,Active,69,-8.22
441,3437,2025-08-17,21102000.0,Sold,144,-1.12
442,563,2023-11-22,7450000.0,Expired,84,-3.53
443,2486,2025-10-30,17078000.0,Sold,141,-5.3
444,5896,2026-05-10,14764000.0,Sold,27,-0.08
445,3355,2024-06-10,15314000.0,Expired,86,-1.07
446,6171,2024-03-17,18215000.0,Active,5,8.01
447,226,2025-08-27,13266000.0,Active,171,-0.16
448,7445,2024-12-08,13383000.0,Sold,78,0.5
449,4894,2024-09-17,17645000.0,Expired,118,-2.59
450,7777,2026-01-16,13849000.0,Expired,85,-5.44
451,6428,2024-01-20,6315000.0,Active,73,-5.65
452,7023,2024-08-27,10409000.0,Expired,134,1.16
453,960,2026-06-15,9715000.0,Expired,5,2.2
454,5601,2026-01-12,11604000.0,Active,70,-4.31
455,4549,2023-11-01,10087000.0,Active,80,1.02
456,3068,2026-05-07,9890000.0,Expired,27,-4.7
457,7997,2025-09-21,9777000.0,Sold,27,1.14
458,816,2026-04-09,12805000.0,Sold,128,-4.11
459,4755,2025-04-15,11048000.0,Sold,91,-0.81
460,7684,2024-12-13,10157000.0,Active,89,0.84
461,4643,2025-06-21,16160000.0,Sold,79,-10.38
462,5312,2025-08-20,11691000.0,Expired,101,6.49
463,3121,2025-10-24,14660000.0,Expired,58,-6.1
464,7680,2025-04-12,15168000.0,Withdrawn,52,-2.21
465,17,2025-05-01,12597000.0,Sold,72,3.45
466,7340,2025-09-29,12409000.0,Sold,16,-0.96
467,1244,2024-03-01,16862000.0,Sold,63,-5.19
468,2206,2026-01-16,8268000.0,Sold,56,0.38
469,2525,2025-05-30,24073000.0,Sold,122,-5.5
470,1070,2024-02-22,15899000.0,Expired,95,-4.51
471,3445,2026-01-28,10954000.0,Active,65,2.91
472,2566,2026-03-22,14265000.0,Active,88,-2.19
473,6243,2025-07-24,12451000.0,Withdrawn,71,-5.15
474,5865,2023-12-10,7563000.0,Active,56,2.78
475,1061,2024-06-25,7803000.0,Sold,5,-7.04
476,2328,2025-05-06,13433000.0,Sold,56,-3.7
477,3421,2026-05-13,16808000.0,Active,47,0.2
478,6641,2024-06-11,12175000.0,Withdrawn,158,-2.54
479,302,2023-12-21,10526000.0,Expired,23,-1.42
480,4277,2023-12-18,15562000.0,Sold,81,-4.12
481,607,2023-08-27,5899000.0,Expired,93,0.41
482,3171,2023-11-20,13649000.0,Sold,5,2.19
483,700,2026-01-29,20734000.0,Sold,137,3.52
484,5089,2026-07-08,21165000.0,Active,100,4.11
485,1140,2025-09-17,17749000.0,Sold,53,-2.03
486,191,2024-10-27,8211000.0,Active,101,6.03
487,2301,2025-05-13,5303000.0,Sold,57,-0.32
488,981,2024-03-14,8205000.0,Sold,63,-0.06
