locality_id,city_id,locality_name,latitude,longitude,population_density,average_income,connectivity_score,safety_score,infrastructure_score,development_score,commercial_score
34,3,Kanda Gardens,14.986473,86.926739,21743,1444165,76.2,69.7,71.0,71.3,80.6
35,3,Bhalla Nagar,24.942378,77.460769,22597,1514224,88.3,65.1,52.1,70.8,55.2
36,3,Balay Layout,14.010821,77.5943,17467,1676161,69.9,71.2,57.7,70.7,38.6
37,3,Rattan Colony,26.197936,77.939183,4692,1382920,76.6,61.6,72.0,68.4,13.2
38,3,Bhatti Enclave,9.491642,85.238831,18243,1505516,71.2,60.1,49.9,57.8,59.9
39,3,Murty Extension,26.580265,74.223561,13330,2047562,82.3,62.0,51.4,63.2,14.3
40,3,Tata Hills,27.724537,78.310494,8571,985563,64.7,73.9,54.8,71.4,65.4
41,3,Shanker Gardens,18.723506,82.255679,18002,1864712,59.9,70.8,68.2,65.8,64.5
42,3,Lanka Nagar,13.686314,75.415878,12665,1476217,97.3,80.5,46.2,74.9,98.8
43,3,Koshy Layout,11.333647,86.619371,20918,1563190,80.5,47.0,27.4,59.9,66.4
44,3,Sangha Colony,27.883245,85.552843,21281,1159406,45.2,84.2,93.0,69.2,20.7
45,3,Pathak Enclave,28.494212,87.947871,14774,1360261,28.2,68.7,43.8,48.9,60.2
46,4,Devi Extension,12.687178,82.911361,16216,880870,58.2,57.2,71.2,64.3,57.4
47,4,Chand Hills,25.469721,81.054556,14901,1591397,52.6,72.9,54.5,65.9,57.3
48,4,Choudhary Gardens,10.795615,72.725442,10063,1371154,61.3,77.7,77.5,67.7,35.7
49,4,Dutta Nagar,24.064887,78.646413,16307,882590,39.0,80.6,86.0,54.6,59.0
50,4,Bhatt Layout,20.984718,76.222257,3744,916460,39.4,74.6,59.0,46.7,13.7
51,4,Raj Colony,11.532557,75.48048,2939,832746,48.5,79.0,68.8,68.6,96.1
52,4,Wadhwa Enclave,18.320054,83.20112,2904,591159,57.0,68.7,45.7,47.4,43.9
53,4,Apte Extension,12.291661,78.242318,13144,725777,72.7,80.2,81.7,73.3,40.3
54,4,Yadav Hills,18.489388,80.747759,4464,846263,42.3,89.7,84.6,70.9,66.5
55,4,Oak Gardens,14.602623,75.777444,9532,633568,87.9,60.3,15.8,53.2,51.3
56,4,Memon Nagar,20.030243,84.054312,11928,1407272,90.3,69.9,75.9,70.8,56.5
57,4,Dugar Layout,28.223563,81.88951,7456,502121,59.2,86.7,48.0,57.5,16.7
58,4,Aggarwal Colony,16.413135,87.726869,4576,646726,55.2,62.9,51.2,51.6,56.0
59,4,Tella Enclave,21.707186,86.905328,14805,1015837,70.9,72.8,58.5,58.8,40.5
60,4,Tripathi Extension,18.406013,76.257351,4641,1112213,40.0,62.0,69.8,44.3,39.7
61,5,Misra Hills,9.062383,77.717366,5091,1522163,42.1,56.3,74.4,58.0,99.0
62,5,Dua Gardens,17.667312,78.883534,10023,841451,80.1,80.0,49.6,75.2,65.6
63,5,Edwin Nagar,24.30298,75.625223,5764,2161442,67.5,75.9,61.6,65.0,52.6
64,5,Naik Layout,16.045125,85.157291,12100,2402691,70.9,73.5,52.4,64.6,72.4
65,5,Bahl Colony,26.441279,78.450314,14501,980843,54.9,82.6,19.9,43.7,23.4
66,5,Patil Enclave,20.711491,80.768647,22559,1948877,68.5,52.3,73.9,63.5,61.8
67,5,Khatri Extension,25.973696,77.802267,20888,993773,57.7,56.9,67.3,67.9,85.2
68,5,Khosla Hills,22.760749,82.437788,17960,1575529,61.0,64.7,42.4,53.4,70.1
69,5,Chada Gardens,16.217454,79.66109,23787,1141897,40.5,57.3,65.1,59.0,58.4
70,5,Biswas Nagar,22.281342,86.79874,18266,1454687,69.2,99.0,39.7,67.5,57.2
71,5,Dave Layout,26.974155,79.48801,4604,2310835,68.8,53.9,39.5,55.5,58.7
72,5,Gandhi Colony,24.458496,72.571796,9670,2136802,65.8,49.7,79.7,61.8,51.8
73,5,Wable Enclave,17.270468,75.981375,12406,1697716,77.8,67.2,18.2,54.2,80.4
74,5,Kakar Extension,19.902061,82.300096,2301,1365295,61.3,37.6,55.1,56.0,50.4
75,5,Muni Hills,20.205393,73.539685,19249,1311596,49.7,60.4,69.3,59.6,55.0
76,6,Prakash Gardens,19.579243,73.518484,19837,568732,68.0,63.1,57.4,58.4,54.3
77,6,Varughese Nagar,11.729527,85.857677,23760,397941,85.8,45.1,12.1,45.7,31.4
78,6,Dara Layout,8.555468,75.940569,7314,1134718,43.9,56.7,46.0,59.4,73.7
79,6,Kar Colony,12.98503,83.695137,21681,444069,66.5,76.0,57.7,60.9,48.0
80,6,Nigam Enclave,8.266539,73.825382,6781,854982,59.6,57.0,80.9,65.4,66.9
81,6,Karpe Extension,13.495305,82.174308,11416,502401,40.0,55.1,91.8,58.0,81.3
82,6,Amble Hills,25.803594,80.055184,22574,679546,33.8,72.5,90.5,62.6,44.1
83,6,Bhargava Gardens,25.11607,87.758234,14090,868847,60.0,95.9,84.2,68.8,42.5
84,6,Bir Nagar,21.354118,85.360998,6747,462504,56.9,72.4,46.0,49.5,63.2
85,6,Narayanan Layout,15.85434,80.543224,3080,828976,89.3,58.0,88.3,79.3,51.8
86,6,Varkey Colony,13.918222,78.012927,18538,517399,72.8,72.2,46.9,51.9,42.8
87,6,Mallick Enclave,12.406278,72.983339,8032,628381,73.6,95.0,28.4,61.9,56.9
88,6,Kala Extension,10.185264,73.664636,18748,679707,56.4,99.0,62.2,67.4,78.0
89,6,Solanki Hills,22.241278,76.71825,15575,604791,94.6,51.3,59.1,72.1,65.0
90,6,Solanki Gardens,25.89539,83.849486,20550,856148,54.1,69.1,55.5,51.7,58.6
