locality_id,status,location_score,connectivity_score,safety_score,infrastructure_score,development_score,commercial_score,accessibility_score,market_strength_score
44,PASS,55.0,45.2,84.2,93.0,69.2,20.7,34.2,26.8
45,PASS,37.6,28.2,68.7,43.8,48.9,60.2,15.4,5.8
46,PASS,51.0,58.2,57.2,71.2,64.3,57.4,36.8,13.8
47,PASS,54.1,52.6,72.9,54.5,65.9,57.3,28.5,48.4
48,PASS,56.7,61.3,77.7,77.5,67.7,35.7,61.3,8.5
49,PASS,47.5,39.0,80.6,86.0,54.6,59.0,16.7,0.6
50,PASS,42.7,39.4,74.6,59.0,46.7,13.7,39.4,16.2
51,PASS,58.3,48.5,79.0,68.8,68.6,96.1,29.8,29.9
52,PASS,42.4,57.0,68.7,45.7,47.4,43.9,30.4,4.1
53,PASS,63.5,72.7,80.2,81.7,73.3,40.3,42.1,46.7
54,PASS,65.8,42.3,89.7,84.6,70.9,66.5,16.5,90.2
55,PASS,51.8,87.9,60.3,15.8,53.2,51.3,50.9,43.0
56,PASS,66.8,90.3,69.9,75.9,70.8,56.5,47.1,53.7
57,PASS,47.9,59.2,86.7,48.0,57.5,16.7,36.8,19.9
58,PASS,51.5,55.2,62.9,51.2,51.6,56.0,21.9,63.2
59,PASS,49.3,70.9,72.8,58.5,58.8,40.5,38.0,2.9
60,PASS,41.2,40.0,62.0,69.8,44.3,39.7,24.5,7.5
61,PASS,55.7,42.1,56.3,74.4,58.0,99.0,25.9,48.5
62,PASS,63.1,80.1,80.0,49.6,75.2,65.6,29.3,62.5
63,PASS,57.9,67.5,75.9,61.6,65.0,52.6,36.0,45.0
64,PASS,61.9,70.9,73.5,52.4,64.6,72.4,26.8,76.5
65,PASS,38.8,54.9,82.6,19.9,43.7,23.4,29.6,12.3
66,PASS,57.3,68.5,52.3,73.9,63.5,61.8,39.8,43.0
67,PASS,60.5,57.7,56.9,67.3,67.9,85.2,31.6,65.0
68,PASS,48.0,61.0,64.7,42.4,53.4,70.1,38.2,13.5
69,PASS,47.2,40.5,57.3,65.1,59.0,58.4,21.6,32.5
70,PASS,69.7,69.2,99.0,39.7,67.5,57.2,69.2,81.6
71,PASS,46.8,68.8,53.9,39.5,55.5,58.7,35.1,20.4
72,PASS,53.5,65.8,49.7,79.7,61.8,51.8,30.1,35.0
73,PASS,51.1,77.8,67.2,18.2,54.2,80.4,36.1,33.6
74,PASS,45.9,61.3,37.6,55.1,56.0,50.4,37.6,25.0
75,PASS,46.9,49.7,60.4,69.3,59.6,55.0,26.9,10.4
76,PASS,54.5,68.0,63.1,57.4,58.4,54.3,68.0,12.5
77,PASS,51.9,85.8,45.1,12.1,45.7,31.4,46.1,90.6
78,PASS,47.1,43.9,56.7,46.0,59.4,73.7,27.0,31.6
79,PASS,49.1,66.5,76.0,57.7,60.9,48.0,26.6,7.5
80,PASS,59.0,59.6,57.0,80.9,65.4,66.9,33.0,52.7
81,PASS,51.4,40.0,55.1,91.8,58.0,81.3,22.6,21.1
82,PASS,52.4,33.8,72.5,90.5,62.6,44.1,31.9,28.5
83,PASS,60.3,60.0,95.9,84.2,68.8,42.5,34.0,30.9
84,PASS,46.6,56.9,72.4,46.0,49.5,63.2,25.7,18.1
85,PASS,65.1,89.3,58.0,88.3,79.3,51.8,34.1,50.7
86,PASS,48.7,72.8,72.2,46.9,51.9,42.8,40.1,12.3
87,PASS,58.0,73.6,95.0,28.4,61.9,56.9,73.6,16.4
88,PASS,56.9,56.4,99.0,62.2,67.4,78.0,23.5,19.1
89,PASS,63.9,94.6,51.3,59.1,72.1,65.0,49.7,56.1
90,PASS,49.4,54.1,69.1,55.5,51.7,58.6,23.3,36.9
