rental_id,property_id,rental_date,monthly_rent,vacancy_days,lease_duration
169,1605,2024-05-08,32900.0,32,12
170,5170,2023-04-10,48800.0,9,11
171,6901,2026-01-02,17200.0,11,24
172,5704,2023-08-13,33500.0,23,12
173,2750,2024-04-02,56700.0,40,12
174,3929,2025-11-07,41600.0,13,11
175,1051,2025-04-13,10700.0,7,12
176,7539,2024-01-23,48000.0,2,11
177,510,2026-01-08,30900.0,2,12
178,7061,2025-11-14,14600.0,15,24
179,4597,2024-03-31,33000.0,9,11
180,888,2026-06-15,17200.0,28,11
181,7089,2023-09-07,16300.0,52,24
182,4592,2024-04-12,48700.0,11,11
183,207,2022-12-01,52300.0,33,12
184,5249,2024-12-05,22600.0,42,24
185,6102,2023-09-14,16300.0,38,24
186,7880,2025-01-05,46400.0,46,11
187,7187,2025-03-20,24100.0,21,12
188,1517,2023-06-21,60800.0,35,24
189,7901,2024-09-21,43400.0,20,12
190,881,2023-07-03,34000.0,40,11
191,2853,2024-12-24,29300.0,30,24
192,7563,2025-09-18,36900.0,49,11
193,572,2025-05-08,31500.0,10,12
194,5231,2025-08-17,40700.0,21,11
195,4285,2025-12-27,15600.0,38,36
196,6146,2025-06-19,37900.0,35,11
197,1796,2026-01-01,11700.0,42,12
198,6771,2025-01-09,17300.0,19,11
199,7731,2022-12-11,57800.0,43,11
200,6509,2025-01-10,34500.0,51,12
201,7042,2025-06-16,30400.0,22,11
202,1716,2024-05-05,22500.0,28,12
203,3322,2024-12-27,22400.0,41,11
204,4742,2025-02-11,43600.0,4,11
205,1085,2023-11-23,53500.0,46,11
206,6812,2023-11-21,38600.0,35,11
207,5397,2026-02-06,33600.0,14,12
208,1760,2025-01-08,38400.0,33,11
209,3396,2025-11-01,66400.0,44,11
210,3233,2023-06-19,32300.0,29,12
211,6040,2025-12-05,49200.0,17,11
212,2683,2025-09-25,23800.0,36,11
213,2790,2024-05-18,69600.0,41,11
214,6845,2023-07-02,37600.0,26,11
215,1633,2023-02-28,24200.0,26,24
216,3132,2023-07-10,37300.0,15,11
217,2753,2024-12-29,46300.0,13,11
218,5003,2026-03-16,29200.0,54,11
219,5262,2023-01-15,19400.0,31,11
220,5863,2023-01-14,33900.0,57,11
221,3712,2025-07-04,28700.0,25,11
222,1394,2024-12-22,35100.0,12,11
223,2025,2026-05-16,18900.0,20,11
224,5571,2024-10-07,27000.0,51,12
225,1701,2025-03-27,22800.0,6,36
226,1564,2025-04-11,23600.0,22,11
227,2083,2026-04-10,37300.0,20,11
228,7671,2023-12-14,75900.0,47,11
229,5715,2023-10-15,19400.0,29,36
230,3383,2026-05-13,43000.0,28,11
231,2287,2023-07-19,28000.0,29,11
232,7546,2022-09-12,36200.0,18,11
233,5627,2025-06-07,33500.0,19,11
234,5619,2023-05-13,17600.0,18,11
235,1335,2024-06-08,33700.0,48,24
236,4123,2025-08-07,37500.0,51,11
237,6921,2026-08-02,27400.0,21,11
238,2734,2026-02-19,26800.0,11,11
239,5182,2023-03-08,10600.0,49,12
240,5989,2023-05-29,30800.0,31,12
241,1310,2024-12-31,39900.0,24,12
242,7682,2024-10-03,51300.0,8,24
243,722,2026-04-18,25200.0,10,24
244,5698,2026-05-22,26200.0,49,24
245,5653,2023-11-01,65100.0,54,12
246,4851,2025-12-09,45900.0,26,11
247,4517,2026-05-08,23600.0,26,11
248,3836,2023-04-13,28100.0,12,11
249,7546,2024-03-23,36900.0,40,24
250,5473,2024-06-23,38400.0,31,11
251,4887,2024-08-25,59200.0,26,11
252,674,2024-08-07,20700.0,2,12
253,2042,2026-01-08,74300.0,17,24
254,3528,2025-09-24,14000.0,21,12
255,3831,2024-09-27,37300.0,0,11
256,5851,2026-04-09,51100.0,49,11
257,1528,2023-02-24,26100.0,44,11
258,3385,2024-06-07,34100.0,0,11
259,3851,2025-03-16,60800.0,8,36
260,5349,2025-03-25,35800.0,3,11
261,1895,2022-11-12,42400.0,21,11
262,5739,2025-04-06,24900.0,37,11
263,6725,2026-07-10,45000.0,43,11
264,4765,2023-10-17,55200.0,22,24
265,1319,2024-03-08,31400.0,31,12
266,3666,2022-10-31,21300.0,36,24
267,3541,2025-06-04,67600.0,17,11
268,7711,2026-08-01,59700.0,46,11
269,7434,2023-06-08,18400.0,14,11
270,1673,2025-07-11,46400.0,38,11
271,3782,2024-12-07,19900.0,23,11
272,3070,2024-02-11,17200.0,21,11
273,3228,2023-11-09,30400.0,10,11
274,711,2025-08-16,36800.0,25,12
275,2208,2024-12-07,47400.0,33,11
276,4191,2024-10-11,46500.0,15,11
277,4844,2026-02-10,36200.0,13,24
278,6497,2023-09-19,34700.0,19,36
279,5808,2022-09-24,25600.0,39,12
280,871,2025-05-08,51800.0,30,36
281,5980,2024-09-10,28800.0,30,11
282,7546,2025-05-19,35000.0,21,12
283,6667,2025-02-15,24100.0,25,11
284,3558,2024-11-25,6500.0,0,12
285,5881,2025-10-27,29900.0,39,36
286,5367,2023-05-28,65900.0,48,24
287,5287,2025-05-06,44100.0,23,12
288,1745,2023-08-07,87900.0,29,12
289,2839,2022-08-25,45700.0,1,12
290,5915,2025-02-12,32700.0,24,11
291,1772,2026-04-22,39100.0,30,12
292,5658,2023-04-02,37800.0,11,11
293,6527,2024-03-19,30800.0,0,24
294,5043,2023-02-10,32800.0,8,36
295,3594,2025-12-28,29000.0,12,11
296,203,2022-11-14,47400.0,10,36
297,3335,2026-02-25,36300.0,17,36
298,4314,2024-04-20,40800.0,24,11
299,4600,2024-03-03,49000.0,40,11
300,780,2023-03-01,22300.0,6,11
301,4493,2023-01-11,10600.0,16,12
302,2378,2023-12-04,48800.0,35,11
303,3001,2026-03-28,13900.0,25,12
304,7936,2025-07-25,39800.0,0,36
305,198,2025-05-15,44900.0,0,12
306,7279,2024-04-04,29400.0,31,12
307,1974,2023-09-29,36200.0,14,24
308,3667,2024-08-18,43700.0,13,24
309,7046,2026-05-05,35700.0,11,11
310,6419,2026-06-03,39500.0,35,11
311,618,2023-12-04,22600.0,27,12
312,3352,2025-08-22,69200.0,4,11
313,1175,2024-01-25,48600.0,13,12
314,4382,2024-08-10,26900.0,36,12
315,3480,2023-01-12,26800.0,20,11
316,2566,2026-07-01,54500.0,13,24
317,7672,2023-08-27,61200.0,4,11
318,1834,2024-05-10,49700.0,20,11
319,670,2022-08-28,24500.0,46,12
320,2874,2022-11-04,19400.0,26,11
321,7251,2024-09-23,18700.0,36,11
322,6178,2023-12-26,37400.0,18,12
323,6685,2025-10-12,28800.0,15,24
324,1400,2024-04-17,34500.0,0,11
325,2030,2024-10-03,36900.0,32,11
326,5753,2023-03-02,36000.0,23,36
327,147,2025-05-14,39800.0,0,24
328,3299,2024-01-24,33800.0,6,12
329,2978,2024-04-16,38700.0,20,24
330,1773,2024-01-17,37700.0,32,36
331,1885,2023-12-07,38800.0,5,11
332,496,2023-04-01,25600.0,32,11
333,3047,2026-03-14,26400.0,15,24
334,2003,2026-01-29,21900.0,0,11
335,5883,2023-09-03,46000.0,13,12
336,6839,2025-09-17,53700.0,6,11
337,2437,2024-12-27,45000.0,19,11
338,2986,2024-07-10,30800.0,23,11
339,4843,2023-10-26,27800.0,27,11
340,1843,2023-03-17,25200.0,31,36
341,6759,2026-01-09,38700.0,26,11
342,6192,2023-06-10,49500.0,8,24
343,6427,2024-10-01,23100.0,4,24
344,5657,2026-04-13,38500.0,8,12
345,4155,2026-08-17,26700.0,34,11
346,3452,2022-09-13,30600.0,16,24
347,5854,2025-09-26,43500.0,42,24
348,265,2025-12-24,20900.0,22,24
349,6008,2025-11-30,37800.0,9,12
350,6419,2026-02-07,41100.0,21,11
351,6627,2025-07-21,52300.0,24,11
352,633,2024-06-11,39300.0,19,36
353,1038,2026-06-20,22400.0,32,11
354,3728,2024-04-07,41200.0,3,24
355,5088,2022-10-25,35100.0,10,11
356,2094,2025-02-14,41200.0,59,11
357,7192,2025-11-15,47900.0,34,12
358,5544,2023-09-15,28200.0,29,11
359,6534,2026-04-19,35700.0,3,11
360,3810,2024-09-07,42000.0,19,36
361,4653,2024-04-11,12900.0,40,11
362,3181,2023-04-30,36000.0,12,11
363,5397,2025-10-27,33900.0,40,12
364,4184,2023-12-19,17400.0,27,24
365,7312,2022-10-29,19200.0,34,12
366,2101,2025-01-29,28000.0,7,24
367,7554,2024-10-09,36500.0,30,11
368,3246,2022-10-03,33000.0,21,24
369,1720,2025-01-25,25700.0,46,11
370,7110,2026-02-14,32500.0,0,24
371,2306,2025-08-14,46200.0,0,12
372,1182,2023-06-26,31900.0,27,11
373,4603,2025-04-21,51400.0,24,11
374,6428,2022-09-06,14900.0,12,12
375,6328,2025-09-18,23900.0,16,11
376,3269,2025-03-09,19500.0,44,11
377,1734,2025-12-05,35800.0,39,11
378,4084,2024-07-14,41200.0,4,36
379,4830,2024-07-28,10300.0,2,11
380,4788,2026-01-05,33100.0,39,11
381,1686,2025-12-01,40000.0,24,12
382,5662,2024-12-08,38600.0,0,24
383,1476,2024-07-31,40000.0,18,36
384,4295,2025-12-30,40300.0,7,24
385,4014,2023-12-24,28800.0,39,24
386,255,2023-03-31,25400.0,0,11
387,7548,2023-09-16,21400.0,23,11
388,3259,2023-06-22,31700.0,53,11
389,2614,2024-03-10,56400.0,16,24
390,5715,2023-09-18,19500.0,17,11
391,99,2022-09-08,29900.0,26,12
392,2249,2023-11-27,49300.0,24,11
393,6105,2022-10-20,47800.0,40,12
394,3032,2023-06-14,40200.0,55,24
395,6142,2025-08-24,36200.0,46,12
396,5085,2024-02-22,32000.0,9,11
397,4537,2025-05-25,11500.0,21,11
398,3865,2023-10-31,28800.0,43,12
399,2935,2024-09-02,10600.0,32,11
400,3314,2026-07-27,24100.0,3,12
401,3879,2024-12-04,64400.0,0,36
402,974,2024-08-16,29500.0,25,11
403,5924,2025-03-10,22900.0,30,11
404,4161,2023-07-11,25500.0,9,24
405,161,2023-08-22,27400.0,36,11
406,5822,2022-09-16,29000.0,13,36
407,7095,2023-12-25,32300.0,9,36
408,4597,2025-12-12,33600.0,14,11
409,1329,2025-09-05,30600.0,27,11
410,5023,2022-10-24,18400.0,29,12
411,4080,2025-04-07,22700.0,35,12
412,1562,2024-05-12,38200.0,28,11
413,6142,2023-04-23,34000.0,35,11
414,5634,2025-02-06,28100.0,40,24
415,5372,2023-09-18,16900.0,18,12
416,1246,2025-03-27,24200.0,19,24
417,4600,2025-11-13,47900.0,48,11
418,4842,2022-10-23,26600.0,14,12
419,3177,2023-07-26,20900.0,36,24
420,2796,2022-12-29,33000.0,18,11
421,4660,2026-04-12,39500.0,49,12
422,972,2025-01-13,51900.0,3,12
423,4670,2025-09-07,21000.0,0,11
424,3529,2023-12-18,22300.0,9,11
425,1069,2023-10-03,19300.0,15,24
426,7044,2025-12-31,31900.0,0,24
427,1731,2022-09-14,29900.0,10,11
428,6310,2023-05-26,11000.0,0,11
429,6507,2023-11-19,37500.0,16,12
430,3519,2022-10-18,40100.0,0,11
431,571,2023-01-07,32800.0,0,12
432,2539,2025-08-11,37000.0,15,12
433,6020,2025-04-17,61000.0,37,24
434,3437,2024-07-08,62300.0,13,11
435,6299,2024-10-06,54600.0,22,11
436,227,2024-06-22,24800.0,9,11
437,7600,2025-01-26,31900.0,7,12
438,5005,2026-06-16,49100.0,1,24
439,7935,2023-02-02,44600.0,20,11
440,6564,2023-11-14,96400.0,0,11
441,7174,2024-09-08,31600.0,8,11
442,977,2024-05-02,49100.0,24,36
443,5723,2023-09-14,18600.0,47,11
444,4653,2026-04-09,13600.0,13,24
445,3139,2024-09-21,47100.0,15,36
446,831,2023-04-09,44700.0,14,11
447,4861,2022-08-25,31300.0,26,11
448,7842,2024-09-20,37900.0,45,12
449,4748,2025-07-12,22900.0,31,12
450,5430,2025-12-27,47300.0,5,11
451,3195,2023-11-30,21200.0,30,12
452,7837,2025-03-14,36400.0,36,24
453,17,2026-02-16,37900.0,31,11
454,7493,2025-06-02,45900.0,28,11
455,1271,2025-11-09,15800.0,6,12
456,2255,2023-09-27,36200.0,16,11
457,2579,2024-11-30,20600.0,34,11
458,1095,2023-04-09,19100.0,0,11
459,3527,2025-03-21,20400.0,0,12
460,2622,2023-07-07,34500.0,46,11
461,6373,2026-07-08,19600.0,36,24
462,5989,2024-05-08,28000.0,14,11
463,1086,2025-07-31,28300.0,19,24
464,2378,2024-01-28,47100.0,14,24
465,3503,2024-10-29,21000.0,0,24
466,6783,2025-07-01,65800.0,23,11
467,304,2025-08-29,39400.0,28,11
468,4376,2023-04-19,36500.0,10,11
469,616,2024-04-24,29400.0,42,36
470,3246,2024-07-22,33200.0,25,36
471,712,2026-05-06,15000.0,36,11
472,5203,2023-06-22,23800.0,38,11
473,1167,2026-01-11,14600.0,20,11
474,191,2024-05-28,18700.0,18,11
475,2351,2025-06-07,18200.0,17,11
476,998,2024-03-02,18400.0,31,11
477,3046,2023-05-12,31600.0,41,12
478,6230,2024-12-29,26500.0,30,12
479,1212,2025-04-06,39300.0,3,36
480,3409,2025-03-15,33900.0,29,36
481,3477,2025-05-11,36900.0,42,12
482,128,2024-02-13,31600.0,15,24
483,2110,2026-07-24,41900.0,27,12
484,1858,2024-10-01,27100.0,6,11
485,5979,2026-03-17,47900.0,7,11
486,6854,2025-09-09,45700.0,47,24
487,578,2024-07-04,23900.0,29,24
488,5563,2024-08-20,26000.0,0,36
489,1938,2023-10-24,38500.0,43,11
490,2794,2023-03-22,48800.0,0,12
491,3954,2024-02-28,29300.0,54,12
492,4828,2024-01-30,35800.0,38,36
493,7611,2023-12-29,31800.0,3,24
494,4108,2023-11-19,20900.0,0,36
495,2968,2025-02-14,45400.0,14,11
496,1724,2025-01-03,35200.0,20,36
497,3081,2022-09-23,18000.0,45,11
498,7967,2024-04-25,13600.0,43,11
499,155,2023-03-31,49000.0,4,11
500,2593,2023-03-03,41500.0,44,11
501,1440,2025-07-14,16100.0,28,11
502,4151,2023-07-07,29600.0,30,11
503,799,2024-07-12,12600.0,31,11
504,3251,2024-06-07,23500.0,0,12
505,7717,2024-08-23,25800.0,8,11
506,4445,2024-12-13,46800.0,11,24
507,7497,2026-07-22,62100.0,41,12
508,7360,2026-03-03,30500.0,15,11
509,5719,2023-07-19,25900.0,4,11
510,5925,2025-05-08,46900.0,16,12
511,2869,2024-12-04,20400.0,21,11
512,546,2022-10-11,22000.0,18,11
513,6111,2025-11-19,24100.0,17,11
514,1883,2025-09-07,20100.0,30,11
515,5128,2024-05-06,27900.0,28,24
516,2509,2025-12-05,9200.0,38,12
517,533,2026-02-15,24600.0,0,11
518,7123,2025-06-28,20100.0,7,24
519,5748,2025-02-22,41700.0,29,24
520,3020,2024-06-04,37400.0,33,12
521,4225,2025-04-26,25900.0,0,11
522,4888,2024-11-03,24000.0,3,36
523,4209,2025-11-15,48600.0,11,12
524,2420,2026-07-28,23600.0,17,11
525,3938,2024-12-15,41900.0,9,24
526,6798,2025-06-12,26700.0,36,12
527,4599,2022-12-01,34500.0,3,11
528,2761,2025-10-18,68800.0,23,12
529,989,2024-04-25,23500.0,9,36
530,6128,2023-11-21,51800.0,17,11
531,6757,2023-06-11,28400.0,22,24
532,1194,2024-09-24,28600.0,12,11
533,5327,2026-08-03,28600.0,39,36
534,7677,2026-02-23,57300.0,29,11
535,5041,2024-10-23,47300.0,36,11
536,6044,2025-02-17,23000.0,51,12
537,2836,2022-10-17,13400.0,25,12
538,2026,2024-06-11,44500.0,27,11
539,870,2023-06-23,24100.0,3,11
540,4240,2024-09-09,19300.0,26,11
541,3824,2024-01-17,62400.0,38,12
542,3857,2022-11-22,59200.0,42,12
543,583,2024-08-10,18300.0,19,11
544,3341,2022-11-12,44800.0,14,11
545,1176,2024-12-15,35900.0,33,12
546,6426,2024-02-10,24000.0,24,11
547,6594,2026-08-01,17500.0,31,12
548,6858,2025-09-06,42700.0,36,11
549,7665,2025-02-21,30700.0,34,36
550,6585,2023-04-21,35300.0,30,11
551,1753,2025-12-09,47400.0,8,11
552,4885,2023-06-22,47100.0,0,11
553,5045,2023-09-09,44300.0,35,24
554,3945,2024-09-05,22700.0,20,24
555,5288,2024-04-11,23500.0,12,12
556,7300,2024-09-25,41600.0,39,11
557,2546,2026-01-29,17700.0,13,11
558,2719,2026-06-21,25000.0,34,36
559,7290,2025-05-17,46300.0,19,24
560,6544,2024-03-24,39200.0,27,36
561,3199,2023-03-28,26700.0,0,11
562,5814,2025-01-03,46800.0,5,36
563,3123,2025-05-11,60800.0,0,24
564,7948,2023-05-10,65100.0,29,24
565,5,2026-05-17,22100.0,22,12
566,5339,2025-10-11,25400.0,21,11
567,5434,2025-01-16,43700.0,42,11
568,4979,2025-02-28,26800.0,13,24
569,894,2023-12-20,25900.0,26,36
570,1011,2022-12-26,47400.0,36,12
571,7179,2026-02-23,31400.0,17,12
572,7673,2024-10-26,30600.0,0,24
573,4236,2023-04-02,24300.0,12,24
574,7162,2024-11-25,19700.0,36,11
575,7118,2025-10-15,29400.0,15,11
576,7231,2024-09-22,35200.0,12,11
577,6945,2024-03-07,17800.0,41,12
578,4468,2025-04-03,15200.0,34,11
579,4569,2025-09-06,22200.0,35,11
580,645,2024-09-04,27200.0,18,11
581,5342,2023-03-03,32000.0,9,36
582,1731,2025-11-13,27100.0,18,11
583,1720,2025-03-24,25400.0,5,11
584,4859,2024-08-02,19000.0,0,12
585,120,2026-04-18,38800.0,15,11
586,846,2024-03-08,74600.0,28,24
587,6031,2025-09-03,56100.0,19,11
588,3760,2026-06-30,32800.0,24,11
589,5292,2022-10-12,27100.0,22,11
590,6197,2023-02-09,22600.0,15,36
591,1400,2024-06-14,36600.0,7,11
592,753,2023-02-28,47900.0,12,11
593,7799,2024-07-22,42600.0,23,11
594,117,2023-03-22,40400.0,46,36
595,6074,2024-11-07,47300.0,17,12
596,2902,2024-03-08,36000.0,29,12
597,1178,2025-01-22,26200.0,21,36
598,7717,2023-07-23,26800.0,0,12
599,1975,2023-09-25,29300.0,33,11
600,1033,2025-06-17,32600.0,1,24
601,1702,2025-04-14,40900.0,32,11
602,1107,2026-01-12,36200.0,16,11
603,4836,2025-04-12,20500.0,6,12
604,521,2025-01-23,31000.0,21,11
605,2913,2024-06-13,51300.0,15,11
606,5331,2022-10-26,19000.0,25,12
607,7966,2025-06-27,33800.0,27,11
608,5354,2022-10-23,22700.0,40,12
609,568,2024-08-06,27300.0,34,24
610,3757,2024-06-22,35100.0,33,11
611,4688,2025-02-02,18000.0,23,12
612,7559,2026-01-30,30300.0,25,12
613,5104,2025-10-06,43700.0,15,11
614,3425,2026-02-03,35100.0,31,11
615,5427,2026-08-14,28700.0,0,11
616,4164,2023-05-26,45900.0,27,24
617,4907,2024-01-19,24200.0,35,12
618,1502,2024-06-01,40300.0,0,11
619,590,2025-11-01,19600.0,37,11
620,7084,2024-05-27,22100.0,36,36
621,7156,2025-08-04,39800.0,12,11
622,2345,2025-09-12,40300.0,21,11
623,3223,2025-12-29,35700.0,31,24
624,4348,2025-04-07,81000.0,27,24
625,1717,2026-02-25,37400.0,37,12
626,3590,2023-01-13,12000.0,17,12
627,5207,2023-12-14,21400.0,0,12
628,7407,2025-02-28,12500.0,6,11
629,2805,2025-05-11,12600.0,5,11
630,3439,2025-09-14,37300.0,31,24
631,4139,2024-05-23,29800.0,15,11
632,1271,2026-04-03,16600.0,34,11
633,5303,2024-01-24,32400.0,16,11
634,3193,2025-03-17,21400.0,29,11
635,5219,2024-09-24,34600.0,1,24
636,2189,2025-02-07,23900.0,25,11
637,5994,2025-05-02,47300.0,36,11
638,5167,2025-08-03,40800.0,22,12
639,3131,2024-09-12,57200.0,34,12
640,4653,2025-06-23,13600.0,14,12
641,5442,2023-10-03,20400.0,26,12
642,3030,2022-10-24,39000.0,22,11
643,2316,2024-02-08,46400.0,25,11
644,6760,2024-09-01,24800.0,54,11
645,2533,2023-06-21,50300.0,36,11
646,6622,2026-07-09,32900.0,9,11
647,4752,2023-11-17,41900.0,31,11
648,1672,2023-11-13,12800.0,39,36
649,5529,2024-07-26,38500.0,34,11
650,7576,2022-11-03,14600.0,36,12
651,1796,2026-04-24,11800.0,24,11
652,4556,2023-01-16,41200.0,18,12
653,2115,2023-03-30,36100.0,40,11
654,6006,2023-07-17,18800.0,33,11
655,6809,2025-03-23,32800.0,22,11
656,6002,2023-12-04,30100.0,24,24
657,7421,2022-10-30,33600.0,11,12
658,2913,2024-03-27,53000.0,46,24
659,3331,2026-08-06,32400.0,41,24
660,7544,2023-02-02,40900.0,8,11
661,7056,2025-02-22,68000.0,29,11
662,3818,2024-03-16,39600.0,25,11
663,2544,2026-05-16,80700.0,13,11
664,1668,2024-10-07,40600.0,19,11
665,2879,2022-12-07,16700.0,8,36
666,1037,2022-10-13,24500.0,46,12
