property_id,project_id,property_type,bedrooms,bathrooms,area_sqft,floor,total_floors,age_years,parking,furnishing,asking_price,monthly_rent
31,376,Row House,3,2,1216,27,11,4,2,Semi-Furnished,14473000.0,37200.0
32,392,Studio,3,3,1514,4,8,2,2,Fully-Furnished,14122000.0,40900.0
33,95,Apartment,2,2,666,17,19,4,1,Semi-Furnished,5331000.0,9900.0
34,413,Apartment,3,2,1254,7,26,3,2,Unfurnished,15995000.0,45600.0
35,224,Penthouse,3,2,1048,18,9,0,1,Semi-Furnished,12376000.0,28700.0
36,500,Apartment,4,3,1632,4,13,0,2,Fully-Furnished,20212000.0,63400.0
37,132,Apartment,3,2,1514,11,16,2,1,Unfurnished,16343000.0,50400.0
38,38,Apartment,2,2,721,1,21,2,1,Semi-Furnished,6479000.0,17900.0
39,254,Apartment,3,3,1505,14,6,0,0,Unfurnished,17449000.0,48600.0
40,30,Row House,2,2,1026,13,6,1,1,Semi-Furnished,11446000.0,26300.0
41,251,Studio,3,2,1229,19,28,4,0,Unfurnished,11609000.0,28800.0
42,78,Studio,3,2,1361,24,12,4,1,Unfurnished,13302000.0,40000.0
43,245,Apartment,4,3,1398,5,28,2,1,Semi-Furnished,14469000.0,30400.0
44,70,Villa,1,1,675,2,5,3,1,Unfurnished,5628000.0,15300.0
45,163,Apartment,3,3,1452,13,28,2,0,Semi-Furnished,13077000.0,37600.0
46,184,Apartment,3,2,900,26,4,2,1,Fully-Furnished,10437000.0,34300.0
47,143,Penthouse,2,1,864,21,34,3,1,Semi-Furnished,8981000.0,27200.0
48,218,Apartment,2,1,1071,16,20,4,0,Fully-Furnished,9486000.0,22200.0
49,442,Apartment,3,2,1257,13,19,5,1,Fully-Furnished,14047000.0,45200.0
50,112,Apartment,1,1,705,15,28,1,1,Unfurnished,9391000.0,21900.0
51,319,Apartment,2,1,1210,22,20,2,1,Fully-Furnished,12514000.0,41100.0
52,214,Apartment,2,1,1027,1,18,4,2,Semi-Furnished,25735000.0,30200.0
53,500,Studio,2,2,1327,23,33,0,1,Semi-Furnished,11642000.0,26000.0
54,408,Apartment,3,2,1101,15,8,0,1,Semi-Furnished,11218000.0,24400.0
55,263,Villa,2,2,1117,5,31,3,1,Unfurnished,16357000.0,46500.0
56,260,Studio,5,5,1678,20,23,3,1,Fully-Furnished,19870000.0,54600.0
57,223,Villa,1,1,790,21,31,5,0,Semi-Furnished,8021000.0,23200.0
58,189,Apartment,2,1,1065,24,14,1,1,Semi-Furnished,13948000.0,30600.0
59,248,Apartment,3,3,1122,13,27,5,1,Semi-Furnished,12299000.0,32800.0
60,150,Studio,4,3,1474,2,9,5,2,Unfurnished,16902000.0,43800.0
61,456,Apartment,1,1,594,9,10,3,0,Unfurnished,7359000.0,18800.0
62,302,Studio,4,4,1706,16,7,3,1,Semi-Furnished,16893000.0,53700.0
63,100,Apartment,1,1,799,12,5,2,2,Fully-Furnished,8668000.0,22200.0
64,215,Apartment,3,3,1458,9,29,4,1,Fully-Furnished,14302000.0,39600.0
65,398,Apartment,1,1,760,0,18,2,1,Semi-Furnished,7538000.0,19900.0
66,227,Apartment,3,2,1158,5,6,5,1,Semi-Furnished,11584000.0,24900.0
67,158,Apartment,2,2,755,1,29,5,1,Unfurnished,7911000.0,27300.0
68,201,Row House,3,2,1420,13,8,2,1,Unfurnished,20774000.0,38300.0
69,406,Villa,3,2,1152,20,8,1,1,Semi-Furnished,14688000.0,45800.0
70,67,Villa,5,4,2145,26,4,4,0,Semi-Furnished,21237000.0,82700.0
71,283,Apartment,2,2,1031,13,18,0,1,Semi-Furnished,9586000.0,26000.0
72,49,Apartment,2,2,1226,1,12,5,2,Unfurnished,14164000.0,42400.0
73,17,Apartment,2,2,1556,20,5,2,1,Fully-Furnished,19287000.0,53200.0
74,45,Apartment,2,1,1176,8,26,2,2,Semi-Furnished,13959000.0,43800.0
75,153,Villa,1,1,1036,19,28,3,1,Unfurnished,16081000.0,51400.0
76,239,Apartment,3,2,1392,26,22,1,1,Unfurnished,14947000.0,50300.0
77,201,Villa,4,3,1801,15,29,2,2,Fully-Furnished,18459000.0,54100.0
78,425,Apartment,2,2,1545,24,6,1,1,Fully-Furnished,16128000.0,28600.0
79,420,Studio,2,1,1156,6,15,4,1,Semi-Furnished,14919000.0,36000.0
80,41,Apartment,2,2,642,15,19,1,1,Semi-Furnished,7329000.0,26000.0
81,421,Penthouse,2,2,1165,11,28,1,1,Unfurnished,13786000.0,47500.0
82,64,Villa,2,1,1388,29,20,4,0,Unfurnished,11937000.0,32600.0
83,430,Apartment,2,1,780,3,29,5,1,Unfurnished,8855000.0,31400.0
84,35,Penthouse,3,3,982,14,20,4,1,Unfurnished,9416000.0,28400.0
85,343,Apartment,2,2,602,15,24,3,1,Fully-Furnished,7219000.0,17600.0
86,324,Apartment,3,3,1255,23,26,5,1,Unfurnished,12874000.0,34100.0
87,152,Villa,2,2,1476,21,32,3,0,Semi-Furnished,15778000.0,42600.0
88,354,Studio,3,2,1217,1,34,0,2,Semi-Furnished,13714000.0,33200.0
89,108,Apartment,4,3,1744,15,21,2,1,Semi-Furnished,16458000.0,55600.0
90,192,Apartment,3,3,1528,14,34,1,0,Unfurnished,16311000.0,48200.0
91,337,Penthouse,4,3,1868,6,26,3,2,Fully-Furnished,18325000.0,23500.0
92,214,Studio,3,2,1208,21,20,4,2,Fully-Furnished,10238000.0,34000.0
93,370,Studio,4,4,1463,2,4,2,2,Fully-Furnished,19901000.0,59900.0
94,201,Studio,4,3,1416,20,4,2,1,Semi-Furnished,16062000.0,37600.0
95,398,Penthouse,4,3,1565,3,30,2,1,Semi-Furnished,12170000.0,34800.0
96,322,Apartment,2,1,810,4,12,5,0,Semi-Furnished,6679000.0,21300.0
97,295,Apartment,3,3,1164,12,27,5,1,Semi-Furnished,12896000.0,37300.0
98,32,Apartment,3,2,1160,7,13,5,1,Semi-Furnished,11454000.0,25200.0
99,260,Apartment,3,2,1446,26,29,3,2,Unfurnished,15012000.0,28000.0
100,49,Apartment,1,1,604,17,18,5,1,Fully-Furnished,7511000.0,24200.0
101,320,Apartment,1,1,523,25,21,3,2,Fully-Furnished,4159000.0,9700.0
102,83,Row House,2,1,996,20,8,2,1,Fully-Furnished,12381000.0,43800.0
103,101,Row House,3,2,1024,8,18,3,1,Fully-Furnished,11221000.0,32000.0
104,401,Apartment,5,4,1283,23,4,5,2,Unfurnished,13206000.0,26800.0
105,229,Penthouse,4,4,1528,21,24,3,2,Semi-Furnished,15271000.0,33300.0
106,237,Apartment,1,1,984,20,18,5,1,Unfurnished,12763000.0,42000.0
107,235,Apartment,1,1,456,2,25,5,1,Fully-Furnished,4508000.0,10100.0
108,258,Apartment,1,1,686,8,26,5,2,Unfurnished,5408000.0,17000.0
109,346,Studio,2,1,528,3,30,2,1,Unfurnished,6490000.0,20200.0
110,175,Penthouse,1,1,926,17,21,5,1,Semi-Furnished,9126000.0,15200.0
111,228,Penthouse,1,1,781,8,10,2,1,Fully-Furnished,11348000.0,32600.0
112,413,Apartment,2,1,1344,29,11,3,1,Semi-Furnished,15080000.0,36200.0
113,331,Row House,1,1,721,18,31,3,2,Unfurnished,7310000.0,17800.0
114,339,Apartment,4,4,1310,28,14,3,2,Semi-Furnished,18169000.0,39300.0
115,159,Studio,1,1,899,12,13,4,2,Unfurnished,7716000.0,29300.0
116,122,Studio,1,1,898,13,21,3,2,Semi-Furnished,8693000.0,33400.0
117,493,Apartment,4,3,1191,3,23,3,1,Unfurnished,12796000.0,39000.0
118,187,Row House,3,2,1205,0,4,0,2,Semi-Furnished,10783000.0,25800.0
119,125,Row House,5,5,1881,11,30,3,2,Unfurnished,21374000.0,59000.0
120,94,Villa,3,3,1336,25,28,3,1,Semi-Furnished,13453000.0,37000.0
121,255,Villa,2,1,1322,24,11,3,1,Unfurnished,17312000.0,43700.0
122,364,Villa,1,1,578,0,5,0,1,Unfurnished,5440000.0,11300.0
123,17,Studio,2,1,689,25,31,2,2,Fully-Furnished,5775000.0,18500.0
124,343,Apartment,2,2,1052,12,14,3,2,Unfurnished,13616000.0,27000.0
125,199,Penthouse,4,3,1966,24,31,1,1,Unfurnished,17861000.0,57300.0
126,392,Apartment,2,2,936,2,29,2,0,Semi-Furnished,10172000.0,28000.0
127,477,Studio,3,3,1431,27,16,2,1,Semi-Furnished,13117000.0,38200.0
128,249,Apartment,2,1,836,21,33,3,1,Semi-Furnished,9304000.0,30200.0
129,239,Apartment,3,3,1257,21,29,1,1,Unfurnished,15187000.0,43600.0
130,379,Row House,2,1,1151,2,20,1,2,Unfurnished,11140000.0,24100.0
131,255,Apartment,2,2,1038,18,13,3,2,Semi-Furnished,11812000.0,46100.0
132,102,Studio,3,2,1048,21,30,5,1,Fully-Furnished,9948000.0,26000.0
133,477,Apartment,2,2,1054,21,26,2,1,Fully-Furnished,10894000.0,32400.0
134,65,Apartment,2,1,522,21,34,3,1,Unfurnished,6043000.0,15400.0
135,315,Apartment,3,3,1349,15,26,1,2,Unfurnished,18202000.0,67600.0
136,320,Studio,5,4,1934,8,31,3,1,Semi-Furnished,17674000.0,53700.0
137,7,Apartment,4,3,1772,1,21,2,1,Unfurnished,14418000.0,44600.0
138,283,Apartment,4,4,1771,8,17,0,1,Unfurnished,19369000.0,39400.0
139,450,Apartment,2,2,1129,12,27,3,0,Unfurnished,12093000.0,35300.0
140,338,Row House,4,4,1564,22,25,1,1,Unfurnished,15890000.0,46800.0
141,204,Apartment,3,2,1297,8,24,3,2,Semi-Furnished,15817000.0,44400.0
142,295,Apartment,4,4,1546,19,12,5,0,Fully-Furnished,15530000.0,39600.0
143,207,Villa,2,2,1384,8,22,5,2,Fully-Furnished,15306000.0,55600.0
144,154,Apartment,3,3,1001,17,11,1,1,Fully-Furnished,12196000.0,34400.0
145,420,Studio,3,2,1189,3,4,4,1,Unfurnished,12333000.0,38200.0
146,341,Row House,2,2,922,20,25,4,1,Semi-Furnished,8957000.0,32500.0
147,245,Penthouse,3,2,1566,27,15,2,1,Unfurnished,15967000.0,37000.0
148,161,Studio,1,1,829,11,19,1,1,Fully-Furnished,10608000.0,29600.0
149,264,Apartment,2,2,1158,10,30,5,2,Fully-Furnished,12913000.0,40500.0
150,338,Studio,2,1,742,16,8,1,2,Unfurnished,8436000.0,20600.0
151,63,Apartment,2,1,1353,0,10,1,1,Semi-Furnished,14875000.0,40900.0
152,422,Villa,2,2,954,24,17,5,2,Unfurnished,10477000.0,33000.0
153,140,Apartment,3,3,1358,2,31,1,2,Unfurnished,10573000.0,31900.0
154,55,Row House,2,2,1027,24,14,2,1,Semi-Furnished,8642000.0,22800.0
155,87,Penthouse,4,3,1399,8,18,2,1,Semi-Furnished,13593000.0,48200.0
156,372,Apartment,1,1,925,10,16,5,2,Fully-Furnished,10834000.0,23000.0
157,122,Apartment,1,1,740,9,9,3,1,Unfurnished,7835000.0,15600.0
158,118,Apartment,5,5,2054,20,16,0,2,Unfurnished,23491000.0,46000.0
159,354,Apartment,4,4,1194,20,19,0,2,Unfurnished,13875000.0,53600.0
160,344,Studio,2,2,1181,23,22,3,2,Semi-Furnished,13045000.0,36100.0
161,387,Villa,3,3,1000,21,25,0,2,Semi-Furnished,9095000.0,28800.0
162,86,Penthouse,2,1,1229,12,19,2,0,Unfurnished,10975000.0,22900.0
163,57,Penthouse,4,4,1529,22,30,0,1,Fully-Furnished,17186000.0,55300.0
164,82,Apartment,4,3,1194,18,25,5,1,Unfurnished,14819000.0,36000.0
165,331,Villa,3,2,1052,18,6,3,0,Unfurnished,12252000.0,46600.0
166,420,Studio,3,3,1430,0,10,4,2,Unfurnished,18037000.0,50400.0
167,92,Apartment,4,4,1852,18,17,2,2,Fully-Furnished,19538000.0,55900.0
168,245,Villa,2,2,1371,5,22,2,2,Fully-Furnished,14858000.0,34600.0
169,138,Apartment,2,1,879,13,17,3,2,Unfurnished,10589000.0,26600.0
170,62,Studio,2,1,1044,13,12,1,1,Fully-Furnished,13200000.0,28500.0
171,74,Villa,4,3,1390,23,27,4,2,Unfurnished,13987000.0,43800.0
172,392,Apartment,2,1,1079,12,10,2,1,Semi-Furnished,9042000.0,25300.0
173,455,Row House,4,3,1517,21,33,3,2,Fully-Furnished,16335000.0,50200.0
174,445,Studio,4,4,1366,12,4,2,0,Unfurnished,15623000.0,42700.0
175,86,Apartment,3,2,1263,3,19,2,0,Fully-Furnished,14148000.0,43400.0
176,197,Penthouse,3,2,1318,4,21,1,1,Fully-Furnished,12571000.0,32400.0
177,139,Row House,2,2,1322,13,19,4,2,Semi-Furnished,12660000.0,35700.0
178,166,Villa,1,1,1120,27,23,3,0,Semi-Furnished,12099000.0,26900.0
179,345,Villa,2,1,1306,12,10,5,0,Semi-Furnished,13766000.0,30800.0
180,209,Penthouse,2,1,1320,27,23,4,2,Fully-Furnished,15215000.0,45000.0
181,322,Villa,2,1,1102,2,22,5,2,Unfurnished,10185000.0,31900.0
182,474,Apartment,3,2,1063,26,7,5,1,Unfurnished,12906000.0,39600.0
183,465,Villa,5,4,1689,3,14,2,1,Unfurnished,18180000.0,48900.0
184,273,Penthouse,4,3,1528,28,6,2,1,Semi-Furnished,15451000.0,41100.0
185,293,Studio,5,4,1540,6,23,2,1,Unfurnished,13028000.0,32800.0
186,138,Apartment,2,2,918,23,6,3,2,Unfurnished,11006000.0,33500.0
187,278,Apartment,2,2,898,14,28,3,1,Unfurnished,10483000.0,30300.0
188,428,Apartment,2,1,993,8,15,4,1,Unfurnished,10844000.0,34800.0
189,18,Villa,3,3,1180,3,21,2,2,Fully-Furnished,13021000.0,41100.0
190,218,Apartment,2,2,999,3,28,4,0,Semi-Furnished,10828000.0,36500.0
191,187,Studio,1,1,717,15,30,0,1,Fully-Furnished,8211000.0,17400.0
192,72,Apartment,3,2,1333,14,16,4,2,Semi-Furnished,11343000.0,27900.0
193,422,Row House,3,3,1122,28,31,5,1,Semi-Furnished,12215000.0,27500.0
194,349,Studio,2,2,789,17,27,4,1,Semi-Furnished,8647000.0,25500.0
195,433,Villa,3,3,1228,5,13,5,1,Fully-Furnished,13378000.0,28900.0
196,279,Apartment,2,2,1068,21,23,4,2,Semi-Furnished,11980000.0,19500.0
197,286,Row House,3,3,865,20,27,3,0,Semi-Furnished,11846000.0,30400.0
198,467,Villa,4,3,1671,29,28,4,2,Unfurnished,27658000.0,47200.0
199,288,Apartment,3,2,1634,27,25,2,1,Unfurnished,16578000.0,38200.0
200,371,Studio,1,1,583,27,15,4,1,Semi-Furnished,7506000.0,23200.0
201,499,Apartment,3,3,1659,9,13,5,0,Semi-Furnished,14938000.0,32100.0
202,273,Villa,2,1,1184,8,12,2,2,Unfurnished,10796000.0,30600.0
203,288,Apartment,2,1,1516,10,6,2,1,Unfurnished,17425000.0,45300.0
204,210,Row House,3,2,1012,17,8,3,2,Unfurnished,12401000.0,31000.0
205,290,Apartment,1,1,601,27,29,0,2,Unfurnished,6009000.0,19100.0
206,271,Apartment,4,3,1737,27,13,0,1,Unfurnished,14342000.0,36700.0
207,89,Studio,4,3,1760,3,26,4,1,Unfurnished,17463000.0,50600.0
208,143,Row House,1,1,885,27,14,3,2,Semi-Furnished,10122000.0,18700.0
209,18,Apartment,4,3,1844,11,14,2,0,Fully-Furnished,26286000.0,75200.0
210,61,Studio,1,1,688,2,22,5,2,Unfurnished,6437000.0,18300.0
211,30,Penthouse,2,1,842,8,33,1,2,Fully-Furnished,8405000.0,24700.0
212,457,Apartment,3,3,1175,18,11,3,1,Unfurnished,12454000.0,24900.0
213,405,Studio,1,1,755,24,14,3,1,Unfurnished,8864000.0,25200.0
214,337,Apartment,4,4,1312,11,18,3,1,Fully-Furnished,12400000.0,35500.0
215,6,Studio,1,1,513,14,16,4,1,Semi-Furnished,6919000.0,14100.0
216,146,Apartment,4,4,1482,28,24,0,0,Unfurnished,17077000.0,47600.0
217,100,Studio,4,4,1247,11,11,2,0,Unfurnished,11530000.0,30000.0
218,141,Apartment,3,2,1109,24,5,3,1,Unfurnished,9622000.0,28700.0
219,237,Studio,1,1,379,26,32,5,2,Semi-Furnished,4009000.0,8800.0
220,313,Apartment,1,1,686,24,8,4,2,Semi-Furnished,7415000.0,18600.0
221,122,Apartment,1,1,999,25,19,3,1,Unfurnished,10449000.0,37000.0
222,212,Apartment,4,4,1820,11,26,4,1,Semi-Furnished,14040000.0,45600.0
223,454,Apartment,1,1,946,29,4,1,1,Semi-Furnished,10001000.0,
224,225,Apartment,2,2,970,4,9,2,1,Semi-Furnished,10769000.0,34200.0
225,206,Studio,3,3,1288,19,22,3,1,Unfurnished,13167000.0,32500.0
226,11,Penthouse,4,4,1354,12,5,5,0,Semi-Furnished,13266000.0,30000.0
227,18,Penthouse,3,2,1097,17,16,2,2,Semi-Furnished,11059000.0,25900.0
228,315,Apartment,3,2,1178,12,29,1,2,Unfurnished,13041000.0,26700.0
229,376,Apartment,1,1,742,2,10,4,2,Unfurnished,8244000.0,20600.0
230,124,Studio,3,3,1677,24,27,1,1,Unfurnished,14259000.0,28800.0
231,326,Apartment,2,1,1064,1,16,3,1,Unfurnished,10364000.0,28000.0
232,318,Row House,2,2,757,24,24,5,2,Unfurnished,6869000.0,21900.0
233,404,Villa,3,2,1358,29,28,2,1,Semi-Furnished,17269000.0,22000.0
234,189,Villa,5,4,1776,16,30,1,1,Fully-Furnished,25224000.0,96000.0
235,107,Apartment,1,1,539,24,5,3,2,Fully-Furnished,6455000.0,15000.0
236,321,Villa,3,3,1382,29,24,3,2,Unfurnished,15301000.0,36600.0
237,490,Penthouse,4,4,1573,18,27,5,1,Unfurnished,15145000.0,41200.0
238,208,Apartment,1,1,598,13,4,3,0,Unfurnished,7999000.0,15600.0
239,276,Apartment,3,2,1628,8,24,4,2,Unfurnished,16936000.0,54400.0
240,12,Villa,2,1,998,10,32,5,1,Unfurnished,10558000.0,35500.0
241,36,Row House,3,3,1323,20,33,1,1,Unfurnished,12300000.0,39200.0
242,123,Apartment,4,3,1409,9,24,1,1,Unfurnished,14020000.0,34600.0
243,288,Penthouse,4,4,1555,3,16,2,2,Semi-Furnished,15165000.0,19000.0
244,335,Penthouse,1,1,846,11,22,2,1,Unfurnished,7784000.0,26600.0
245,247,Apartment,1,1,775,26,34,4,1,Fully-Furnished,7480000.0,21800.0
246,58,Apartment,2,2,1239,18,7,0,1,Semi-Furnished,11606000.0,41500.0
247,109,Apartment,4,4,1727,0,12,3,1,Semi-Furnished,16886000.0,45000.0
248,342,Apartment,2,2,1257,16,6,4,0,Unfurnished,18080000.0,40800.0
249,268,Apartment,1,1,518,1,19,0,1,Unfurnished,6048000.0,16100.0
250,230,Villa,2,2,1017,27,4,4,1,Unfurnished,12964000.0,31100.0
251,89,Penthouse,2,1,1242,22,18,4,1,Fully-Furnished,11108000.0,32500.0
252,215,Studio,2,2,644,15,9,4,1,Fully-Furnished,6638000.0,17800.0
253,208,Apartment,4,4,1838,12,16,3,1,Unfurnished,23228000.0,76200.0
254,244,Apartment,2,1,1326,14,22,0,1,Unfurnished,13072000.0,34000.0
255,308,Apartment,2,1,938,6,5,4,1,Semi-Furnished,8649000.0,24100.0
256,457,Apartment,1,1,558,27,16,3,1,Unfurnished,5460000.0,20400.0
257,47,Penthouse,2,1,1076,22,22,2,2,Unfurnished,13350000.0,52500.0
258,203,Studio,4,4,1291,26,34,4,1,Semi-Furnished,12737000.0,38800.0
259,200,Penthouse,2,1,806,0,34,4,0,Fully-Furnished,9037000.0,22600.0
260,161,Villa,2,1,950,6,17,1,0,Fully-Furnished,11599000.0,30900.0
261,68,Apartment,2,1,738,24,23,4,2,Semi-Furnished,7540000.0,20800.0
262,55,Apartment,4,3,1510,5,5,2,1,Semi-Furnished,14874000.0,40800.0
263,480,Penthouse,3,3,1223,4,9,0,1,Unfurnished,16151000.0,32800.0
264,6,Apartment,4,4,1404,2,21,4,1,Fully-Furnished,14358000.0,
265,316,Apartment,1,1,727,28,30,2,1,Unfurnished,5657000.0,19400.0
266,12,Row House,3,3,1446,4,15,5,1,Unfurnished,17769000.0,58700.0
267,444,Apartment,1,1,914,12,4,2,1,Unfurnished,13069000.0,31200.0
268,482,Apartment,5,5,1955,2,9,2,2,Semi-Furnished,23059000.0,63100.0
269,301,Apartment,4,4,1365,19,30,0,1,Semi-Furnished,15101000.0,38800.0
270,14,Penthouse,2,2,704,8,26,2,1,Semi-Furnished,7048000.0,17300.0
271,180,Penthouse,1,1,945,13,24,3,1,Semi-Furnished,10475000.0,31000.0
272,150,Apartment,3,3,1089,21,22,5,2,Unfurnished,11169000.0,38400.0
273,463,Apartment,2,1,776,2,29,1,1,Semi-Furnished,10219000.0,36200.0
274,432,Villa,2,1,1132,3,17,2,1,Fully-Furnished,14314000.0,44100.0
275,92,Villa,3,2,1455,2,13,2,0,Unfurnished,11470000.0,31400.0
276,373,Apartment,1,1,900,19,12,1,1,Unfurnished,13588000.0,41300.0
277,482,Penthouse,3,2,787,8,11,2,1,Unfurnished,8890000.0,30300.0
278,336,Apartment,2,1,1114,24,9,0,2,Semi-Furnished,9957000.0,19600.0
279,244,Villa,1,1,1102,19,24,0,2,Fully-Furnished,13409000.0,25900.0
280,272,Apartment,3,3,1487,27,34,0,2,Unfurnished,17631000.0,50100.0
281,8,Villa,2,1,1038,22,27,1,1,Unfurnished,9687000.0,21500.0
282,279,Villa,4,4,1529,20,33,4,1,Unfurnished,15988000.0,50900.0
283,130,Row House,2,2,953,9,17,5,1,Semi-Furnished,10836000.0,34200.0
284,467,Apartment,1,1,894,22,31,4,2,Unfurnished,10113000.0,30200.0
285,358,Villa,1,1,819,3,11,0,1,Fully-Furnished,9119000.0,25600.0
286,42,Apartment,4,3,1632,28,25,5,1,Semi-Furnished,19847000.0,58900.0
287,152,Apartment,2,2,962,25,8,3,2,Unfurnished,10379000.0,27600.0
288,184,Apartment,4,4,1491,21,27,2,1,Unfurnished,17116000.0,52500.0
289,379,Villa,2,2,1127,5,29,1,1,Unfurnished,11900000.0,32500.0
290,484,Villa,2,1,1300,20,25,5,1,Fully-Furnished,13269000.0,35500.0
291,24,Apartment,3,3,1423,28,25,5,1,Unfurnished,11721000.0,25200.0
292,387,Villa,4,3,1552,13,31,0,1,Semi-Furnished,16509000.0,34800.0
293,38,Apartment,2,2,1031,17,16,2,1,Semi-Furnished,7935000.0,16300.0
294,291,Penthouse,4,3,1401,17,34,1,1,Fully-Furnished,17008000.0,48500.0
295,16,Apartment,3,2,1398,0,32,2,2,Semi-Furnished,14129000.0,38400.0
296,439,Studio,3,2,1364,15,14,0,1,Semi-Furnished,14573000.0,45600.0
297,284,Apartment,3,2,1091,1,16,1,2,Unfurnished,15036000.0,35200.0
298,229,Studio,4,3,1632,13,34,3,1,Fully-Furnished,15961000.0,43100.0
299,296,Apartment,3,2,1296,2,25,3,1,Unfurnished,14751000.0,47300.0
300,332,Row House,1,1,462,12,15,2,2,Fully-Furnished,5352000.0,12900.0
301,413,Studio,3,2,1267,8,13,3,1,Unfurnished,13614000.0,44000.0
302,110,Row House,3,2,1097,5,30,5,0,Semi-Furnished,10526000.0,37900.0
303,65,Penthouse,3,2,1256,8,15,3,1,Semi-Furnished,14384000.0,41300.0
304,327,Villa,3,3,1242,19,8,5,1,Unfurnished,12234000.0,36600.0
305,402,Apartment,2,2,1213,11,33,1,0,Semi-Furnished,16027000.0,52600.0
306,97,Apartment,3,3,823,4,33,3,2,Fully-Furnished,6111000.0,18700.0
307,32,Studio,4,3,1830,19,15,5,0,Semi-Furnished,18195000.0,61700.0
308,228,Villa,2,1,1102,18,25,2,1,Fully-Furnished,15549000.0,48900.0
309,209,Apartment,2,1,1394,26,14,4,1,Unfurnished,10556000.0,26300.0
310,447,Villa,4,4,1402,2,32,4,0,Semi-Furnished,15038000.0,30600.0
311,318,Penthouse,2,1,1054,6,26,5,1,Fully-Furnished,11237000.0,25500.0
312,152,Apartment,4,3,1384,22,14,3,2,Semi-Furnished,17680000.0,37200.0
313,376,Villa,1,1,815,6,27,4,2,Unfurnished,8894000.0,15600.0
314,154,Apartment,3,2,1203,22,29,1,1,Unfurnished,13204000.0,37000.0
315,55,Penthouse,5,4,2014,22,28,2,2,Unfurnished,24367000.0,83000.0
316,49,Apartment,1,1,998,5,27,5,1,Unfurnished,9694000.0,37600.0
317,199,Apartment,1,1,594,21,33,1,1,Semi-Furnished,4963000.0,13000.0
318,140,Row House,3,2,1596,0,5,1,2,Unfurnished,18748000.0,52800.0
319,279,Apartment,1,1,1147,18,26,4,2,Fully-Furnished,14189000.0,42100.0
320,272,Apartment,4,4,1441,11,18,0,2,Unfurnished,21356000.0,62600.0
321,155,Penthouse,1,1,946,12,9,4,2,Semi-Furnished,11733000.0,25800.0
322,271,Apartment,2,1,1343,20,17,0,2,Semi-Furnished,12730000.0,38200.0
323,140,Apartment,1,1,897,3,13,1,1,Semi-Furnished,10887000.0,30700.0
324,4,Apartment,3,2,1403,22,22,4,1,Semi-Furnished,15121000.0,34000.0
325,447,Apartment,2,1,1053,15,10,4,2,Unfurnished,7866000.0,19000.0
326,477,Apartment,3,2,1375,27,32,2,1,Unfurnished,17198000.0,44300.0
