locality_id,month,average_price_sqft,median_price_sqft,demand_index,supply_index,units_sold,available_inventory,absorption_rate,average_days_on_market
1,2025-05,11433.0,11313.7,75.5,72.2,90,20,4.5,101
1,2025-06,11456.7,11410.5,76.4,71.2,105,74,1.419,91
1,2025-07,11425.6,11002.7,77.0,73.2,87,86,1.012,92
1,2025-08,11475.2,11674.7,77.9,74.6,83,58,1.431,92
1,2025-09,11524.0,11273.1,79.3,74.0,86,99,0.869,88
1,2025-10,11546.7,11300.9,78.4,71.4,96,63,1.524,104
1,2025-11,11581.4,11594.3,76.4,68.8,95,53,1.792,94
1,2025-12,11535.0,11633.1,75.7,68.7,77,54,1.426,94
2,2020-01,10189.8,9854.2,84.2,51.8,118,20,5.9,68
2,2020-02,10308.2,9751.6,85.0,54.3,99,29,3.414,95
2,2020-03,10369.5,10522.0,84.0,56.3,102,20,5.1,60
2,2020-04,10358.7,9778.3,82.6,55.0,97,29,3.345,78
2,2020-05,10398.3,9888.4,82.9,55.9,105,75,1.4,93
2,2020-06,10543.5,10177.1,83.6,57.7,101,41,2.463,95
2,2020-07,10587.5,10478.5,83.8,57.7,112,36,3.111,74
2,2020-08,10700.7,10320.9,82.9,58.0,78,69,1.13,90
2,2020-09,10795.8,10948.3,84.8,58.1,98,32,3.062,69
2,2020-10,10895.6,10756.6,86.7,56.3,112,82,1.366,75
2,2020-11,10926.6,11138.9,87.7,53.8,124,20,6.2,66
2,2020-12,11123.2,11110.7,90.2,53.9,116,20,5.8,81
2,2021-01,11229.8,11195.5,88.9,53.4,116,20,5.8,73
2,2021-02,11401.9,10998.2,92.2,51.9,96,22,4.364,62
2,2021-03,11477.2,11529.3,92.6,51.6,132,20,6.6,88
2,2021-04,11598.5,11391.4,92.2,49.8,111,94,1.181,49
2,2021-05,11687.3,11119.9,92.4,49.0,108,77,1.403,50
2,2021-06,11790.3,11349.3,93.3,48.0,94,37,2.541,74
2,2021-07,11968.7,11487.9,90.6,48.0,114,68,1.676,75
2,2021-08,12151.2,11775.5,90.2,48.3,98,73,1.342,86
2,2021-09,12205.9,12299.5,89.5,50.9,117,20,5.85,68
2,2021-10,12364.3,12251.4,91.7,52.2,120,20,6.0,71
2,2021-11,12483.5,11754.9,93.7,53.1,120,26,4.615,79
2,2021-12,12675.4,12835.8,92.7,51.2,114,20,5.7,62
2,2022-01,12815.3,12896.1,90.0,50.7,108,20,5.4,44
2,2022-02,12946.7,13081.2,92.7,50.2,118,80,1.475,66
2,2022-03,13138.3,12571.3,92.3,50.4,89,20,4.45,70
2,2022-04,13232.1,12801.9,89.0,50.6,126,20,6.3,49
2,2022-05,13427.6,13268.8,89.0,48.6,112,55,2.036,60
2,2022-06,13648.0,12960.1,91.6,50.4,97,20,4.85,64
2,2022-07,13853.4,13501.5,95.1,51.9,107,20,5.35,57
2,2022-08,14012.0,14200.2,95.4,51.0,115,20,5.75,57
2,2022-09,14235.3,14107.4,96.1,50.6,149,99,1.505,64
2,2022-10,14445.6,14724.0,94.6,47.7,133,20,6.65,66
2,2022-11,14599.1,13996.9,96.7,47.5,120,20,6.0,87
2,2022-12,14820.5,14483.3,96.6,50.1,117,20,5.85,55
2,2023-01,15111.7,14234.2,98.1,50.3,111,20,5.55,56
2,2023-02,15363.8,14649.8,99.0,48.5,113,20,5.65,67
2,2023-03,15610.5,14920.5,99.0,48.2,133,27,4.926,53
2,2023-04,15793.3,16026.4,99.0,47.9,113,20,5.65,62
2,2023-05,16024.1,16205.9,98.8,47.9,101,20,5.05,58
2,2023-06,16347.3,16210.9,99.0,49.3,145,20,7.25,58
2,2023-07,16588.5,16430.3,99.0,48.9,113,73,1.548,67
2,2023-08,16818.1,16820.7,98.9,48.1,111,25,4.44,62
2,2023-09,17225.3,16631.3,98.7,46.8,120,20,6.0,51
2,2023-10,17439.8,16971.1,99.0,46.1,117,20,5.85,62
2,2023-11,17723.1,17803.8,99.0,44.6,118,21,5.619,51
2,2023-12,18122.6,17882.0,99.0,44.7,107,20,5.35,61
2,2024-01,18232.9,18055.5,97.8,47.0,114,28,4.071,54
2,2024-02,18447.9,18200.5,98.3,47.5,122,25,4.88,64
2,2024-03,18814.8,17762.7,98.3,47.1,108,20,5.4,73
2,2024-04,19204.2,19201.9,99.0,45.2,137,27,5.074,50
2,2024-05,19459.3,19663.0,97.3,43.6,109,20,5.45,55
2,2024-06,19666.6,19009.5,97.0,43.1,116,20,5.8,60
2,2024-07,20037.4,19517.6,97.3,43.2,120,68,1.765,59
2,2024-08,20438.0,19890.7,96.9,42.7,120,20,6.0,62
2,2024-09,20945.1,20862.5,96.2,41.0,135,20,6.75,64
2,2024-10,21278.6,21452.3,97.5,41.3,116,33,3.515,64
2,2024-11,21848.7,21303.3,99.0,42.1,115,20,5.75,63
2,2024-12,22273.5,21485.2,97.8,40.1,114,57,2.0,52
2,2025-01,22853.7,22992.6,96.7,39.5,120,20,6.0,65
2,2025-02,23428.5,22449.0,98.1,40.2,124,20,6.2,72
2,2025-03,23949.2,23112.5,97.5,41.4,126,48,2.625,72
2,2025-04,24529.2,24822.1,97.7,43.4,126,20,6.3,59
2,2025-05,24914.0,24612.0,96.1,44.8,111,20,5.55,62
2,2025-06,25299.5,25430.0,96.1,46.9,112,20,5.6,78
2,2025-07,25867.3,24471.4,95.5,46.1,104,26,4.0,58
2,2025-08,26348.7,24777.4,94.7,46.0,110,32,3.438,74
2,2025-09,26874.8,26600.3,96.0,43.9,120,20,6.0,69
2,2025-10,27577.3,25981.2,95.9,43.0,115,20,5.75,75
2,2025-11,27997.0,26337.8,97.3,44.8,126,20,6.3,74
2,2025-12,28403.3,28720.9,97.0,44.1,122,76,1.605,69
3,2020-01,11108.0,11291.1,46.2,80.1,57,203,0.281,136
3,2020-02,11002.3,11093.0,45.6,80.1,48,130,0.369,127
3,2020-03,11035.2,10524.2,46.1,81.1,39,57,0.684,106
3,2020-04,10966.6,10905.0,48.7,80.9,64,124,0.516,126
3,2020-05,10889.4,10360.4,47.6,82.1,56,115,0.487,137
3,2020-06,10905.0,10817.0,48.7,79.3,40,110,0.364,114
3,2020-07,10859.7,10942.0,51.0,79.3,40,186,0.215,115
3,2020-08,10752.1,10407.3,46.9,77.4,44,77,0.571,119
3,2020-09,10643.4,10439.6,48.7,78.2,53,90,0.589,118
3,2020-10,10591.0,9987.9,49.4,77.9,60,143,0.42,121
3,2020-11,10517.0,10705.8,50.9,80.0,49,168,0.292,107
3,2020-12,10405.7,10469.4,52.5,80.8,54,135,0.4,127
3,2021-01,10352.5,10370.8,53.8,81.3,61,193,0.316,114
3,2021-02,10332.0,10312.0,53.4,81.7,48,90,0.533,116
3,2021-03,10248.4,10195.9,50.3,82.0,57,193,0.295,126
3,2021-04,10175.4,9753.9,51.3,81.9,57,108,0.528,136
3,2021-05,10095.8,10246.0,52.1,80.6,72,163,0.442,126
3,2021-06,10073.0,9838.1,53.0,80.7,62,159,0.39,112
3,2021-07,10005.5,10024.6,52.2,80.1,76,70,1.086,119
3,2021-08,10018.3,10079.1,53.0,78.9,57,106,0.538,136
3,2021-09,9938.0,9507.1,54.1,80.4,62,140,0.443,107
3,2021-10,9933.0,9739.2,56.4,79.9,59,58,1.017,92
3,2021-11,9944.3,9402.8,55.9,79.6,68,105,0.648,113
3,2021-12,9923.9,9648.4,57.7,78.7,73,162,0.451,113
3,2022-01,9851.1,9261.6,55.1,78.4,57,228,0.25,108
3,2022-02,9814.0,9939.4,54.7,78.9,62,115,0.539,113
3,2022-03,9810.7,9830.6,54.9,78.5,66,198,0.333,127
3,2022-04,9777.5,9249.8,56.8,78.7,76,188,0.404,107
3,2022-05,9669.5,9227.2,55.7,79.0,82,118,0.695,109
3,2022-06,9635.3,9420.8,56.8,79.9,63,178,0.354,102
3,2022-07,9614.2,9494.8,58.2,82.5,65,122,0.533,103
3,2022-08,9531.8,9527.6,59.8,83.7,80,39,2.051,118
3,2022-09,9505.8,9658.4,60.3,85.6,78,117,0.667,110
3,2022-10,9550.2,9441.9,61.0,83.9,66,144,0.458,119
3,2022-11,9527.0,9216.8,60.9,83.5,67,136,0.493,106
3,2022-12,9486.9,9631.0,61.8,84.5,64,153,0.418,92
3,2023-01,9452.4,9364.4,61.0,84.3,82,76,1.079,103
3,2023-02,9424.1,9350.7,62.4,83.8,82,103,0.796,114
3,2023-03,9425.3,9175.3,63.7,83.3,87,60,1.45,99
3,2023-04,9425.6,9590.3,63.8,86.4,65,67,0.97,133
3,2023-05,9384.0,8988.6,62.6,87.3,75,124,0.605,106
3,2023-06,9414.1,9199.7,63.0,88.2,87,157,0.554,120
3,2023-07,9423.4,8997.6,62.2,87.0,90,134,0.672,129
3,2023-08,9390.9,8987.5,64.3,84.9,89,86,1.035,115
3,2023-09,9338.9,8987.3,65.0,85.4,83,173,0.48,121
3,2023-10,9311.8,9176.9,64.9,86.1,73,86,0.849,107
3,2023-11,9204.1,9152.2,64.1,86.9,105,45,2.333,109
3,2023-12,9191.0,9319.6,67.1,88.7,99,111,0.892,102
3,2024-01,9169.7,9041.9,68.0,88.1,78,109,0.716,92
3,2024-02,9159.4,9267.8,69.3,88.8,94,93,1.011,94
3,2024-03,9092.1,9067.9,69.2,91.5,75,101,0.743,97
3,2024-04,9083.8,8734.1,67.3,90.5,70,79,0.886,113
3,2024-05,9069.9,8995.8,68.5,90.1,79,92,0.859,94
3,2024-06,9010.6,8597.6,71.6,90.3,71,92,0.772,94
3,2024-07,8976.2,8895.4,72.0,90.9,74,142,0.521,96
3,2024-08,8956.4,9077.4,73.0,92.0,96,70,1.371,120
3,2024-09,8946.2,8936.9,71.6,90.0,79,98,0.806,115
3,2024-10,8895.8,9073.0,71.5,90.1,94,55,1.709,92
3,2024-11,8883.3,8961.4,70.8,88.4,83,83,1.0,116
3,2024-12,8860.8,8523.5,71.5,89.4,82,105,0.781,98
3,2025-01,8837.3,8367.4,71.8,89.4,85,93,0.914,103
3,2025-02,8849.0,8353.5,69.0,89.4,86,20,4.3,99
3,2025-03,8890.9,8423.2,69.3,89.2,69,124,0.556,106
3,2025-04,8859.4,8835.9,67.3,86.7,86,133,0.647,108
3,2025-05,8813.3,8558.8,65.1,86.7,68,103,0.66,113
3,2025-06,8741.6,8248.3,63.1,85.3,77,48,1.604,123
3,2025-07,8698.9,8236.0,65.1,85.2,77,79,0.975,105
3,2025-08,8699.0,8537.2,65.3,86.1,71,88,0.807,108
3,2025-09,8651.6,8623.7,62.4,86.2,89,165,0.539,117
3,2025-10,8595.5,8719.5,63.0,87.4,68,106,0.642,101
3,2025-11,8559.7,8370.3,65.7,86.9,85,120,0.708,101
3,2025-12,8547.1,8575.9,68.1,87.5,88,73,1.205,95
4,2020-01,9342.4,8880.3,55.3,64.3,67,154,0.435,105
4,2020-02,9290.9,8851.2,54.5,65.0,64,196,0.327,133
4,2020-03,9306.1,9458.9,56.1,65.3,63,121,0.521,116
4,2020-04,9246.9,9173.8,55.2,64.3,72,167,0.431,115
4,2020-05,9224.9,8748.0,54.4,63.3,65,175,0.371,107
4,2020-06,9193.8,8811.6,53.1,62.2,71,116,0.612,115
4,2020-07,9191.7,9347.1,51.5,63.9,59,174,0.339,98
4,2020-08,9211.9,8768.2,51.5,64.6,49,119,0.412,112
4,2020-09,9208.6,8990.6,54.5,65.6,54,104,0.519,99
4,2020-10,9175.3,9118.0,52.7,64.1,67,162,0.414,110
4,2020-11,9206.9,9006.3,54.3,64.7,68,211,0.322,111
4,2020-12,9226.4,8890.8,54.5,65.1,59,123,0.48,106
4,2021-01,9252.2,9340.1,55.8,66.0,58,147,0.395,108
4,2021-02,9219.7,8792.0,53.5,64.7,48,109,0.44,121
4,2021-03,9176.7,9261.2,56.6,65.2,53,164,0.323,97
4,2021-04,9073.4,8963.1,54.9,64.8,72,126,0.571,122
4,2021-05,9079.5,8624.0,54.3,64.5,70,116,0.603,123
4,2021-06,9047.0,8615.7,57.9,63.9,77,168,0.458,96
4,2021-07,9014.6,9013.8,58.4,64.7,74,134,0.552,92
4,2021-08,8961.0,8850.9,59.9,67.0,80,132,0.606,117
4,2021-09,8930.3,8991.2,62.1,66.6,58,103,0.563,104
4,2021-10,8950.1,9041.0,60.5,68.3,76,102,0.745,102
4,2021-11,8898.0,8784.2,60.1,67.8,64,138,0.464,107
4,2021-12,8852.0,8649.9,58.7,67.6,61,174,0.351,102
4,2022-01,8855.2,8590.1,58.6,67.8,69,118,0.585,115
4,2022-02,8813.6,8403.8,60.1,67.8,63,168,0.375,99
4,2022-03,8813.7,8718.9,62.1,67.4,80,96,0.833,91
4,2022-04,8878.0,8755.8,62.5,69.0,64,43,1.488,104
4,2022-05,8846.2,9022.1,62.8,69.9,89,110,0.809,98
4,2022-06,8806.8,8459.6,61.4,69.3,82,164,0.5,107
4,2022-07,8758.5,8694.2,60.2,67.3,89,118,0.754,99
4,2022-08,8749.9,8794.4,58.7,68.1,76,142,0.535,101
4,2022-09,8784.1,8724.2,60.2,66.2,61,146,0.418,109
4,2022-10,8748.2,8691.6,60.1,65.9,85,156,0.545,88
4,2022-11,8773.4,8557.9,60.4,65.0,59,106,0.557,97
4,2022-12,8786.6,8535.8,60.5,65.3,55,120,0.458,119
4,2023-01,8764.0,8865.5,60.3,66.1,81,175,0.463,104
4,2023-02,8762.0,8310.8,59.3,66.7,72,57,1.263,108
4,2023-03,8741.7,8242.8,55.6,68.1,65,82,0.793,105
4,2023-04,8737.7,8404.4,56.0,67.7,53,173,0.306,111
4,2023-05,8769.1,8292.5,56.3,67.1,69,116,0.595,114
4,2023-06,8733.4,8333.5,54.4,66.6,55,110,0.5,103
4,2023-07,8650.1,8548.6,54.0,66.0,56,114,0.491,95
4,2023-08,8573.5,8379.3,56.2,64.2,77,116,0.664,121
4,2023-09,8568.9,8189.7,53.9,62.6,66,99,0.667,94
4,2023-10,8552.7,8464.0,54.0,64.4,58,165,0.352,107
4,2023-11,8502.0,8069.8,56.8,64.1,68,87,0.782,107
4,2023-12,8503.4,8628.7,53.7,63.7,53,148,0.358,111
4,2024-01,8534.5,8198.2,56.3,63.9,60,84,0.714,114
4,2024-02,8572.1,8595.7,56.0,64.6,61,101,0.604,99
4,2024-03,8486.4,8334.6,55.3,65.0,52,140,0.371,103
4,2024-04,8422.0,8120.4,54.8,65.1,67,133,0.504,108
4,2024-05,8368.7,8332.4,55.3,67.6,71,117,0.607,118
4,2024-06,8338.1,8049.2,56.1,66.6,57,157,0.363,106
4,2024-07,8323.2,8397.4,55.8,66.6,48,130,0.369,101
4,2024-08,8229.9,8226.5,54.8,65.4,60,141,0.426,105
4,2024-09,8191.9,8280.2,55.0,66.0,72,123,0.585,100
4,2024-10,8166.9,7727.0,56.2,66.1,77,81,0.951,122
4,2024-11,8157.1,8155.2,55.3,66.7,59,163,0.362,114
4,2024-12,8192.6,8037.8,57.0,66.3,61,151,0.404,107
4,2025-01,8227.8,8376.9,56.2,67.5,69,135,0.511,118
4,2025-02,8188.1,8301.5,53.5,65.2,70,177,0.395,109
4,2025-03,8191.3,7956.8,53.2,67.8,90,125,0.72,101
4,2025-04,8158.2,8188.8,52.6,68.1,58,118,0.492,109
4,2025-05,8210.2,8084.0,53.1,66.7,61,180,0.339,114
4,2025-06,8168.3,7922.5,50.9,67.0,51,134,0.381,114
4,2025-07,8074.5,7950.8,50.0,66.5,54,168,0.321,108
4,2025-08,8051.5,7868.0,51.0,68.3,56,139,0.403,107
4,2025-09,8023.0,7873.9,50.5,66.6,71,121,0.587,111
4,2025-10,7978.8,7857.3,51.3,64.7,66,212,0.311,119
4,2025-11,7995.2,7910.9,51.9,64.7,59,198,0.298,97
4,2025-12,7986.0,7649.7,52.8,65.3,72,163,0.442,117
5,2020-01,10333.3,9900.9,78.3,50.5,104,45,2.311,97
5,2020-02,10451.7,10428.3,78.6,49.6,91,73,1.247,77
5,2020-03,10586.3,9986.7,78.8,50.4,83,66,1.258,88
5,2020-04,10707.6,10283.0,77.7,51.9,89,99,0.899,81
5,2020-05,10791.7,10569.5,76.8,52.4,87,77,1.13,91
5,2020-06,10887.3,10539.8,75.8,51.8,86,104,0.827,75
5,2020-07,10958.5,10478.7,76.1,52.1,82,44,1.864,80
5,2020-08,11094.3,11019.9,77.0,53.6,90,77,1.169,89
5,2020-09,11168.0,11299.2,76.9,55.5,106,113,0.938,96
5,2020-10,11257.4,10818.5,77.5,57.3,75,56,1.339,97
5,2020-11,11379.3,11359.0,78.6,59.1,95,72,1.319,89
5,2020-12,11371.3,11409.0,80.8,59.6,106,76,1.395,80
5,2021-01,11306.6,10957.6,79.7,58.8,110,91,1.209,92
5,2021-02,11313.9,11087.3,79.3,59.9,96,20,4.8,95
5,2021-03,11294.4,11089.2,78.9,58.5,125,79,1.582,74
5,2021-04,11295.2,10892.0,80.1,57.9,82,85,0.965,81
5,2021-05,11396.8,11271.6,81.2,57.7,95,20,4.75,83
5,2021-06,11407.2,11291.3,78.3,59.2,102,45,2.267,87
5,2021-07,11491.1,11424.4,76.9,59.5,93,113,0.823,93
5,2021-08,11510.9,10907.5,77.6,62.5,81,58,1.397,84
5,2021-09,11591.0,11636.6,80.1,63.7,95,21,4.524,71
5,2021-10,11675.7,11200.1,80.3,66.7,83,30,2.767,90
5,2021-11,11615.1,11239.5,82.8,68.6,118,126,0.937,90
5,2021-12,11676.0,11784.3,81.3,70.8,93,43,2.163,106
5,2022-01,11691.6,11511.7,83.0,70.2,97,20,4.85,97
5,2022-02,11743.5,11238.6,84.2,71.5,95,42,2.262,89
5,2022-03,11805.8,11911.7,84.3,71.0,96,36,2.667,76
5,2022-04,11755.2,11119.5,85.2,71.3,97,90,1.078,93
5,2022-05,11806.0,11676.0,84.9,72.5,93,103,0.903,98
5,2022-06,11837.1,11281.2,86.6,73.3,83,23,3.609,101
5,2022-07,11772.6,11154.9,86.9,74.5,101,83,1.217,77
5,2022-08,11752.0,11145.8,87.3,75.3,108,26,4.154,84
5,2022-09,11759.2,11434.4,88.3,76.9,114,20,5.7,101
5,2022-10,11848.5,11176.8,87.5,78.2,96,36,2.667,88
5,2022-11,11868.6,11650.0,88.3,77.9,122,36,3.389,79
5,2022-12,11927.0,11317.1,86.7,79.3,99,61,1.623,80
5,2023-01,11973.8,11760.6,86.0,76.5,96,102,0.941,102
5,2023-02,11992.2,11770.9,86.6,75.2,94,45,2.089,87
5,2023-03,12096.0,11811.6,85.4,74.9,109,52,2.096,88
5,2023-04,12201.8,12256.1,85.7,71.9,92,45,2.044,72
5,2023-05,12178.1,12160.2,87.5,69.5,97,78,1.244,80
5,2023-06,12214.1,11644.5,88.8,69.7,115,20,5.75,79
5,2023-07,12295.2,12048.6,89.6,68.9,109,74,1.473,66
5,2023-08,12386.8,12467.7,89.9,69.0,104,46,2.261,76
5,2023-09,12516.7,12638.8,91.3,68.9,91,122,0.746,68
5,2023-10,12524.3,12390.8,90.9,69.4,120,73,1.644,89
5,2023-11,12583.9,11989.1,91.4,68.9,109,42,2.595,80
5,2023-12,12683.0,12182.8,92.8,68.7,109,20,5.45,70
5,2024-01,12669.4,12050.0,94.3,69.6,114,33,3.455,88
5,2024-02,12718.3,12309.6,92.4,70.8,114,20,5.7,89
5,2024-03,12877.6,12208.8,92.4,71.8,110,20,5.5,77
5,2024-04,12867.7,12163.8,91.3,71.1,99,39,2.538,67
5,2024-05,12962.6,12289.1,92.3,71.7,121,20,6.05,90
5,2024-06,13030.7,12993.7,91.6,72.7,109,20,5.45,64
5,2024-07,13046.6,12557.0,94.0,71.9,133,21,6.333,76
5,2024-08,13101.1,12411.1,93.1,72.5,121,20,6.05,65
5,2024-09,13210.9,12661.5,91.8,71.3,100,81,1.235,75
5,2024-10,13247.4,12579.2,93.1,70.1,122,139,0.878,83
5,2024-11,13185.7,13193.9,93.5,70.1,114,50,2.28,74
5,2024-12,13276.7,12852.8,93.7,72.3,101,20,5.05,70
5,2025-01,13274.6,13381.3,96.8,71.8,119,20,5.95,83
5,2025-02,13294.2,12967.4,96.6,73.9,109,55,1.982,87
5,2025-03,13389.7,12896.4,95.3,72.4,100,38,2.632,71
5,2025-04,13408.4,13168.3,96.4,70.2,113,20,5.65,60
5,2025-05,13601.6,13443.4,96.8,70.6,114,20,5.7,66
5,2025-06,13570.1,13064.3,96.8,69.9,115,20,5.75,79
5,2025-07,13625.3,13845.5,97.4,71.6,133,23,5.783,84
5,2025-08,13725.6,13128.1,99.0,70.9,102,20,5.1,86
5,2025-09,13904.9,14042.0,97.7,72.9,123,20,6.15,96
5,2025-10,14008.3,13553.2,99.0,73.2,121,91,1.33,84
5,2025-11,14047.3,13837.2,99.0,69.0,137,20,6.85,92
5,2025-12,14088.0,13813.1,98.4,68.3,121,20,6.05,75
6,2020-01,9657.4,9329.0,70.9,39.9,83,21,3.952,87
6,2020-02,9824.7,9854.9,71.8,39.6,91,38,2.395,91
6,2020-03,9938.1,9539.4,72.4,39.3,76,83,0.916,78
6,2020-04,10166.9,10038.8,70.5,39.2,69,77,0.896,77
6,2020-05,10289.7,10356.9,69.3,41.0,94,51,1.843,105
6,2020-06,10437.2,10096.8,68.9,39.1,99,100,0.99,78
6,2020-07,10575.2,10701.0,70.6,39.6,95,134,0.709,102
6,2020-08,10672.1,10355.8,70.1,39.2,96,65,1.477,75
6,2020-09,10805.7,10533.0,68.1,38.3,88,94,0.936,76
6,2020-10,10922.3,10957.0,69.7,40.2,76,129,0.589,67
6,2020-11,11008.5,10808.8,72.1,38.8,55,85,0.647,67
6,2020-12,11094.8,11085.7,74.1,39.2,99,20,4.95,96
6,2021-01,11211.6,11113.3,73.6,40.5,64,88,0.727,79
6,2021-02,11413.8,10845.7,75.0,40.4,72,55,1.309,60
6,2021-03,11547.9,11736.7,74.7,41.5,103,73,1.411,77
6,2021-04,11629.8,11316.1,72.8,40.5,89,20,4.45,95
6,2021-05,11740.4,11830.4,73.2,41.3,78,97,0.804,68
6,2021-06,11902.0,11961.8,77.0,42.9,96,67,1.433,84
6,2021-07,12014.0,11905.0,79.1,40.7,100,112,0.893,84
6,2021-08,12220.3,11819.1,80.4,41.3,111,76,1.461,39
6,2021-09,12436.9,12553.8,80.0,40.7,87,31,2.806,65
6,2021-10,12645.3,12698.9,81.2,41.9,99,33,3.0,75
6,2021-11,12816.4,12429.1,80.2,41.4,99,85,1.165,75
6,2021-12,12997.3,13151.5,80.4,41.0,91,44,2.068,70
6,2022-01,13234.2,12492.0,82.5,40.8,104,58,1.793,75
6,2022-02,13278.4,12773.1,82.6,41.5,110,58,1.897,71
6,2022-03,13563.0,13366.3,80.8,43.1,91,77,1.182,71
6,2022-04,13666.7,13667.9,82.7,43.0,104,20,5.2,76
6,2022-05,13859.3,13537.2,82.2,43.1,101,87,1.161,80
6,2022-06,14050.7,14305.6,84.5,43.6,77,69,1.116,55
6,2022-07,14199.0,13551.2,84.0,44.1,89,41,2.171,91
6,2022-08,14388.9,13592.9,86.7,45.2,101,41,2.463,85
6,2022-09,14573.8,14539.6,87.7,47.3,110,56,1.964,75
6,2022-10,14766.2,14386.6,87.1,47.9,96,54,1.778,69
6,2022-11,15037.5,15020.6,85.0,49.1,102,48,2.125,69
6,2022-12,15078.3,14941.6,83.7,47.6,96,52,1.846,80
