month,avg_price_sqft,avg_demand,avg_supply,total_units_sold,total_inventory,avg_dom,month_date
2025-02-01,39282.27888888889,80.81,47.46888888888889,8584.0,5830.0,78.96666666666667,2025-02-01
2025-03-01,41252.86,81.02444444444444,47.327777777777776,8848.0,5576.0,76.64444444444445,2025-03-01
2025-04-01,43674.787777777776,81.21888888888888,47.34,8929.0,5601.0,78.17777777777778,2025-04-01
2025-05-01,46093.1,81.46888888888888,47.35666666666667,8653.0,5455.0,76.76666666666667,2025-05-01
2025-06-01,48551.62,81.64,47.59111111111111,8800.0,5584.0,77.4888888888889,2025-06-01
2025-07-01,51247.24888888889,81.68333333333334,47.54222222222222,8814.0,5922.0,78.58888888888889,2025-07-01
2025-08-01,54255.78111111111,81.78444444444445,47.55777777777778,8716.0,5323.0,79.65555555555555,2025-08-01
2025-09-01,57477.64888888889,81.98555555555555,47.64111111111111,8940.0,5912.0,77.85555555555555,2025-09-01
2025-10-01,60864.96666666667,82.67,47.513333333333335,8893.0,5948.0,76.17777777777778,2025-10-01
2025-11-01,64734.93666666667,83.01444444444445,47.46888888888889,9024.0,5608.0,78.2,2025-11-01
2025-12-01,68724.49777777778,83.46444444444444,47.42666666666667,9115.0,5551.0,74.75555555555556,2025-12-01
