locality_id,locality_name,city_name,latest_price_sqft,yoy_price_growth_pct,mom_price_growth_pct,latest_demand_index,latest_supply_index,latest_absorption_rate,latest_avg_days_on_market,location_score,demand_supply_rank,growth_rank
6,Chander Gardens,Mumbai,24332.6,19.43,1.04,92.6,52.4,5.8,74.0,59.5,33,29
80,Nigam Enclave,Chennai,33445.0,26.0,2.54,92.6,39.8,5.35,69.0,59.0,33,20
73,Wable Enclave,Delhi NCR,18979.3,18.65,0.66,92.1,51.3,3.342,85.0,51.1,35,31
7,Kaul Nagar,Mumbai,24589.5,16.43,2.3,92.0,44.4,3.333,72.0,56.2,36,37
29,Pant Layout,Bengaluru,30646.8,26.0,2.43,91.0,35.7,2.682,54.0,57.0,37,20
15,Chanda Layout,Mumbai,47498.9,32.52,2.57,89.6,36.9,2.383,57.0,55.8,38,15
20,Radhakrishnan Gardens,Bengaluru,9963.7,1.32,0.94,89.2,75.0,1.983,84.0,46.9,39,81
90,Solanki Gardens,Chennai,17011.6,12.75,1.65,88.5,51.6,4.346,77.0,49.4,40,45
28,Gaba Nagar,Bengaluru,1923519.5,171.61,8.8,88.0,12.4,1.797,53.0,70.5,41,1
48,Choudhary Gardens,Hyderabad,21798.8,8.11,0.42,87.6,72.9,1.179,88.0,56.7,42,65
34,Kanda Gardens,Pune,22676.9,10.79,0.79,87.2,52.1,5.85,50.0,64.3,43,55
76,Prakash Gardens,Chennai,9968.4,1.82,0.28,86.2,72.9,2.116,87.0,54.5,44,80
62,Dua Gardens,Delhi NCR,51128.6,41.84,3.39,85.7,28.5,4.95,67.0,63.1,45,11
56,Memon Nagar,Hyderabad,35317.6,39.08,2.64,85.6,33.9,4.318,53.0,66.8,46,12
44,Sangha Colony,Pune,24247.3,16.66,1.58,84.4,38.7,2.373,58.0,55.0,47,36
35,Bhalla Nagar,Pune,39543.2,23.01,1.43,83.6,43.2,4.35,64.0,60.2,48,26
14,Nayar Nagar,Mumbai,15164.0,17.87,1.17,83.4,41.9,2.846,77.0,44.8,49,33
41,Shanker Gardens,Pune,154559.2,105.39,4.83,83.3,19.4,1.863,51.0,60.5,50,4
82,Amble Hills,Chennai,23994.0,12.63,0.34,83.3,51.7,3.4,62.0,52.4,50,47
50,Bhatt Layout,Hyderabad,11867.0,9.13,1.09,83.2,51.8,1.565,80.0,42.6,52,62
42,Lanka Nagar,Pune,12887.6,-0.14,-0.14,82.4,76.9,1.424,103.0,63.4,53,82
78,Dara Layout,Chennai,13189.0,9.86,0.45,81.0,47.1,3.519,67.0,47.0,54,59
87,Mallick Enclave,Chennai,17396.5,11.77,1.14,79.5,44.3,1.333,79.0,58.0,55,50
39,Murty Extension,Pune,10121.8,-0.86,-0.15,79.4,76.1,3.583,87.0,50.1,56,85
60,Tripathi Extension,Hyderabad,9134.4,3.93,0.27,78.7,63.8,1.029,96.0,41.2,57,74
43,Koshy Layout,Pune,22514.7,12.75,0.96,78.4,40.5,1.961,77.0,48.6,58,45
65,Bahl Colony,Delhi NCR,20102.7,7.78,1.16,78.1,48.5,1.258,77.0,38.8,59,66
30,Loke Colony,Bengaluru,71546.4,30.53,3.07,78.0,30.5,5.1,75.0,62.5,60,17
86,Varkey Colony,Chennai,9738.8,3.23,0.47,77.4,69.5,1.935,79.0,48.7,61,77
36,Balay Layout,Pune,28724.1,19.58,1.65,76.6,31.1,1.309,77.0,51.6,62,28
38,Bhatti Enclave,Pune,24751.7,26.94,2.21,76.4,32.6,1.842,74.0,52.0,63,19
10,Mall Enclave,Mumbai,138595.4,114.73,18.36,76.4,5.8,1.28,73.0,55.4,63,3
45,Pathak Enclave,Pune,8268.0,-3.71,0.04,76.1,82.6,1.309,96.0,37.6,65,90
18,Bassi Extension,Bengaluru,30211.3,12.19,1.53,76.1,46.1,0.646,93.0,55.5,65,49
58,Aggarwal Colony,Hyderabad,71070.5,83.99,6.15,75.7,15.1,1.066,79.0,51.5,67,6
1,Bakshi Layout,Mumbai,11535.0,2.75,-0.4,75.7,68.7,1.426,94.0,43.8,67,78
27,Setty Gardens,Bengaluru,18199.7,12.97,1.69,74.9,37.5,0.938,88.0,51.5,69,44
46,Devi Extension,Hyderabad,19271.6,17.93,2.66,73.7,34.8,0.497,49.0,51.0,70,32
79,Kar Colony,Chennai,20262.9,11.6,1.25,70.7,49.2,0.875,83.0,49.1,71,52
13,Dugal Gardens,Mumbai,116714.3,58.38,3.45,70.4,20.5,0.673,50.0,52.6,72,9
75,Muni Hills,Delhi NCR,12579.9,5.51,0.18,69.4,58.3,1.343,86.0,46.9,73,71
11,Dutta Extension,Mumbai,13284.2,6.97,0.31,69.0,39.6,0.537,91.0,49.4,74,69
59,Tella Enclave,Hyderabad,10286.2,3.73,0.33,68.3,54.6,0.664,71.0,49.3,75,75
3,Dewan Enclave,Mumbai,8547.1,-3.11,-0.15,68.1,87.5,1.205,95.0,54.5,76,89
23,Bath Colony,Bengaluru,14261.8,5.11,0.38,67.2,53.0,0.729,112.0,58.5,77,72
31,Garg Enclave,Pune,12775.2,3.51,0.22,67.1,51.5,1.039,87.0,47.0,78,76
37,Rattan Colony,Pune,25150.4,13.8,1.29,67.0,45.9,1.01,98.0,50.2,79,40
84,Bir Nagar,Chennai,14873.7,18.98,2.15,62.1,23.6,0.358,61.0,46.6,80,30
52,Wadhwa Enclave,Hyderabad,9411.5,2.11,0.91,61.9,52.4,0.849,90.0,42.4,81,79
33,Raghavan Hills,Pune,13275.7,9.2,0.98,61.6,32.7,0.287,99.0,50.7,82,61
74,Kakar Extension,Delhi NCR,67568.5,37.09,2.65,60.4,22.0,0.565,87.0,45.9,83,14
68,Khosla Hills,Delhi NCR,17916.1,10.74,1.17,60.1,35.7,1.103,75.0,48.0,84,56
24,Mann Enclave,Bengaluru,9677.4,-0.85,1.35,59.5,46.5,0.693,112.0,51.5,85,84
9,Kannan Colony,Mumbai,17833.4,14.13,1.49,59.1,30.0,0.559,97.0,55.1,86,39
25,Kaul Extension,Bengaluru,8168.5,-1.52,-0.86,55.7,77.8,0.585,108.0,40.3,87,87
4,Chahal Extension,Mumbai,7986.0,-2.73,-0.12,52.8,65.3,0.442,117.0,46.6,88,88
16,Chatterjee Colony,Bengaluru,10696.3,-0.54,0.26,52.3,41.0,0.367,99.0,42.7,89,83
49,Dutta Nagar,Hyderabad,8921.2,-1.12,0.01,51.8,40.0,0.46,115.0,47.5,90,86
