property_id,gross_yield,net_yield,cap_rate,cash_on_cash_return,dscr,roi_total_holding_period,irr,npv,payback_period_years,terminal_value_cagr,locality_name,asking_price,irr_mean,irr_std,npv_mean,probability_negative_npv,probability_meets_target_irr,var_95_npv,cvar_95_npv,stability_pct,base_case_label
195,0.0259,0.0209,0.0209,0.0195,,-0.0867,-0.0187,-6004775.25,,-0.0229,Mann Enclave,13378000.0,-0.019,0.0231,-5932701.86,1.0,0.0,-7395160.91,-7616850.61,78.5,AVOID
6007,0.0373,0.033,0.033,0.0308,,0.9267,0.1463,5138592.77,4.49,0.1412,Rattan Colony,22081000.0,0.1464,0.0232,5229531.36,0.018,0.982,745845.68,106393.31,98.2,INVEST
5842,0.0426,0.0385,0.0385,0.036,,0.6847,0.1161,775910.07,4.56,0.1044,Mallick Enclave,10251000.0,0.1163,0.0229,829323.86,0.245,0.7565,-986746.08,-1255464.91,75.5,INVEST
26,0.0395,0.0362,0.0362,0.0338,,1.1168,0.1691,6962290.08,4.44,0.1629,Bhatti Enclave,19276000.0,0.1695,0.0231,7055748.74,0.0,1.0,2844357.21,2230307.92,100.0,INVEST
5648,0.0379,0.034,0.034,0.0317,,0.7627,0.1257,1772327.65,4.53,0.1186,Devi Extension,14246000.0,0.126,0.0231,1844234.73,0.1425,0.858,-810920.04,-1205272.97,85.8,INVEST
1647,0.0338,0.0276,0.0276,0.0258,,1.2835,0.1854,11091217.43,4.41,0.1866,Gade Extension,23797000.0,0.1851,0.0235,11106376.45,0.0,1.0,5433606.64,4632644.38,100.0,INVEST
7944,0.0379,0.0342,0.0342,0.032,,0.9427,0.1484,2650590.32,4.48,0.1425,Chand Hills,10854000.0,0.1487,0.0231,2704189.7,0.013,0.987,485103.3,174632.74,98.7,INVEST
5177,0.0428,0.0367,0.0367,0.0343,,0.6191,0.1066,285504.88,4.58,0.0959,Bir Nagar,9251000.0,0.1063,0.0229,310539.37,0.3985,0.602,-1280416.29,-1516913.06,60.1,INVEST
4043,0.0389,0.0337,0.0337,0.0315,,0.9403,0.1481,4069207.77,4.48,0.1425,Chand Hills,16798000.0,0.148,0.0232,4121352.45,0.014,0.986,690931.66,204677.59,98.6,INVEST
6644,0.0314,0.0258,0.0258,0.0241,,0.0177,0.0037,-3237938.92,4.98,-0.0041,Murty Extension,8608000.0,0.0033,0.0229,-3200141.75,1.0,0.0,-4210055.37,-4367764.07,55.4,HOLD
1084,0.0425,0.0374,0.0374,0.0349,,-0.0097,-0.0021,-5628181.29,,-0.0229,Mann Enclave,14565000.0,-0.0022,0.0222,-5552868.94,1.0,0.0,-7142438.5,-7387087.27,53.9,AVOID
6687,0.0407,0.0359,0.0359,0.0335,,0.8807,0.1412,3571692.47,4.5,0.1334,Choudhary Gardens,17494000.0,0.1412,0.0231,3640230.57,0.04,0.96,189468.72,-308511.93,96.0,INVEST
7269,0.041,0.0352,0.0352,0.0329,,0.2643,0.0509,-2834710.7,4.77,0.0373,Muni Hills,13770000.0,0.0506,0.0227,-2780863.39,0.9945,0.0055,-4689932.62,-4968403.61,99.0,HOLD
5565,0.0309,0.0262,0.0262,0.0245,,-0.0047,-0.001,-5380778.85,,-0.0096,Dutta Nagar,13770000.0,-0.0011,0.0228,-5302428.83,1.0,0.0,-6891849.27,-7127533.21,51.9,AVOID
1239,0.0358,0.0317,0.0317,0.0296,,1.0883,0.165,6539968.68,4.45,0.162,Amble Hills,19283000.0,0.1651,0.0233,6615314.39,0.0,1.0,2392238.16,1802490.13,100.0,INVEST
