event_id,property_id,event_date,event_type,source,event_value
247,5069,2025-12-01,Lead,App,0.794
248,5865,2025-01-11,Inquiry,Ad Campaign,0.344
249,1283,2026-05-20,Site Visit,App,0.261
250,7527,2025-04-18,View,Walk-in,0.099
251,710,2025-07-10,Inquiry,Website,0.214
252,5576,2025-12-03,Lead,App,0.124
253,5531,2025-12-17,Inquiry,Broker,0.115
254,4745,2024-11-23,View,App,0.926
255,4414,2024-12-26,View,Walk-in,0.055
256,3749,2025-04-11,Lead,Website,0.102
257,7393,2026-01-24,Inquiry,Website,0.218
258,7987,2025-02-16,Lead,Website,0.701
259,5354,2025-10-01,Inquiry,Website,0.608
260,4780,2024-09-14,Booking,Broker,0.357
261,664,2025-01-10,Site Visit,Website,0.368
262,1999,2025-10-19,Site Visit,Broker,0.212
263,7995,2025-01-21,View,Website,0.111
264,3446,2025-08-16,View,Ad Campaign,0.89
265,3744,2025-09-28,View,Walk-in,0.674
266,5728,2025-07-08,Inquiry,Ad Campaign,0.714
267,1496,2025-05-09,View,Broker,0.497
268,3305,2025-06-04,View,Website,0.862
269,3764,2026-07-15,View,Walk-in,0.722
270,5233,2026-05-04,View,Broker,0.257
271,1854,2026-03-06,Cancellation,Walk-in,0.773
272,5617,2025-04-13,View,Broker,0.569
273,6586,2024-10-12,View,Walk-in,0.278
274,4660,2025-04-06,Inquiry,Ad Campaign,0.396
275,1292,2025-02-24,View,Website,0.444
276,3582,2026-01-11,View,Walk-in,0.151
277,7975,2026-08-04,Inquiry,Website,0.071
278,3458,2025-03-14,Booking,Broker,0.02
279,7555,2025-10-30,Cancellation,App,0.654
280,7281,2024-11-26,Site Visit,Walk-in,0.95
281,1637,2024-08-19,Site Visit,App,0.587
282,3697,2024-11-03,View,Ad Campaign,0.302
283,3000,2024-09-29,View,Website,0.633
284,3153,2025-09-21,View,Ad Campaign,0.321
285,699,2026-02-27,Inquiry,Walk-in,0.556
286,2161,2026-01-23,View,App,0.817
287,4098,2025-01-17,View,App,0.041
288,4738,2025-09-17,Inquiry,Broker,0.315
289,6364,2026-05-06,Lead,App,0.539
290,5686,2024-11-11,View,Broker,0.509
291,855,2025-02-17,Site Visit,Ad Campaign,0.119
292,5856,2024-12-01,Inquiry,Walk-in,0.154
293,7393,2026-05-13,View,App,0.3
294,6529,2025-08-21,View,Walk-in,0.834
295,3475,2026-04-30,Lead,Broker,0.99
296,5758,2025-02-22,Inquiry,Broker,0.124
297,5250,2024-10-28,View,Walk-in,0.139
298,5173,2026-03-03,Inquiry,Website,0.231
299,1708,2024-08-26,View,Broker,0.135
300,2778,2026-01-01,View,Broker,0.03
301,5792,2024-09-05,Inquiry,Ad Campaign,0.628
302,1734,2025-07-24,View,Broker,0.758
303,5536,2025-08-11,View,Ad Campaign,0.988
304,6391,2025-09-03,View,Website,0.182
305,4932,2026-03-31,View,Ad Campaign,0.984
306,3511,2025-05-04,Lead,Website,0.217
307,203,2026-05-29,View,App,0.783
308,3256,2025-06-06,Booking,Website,0.137
309,4219,2025-10-04,View,Broker,0.071
310,4497,2025-08-18,View,Website,0.705
311,767,2025-06-04,View,Walk-in,0.148
312,4390,2025-04-04,View,Walk-in,0.03
313,2328,2026-06-04,Site Visit,Walk-in,0.045
314,2932,2024-09-23,Site Visit,Website,0.626
315,7778,2025-01-29,View,Website,0.523
316,198,2025-10-24,View,Walk-in,0.272
317,7126,2026-02-14,Lead,Broker,0.573
318,1931,2026-01-17,View,Walk-in,0.372
319,3583,2026-05-29,View,Ad Campaign,0.732
320,6896,2026-01-25,View,Ad Campaign,0.053
321,6288,2025-07-02,Site Visit,Walk-in,0.521
322,609,2025-12-04,Lead,App,0.968
323,3273,2024-11-18,View,Broker,0.247
324,1148,2024-12-20,Lead,Website,0.328
325,4283,2025-07-25,View,App,0.677
326,3398,2026-04-25,Lead,Broker,0.685
327,2512,2025-07-09,Inquiry,Broker,0.325
328,7517,2025-06-30,View,Walk-in,0.248
329,1795,2024-09-01,View,Website,0.811
330,660,2025-03-03,Inquiry,App,0.218
331,2812,2025-12-05,Inquiry,App,0.75
332,7099,2026-05-07,View,Broker,0.521
333,6052,2024-09-15,Inquiry,Website,0.922
334,6547,2026-01-30,View,Ad Campaign,0.072
335,1370,2024-09-02,Site Visit,Broker,0.242
336,1987,2026-05-01,View,Walk-in,0.109
337,5631,2025-09-05,Booking,App,0.107
338,147,2025-03-27,View,Ad Campaign,0.966
339,3220,2026-03-23,Inquiry,Website,0.005
340,2912,2025-05-06,View,App,0.077
341,1735,2025-04-18,Site Visit,Website,0.755
342,1844,2024-11-30,View,App,0.162
343,489,2024-10-24,Inquiry,Ad Campaign,0.962
344,2977,2025-09-10,Booking,Ad Campaign,0.106
345,1960,2025-04-07,View,Broker,0.847
346,5760,2025-09-18,View,Website,0.376
347,6695,2026-04-01,Inquiry,Broker,0.638
348,2386,2026-06-10,View,Walk-in,0.481
349,2920,2026-05-19,Inquiry,Website,0.626
350,4737,2025-11-18,Inquiry,App,0.388
351,1803,2026-06-06,Inquiry,Broker,0.89
352,6617,2026-05-02,View,App,0.778
353,6066,2025-12-20,View,Website,0.7
354,6295,2025-07-13,Lead,Ad Campaign,0.157
355,5535,2025-03-07,Site Visit,Website,0.73
356,4062,2025-01-05,View,Walk-in,0.561
357,3370,2025-11-05,Inquiry,App,0.246
358,5731,2024-10-04,View,Ad Campaign,0.794
359,263,2024-09-19,Inquiry,Website,0.563
360,5884,2025-02-05,View,Ad Campaign,0.736
361,6288,2025-03-21,View,App,0.052
362,6490,2025-07-07,Booking,Walk-in,0.412
363,624,2024-10-19,Inquiry,App,0.098
364,1017,2025-11-29,Lead,Website,0.546
365,3644,2025-03-28,Inquiry,Walk-in,0.401
366,4977,2025-01-29,Lead,Broker,0.212
367,2050,2026-01-24,Site Visit,Walk-in,0.707
368,7041,2025-01-30,Inquiry,App,0.071
369,5424,2025-12-26,View,Broker,0.801
370,6398,2025-07-07,View,Website,0.743
371,3724,2025-02-04,View,Ad Campaign,0.409
372,4549,2026-03-05,View,Broker,0.869
373,3109,2025-12-04,View,Ad Campaign,0.359
374,5280,2025-11-15,Site Visit,App,0.511
375,4091,2026-04-29,View,Walk-in,0.987
376,7159,2025-08-28,Inquiry,Broker,0.031
377,2057,2025-07-05,Site Visit,Website,0.766
378,7401,2025-01-28,Lead,Walk-in,0.555
379,3171,2026-02-09,Inquiry,App,0.799
380,1683,2025-11-02,Booking,App,0.175
381,6960,2025-07-08,Inquiry,Walk-in,0.168
382,2256,2026-02-20,View,App,0.201
383,1155,2024-11-03,View,Broker,0.573
384,4500,2026-01-23,View,Ad Campaign,0.857
385,6296,2025-12-10,Booking,Website,0.38
386,6198,2024-12-28,View,Website,0.167
387,3192,2025-10-11,Inquiry,Broker,0.463
388,1697,2024-08-28,Booking,Broker,0.04
389,3992,2025-03-15,Site Visit,Broker,0.153
390,4724,2025-10-26,Site Visit,Ad Campaign,0.951
391,4683,2025-12-01,Booking,App,0.689
392,1649,2025-09-15,View,App,0.614
393,5540,2026-03-24,View,App,0.451
394,1446,2024-12-11,View,Broker,0.97
395,4200,2025-01-14,View,Website,0.917
396,3924,2025-06-07,View,App,0.457
397,254,2026-07-14,View,Website,0.208
398,7395,2024-10-15,View,Ad Campaign,0.923
399,3184,2024-10-08,Inquiry,App,0.254
400,2558,2026-08-02,Lead,App,0.553
401,5593,2026-07-21,View,Ad Campaign,0.13
402,99,2024-11-08,Inquiry,Ad Campaign,0.425
403,2201,2026-04-06,Lead,Ad Campaign,0.377
404,5981,2025-08-13,Inquiry,Walk-in,0.349
405,2962,2026-02-07,Inquiry,Website,0.304
406,6016,2026-04-10,Inquiry,Ad Campaign,0.906
407,4974,2026-06-30,View,Broker,0.804
408,4434,2025-06-13,Inquiry,Ad Campaign,0.121
409,3778,2024-10-22,View,Ad Campaign,0.113
410,2870,2025-05-22,Site Visit,Website,0.538
411,3235,2026-06-02,Lead,Website,0.306
412,3792,2026-05-19,View,Website,0.03
413,957,2025-08-23,Lead,Walk-in,0.94
414,5801,2025-11-16,Inquiry,Website,0.09
415,4068,2025-08-20,Inquiry,App,0.129
416,161,2024-12-14,View,Ad Campaign,0.608
417,5700,2025-04-02,View,Website,0.785
418,6945,2026-02-07,Site Visit,App,0.778
419,4494,2026-04-30,Inquiry,App,0.949
420,1301,2025-05-09,View,Broker,0.324
421,4912,2024-11-22,View,Website,0.728
422,3988,2025-10-14,View,Ad Campaign,0.432
423,1528,2025-09-30,Inquiry,Broker,0.368
424,6016,2025-04-16,Inquiry,Walk-in,0.257
425,5512,2026-01-14,View,Website,0.89
426,5255,2026-06-19,Inquiry,App,0.218
427,1219,2025-11-21,Inquiry,Ad Campaign,0.866
428,4497,2025-03-26,View,Website,0.826
429,4736,2025-03-22,View,Website,0.103
430,3105,2025-04-22,Lead,App,0.349
431,2736,2026-01-04,Lead,Website,0.471
432,4556,2026-05-25,Site Visit,App,0.224
433,955,2025-09-25,Booking,Website,0.625
434,4566,2025-01-07,Lead,App,0.931
435,3447,2026-05-26,Site Visit,App,0.268
436,1046,2025-01-11,Inquiry,Walk-in,0.263
437,6894,2025-02-20,Lead,Broker,0.845
438,1694,2026-08-05,Inquiry,App,0.714
439,6182,2026-08-12,Lead,Website,0.029
440,6374,2025-11-02,Inquiry,App,0.526
441,3437,2024-09-04,Inquiry,Walk-in,0.76
442,563,2024-11-14,Cancellation,Website,0.513
443,2486,2025-02-23,Site Visit,Broker,0.429
444,5896,2025-11-05,Inquiry,Broker,0.932
445,3355,2025-06-01,Inquiry,Website,0.786
446,6171,2024-09-19,Inquiry,App,0.952
447,226,2025-11-04,Booking,Walk-in,0.008
448,7445,2025-06-10,View,Website,0.554
449,4894,2025-04-17,View,Website,0.097
450,7777,2025-01-30,Site Visit,Broker,0.819
451,6428,2026-01-03,Site Visit,Walk-in,0.077
452,7023,2026-01-19,View,Website,0.268
453,960,2025-01-28,View,Walk-in,0.001
454,5601,2024-10-14,View,Ad Campaign,0.405
455,4549,2025-12-16,Inquiry,Ad Campaign,0.001
456,3068,2025-01-13,Inquiry,Broker,0.02
457,7997,2025-08-04,Booking,Ad Campaign,0.669
458,816,2025-07-25,View,Ad Campaign,0.77
459,4755,2025-11-01,View,Broker,0.477
460,7684,2026-08-13,Lead,Ad Campaign,0.939
461,4643,2025-11-13,Lead,Walk-in,0.195
462,5312,2026-03-23,View,Walk-in,0.535
463,3121,2026-01-16,Lead,Website,0.438
464,7680,2026-01-09,Inquiry,Website,0.003
465,17,2025-08-31,View,Walk-in,0.261
466,7340,2026-07-09,Lead,Ad Campaign,0.285
467,1244,2024-10-13,View,Broker,0.557
468,2206,2024-10-03,Lead,Website,0.252
469,2525,2026-01-20,Site Visit,Walk-in,0.902
470,1070,2025-11-27,View,Website,0.661
471,3445,2025-01-31,Inquiry,Ad Campaign,0.606
472,2566,2026-07-22,View,Walk-in,0.017
473,6243,2026-06-29,Inquiry,Ad Campaign,0.593
474,5865,2025-03-09,View,App,0.775
475,1061,2025-04-08,Inquiry,Website,0.928
476,2328,2024-12-28,View,Walk-in,0.393
477,3421,2025-09-08,View,Walk-in,0.494
478,6641,2025-11-02,Lead,Ad Campaign,0.148
479,302,2025-12-03,Lead,Website,0.537
480,4277,2025-02-18,View,Website,0.089
481,607,2025-03-06,View,Ad Campaign,0.396
482,3171,2024-10-21,View,Walk-in,0.365
483,700,2025-01-18,View,Ad Campaign,0.566
484,5089,2026-03-11,View,Walk-in,0.986
485,1140,2025-10-02,Inquiry,Website,0.78
486,191,2024-11-05,View,Ad Campaign,0.883
487,2301,2025-12-07,View,Website,0.919
488,981,2026-02-20,Site Visit,Ad Campaign,0.993
489,2976,2026-01-18,View,Website,0.121
490,6103,2024-12-02,View,Walk-in,0.238
491,1185,2025-05-01,Inquiry,Broker,0.956
492,3328,2025-07-19,Lead,Walk-in,0.214
493,3395,2026-06-18,Inquiry,Broker,0.704
494,128,2025-01-28,Inquiry,Ad Campaign,0.741
495,2066,2026-04-28,View,Website,0.866
496,1817,2024-09-21,Lead,Walk-in,0.63
497,5855,2025-01-12,Inquiry,Broker,0.914
498,6710,2025-05-05,Site Visit,Website,0.648
499,570,2025-12-24,View,Broker,0.253
500,5443,2025-12-07,View,Broker,0.016
501,1896,2026-03-28,Lead,Broker,0.175
502,2734,2025-07-09,View,Walk-in,0.219
503,3864,2025-06-27,View,Website,0.506
504,4722,2025-07-11,Inquiry,App,0.329
505,7456,2025-04-19,View,Broker,0.505
506,4015,2024-08-19,Booking,Website,0.895
507,2902,2026-03-10,Inquiry,App,0.256
508,1687,2025-01-04,View,Website,0.419
509,3010,2026-02-18,View,App,0.907
510,7807,2025-08-07,View,Walk-in,0.421
511,155,2026-06-13,Site Visit,App,0.001
512,2538,2025-11-27,View,App,0.505
513,1410,2026-06-02,Lead,Broker,0.925
514,4058,2025-05-26,View,Ad Campaign,0.849
515,785,2024-10-01,Lead,Broker,0.749
516,3176,2025-01-26,View,Walk-in,0.986
517,7561,2026-05-08,View,App,0.57
518,7979,2025-01-18,View,App,0.838
519,4342,2026-08-18,Lead,Broker,0.921
520,7344,2024-10-07,Lead,Walk-in,0.888
521,7207,2024-12-29,View,App,0.725
522,5597,2025-02-20,View,Broker,0.841
523,5802,2025-03-12,Lead,Walk-in,0.482
524,2807,2026-08-16,Lead,App,0.878
525,538,2026-02-28,View,Broker,0.252
526,5987,2024-10-26,View,Ad Campaign,0.067
527,1842,2025-07-02,View,Walk-in,0.352
528,5017,2025-01-29,View,Broker,0.478
529,2456,2025-11-12,Cancellation,App,0.593
530,525,2025-07-04,View,Ad Campaign,0.376
531,6972,2026-01-19,View,Ad Campaign,0.429
532,5626,2025-11-30,Inquiry,Walk-in,0.973
533,2951,2025-08-25,View,Ad Campaign,0.102
534,7993,2026-03-04,View,Ad Campaign,0.544
535,4132,2026-03-23,View,Broker,0.891
536,4781,2024-12-11,View,Website,0.908
537,4116,2026-01-12,View,Walk-in,0.971
538,2369,2025-12-09,View,App,0.561
539,3848,2025-06-19,Site Visit,App,0.56
540,6656,2025-09-21,View,Walk-in,0.851
541,4496,2024-10-12,Lead,Ad Campaign,0.764
542,2702,2025-09-08,Inquiry,App,0.634
543,972,2026-01-09,Inquiry,App,0.238
544,6003,2025-12-29,Booking,App,0.462
545,6615,2026-02-14,View,Broker,0.958
546,1167,2025-07-31,Lead,Website,0.733
547,5212,2024-10-01,Inquiry,Ad Campaign,0.385
548,7522,2025-05-28,Inquiry,Ad Campaign,0.179
549,4930,2025-02-25,Lead,App,0.709
550,5920,2026-06-16,Site Visit,Walk-in,0.062
551,2775,2024-09-09,Booking,Broker,0.271
552,1983,2025-08-14,View,Website,0.494
553,854,2025-02-21,Site Visit,Ad Campaign,0.491
554,4147,2024-10-20,Booking,App,0.674
555,3737,2025-05-22,Booking,Ad Campaign,0.366
556,3770,2024-09-06,Lead,Website,0.028
557,575,2026-01-31,Site Visit,Ad Campaign,0.374
558,3262,2024-10-02,Lead,Ad Campaign,0.721
559,1149,2026-02-02,Inquiry,Ad Campaign,0.913
560,6294,2024-12-10,Site Visit,Website,0.394
561,6458,2025-06-16,View,App,0.827
562,6714,2025-08-27,View,App,0.175
563,7510,2025-01-13,View,Website,0.929
564,6449,2026-05-01,View,Website,0.7
565,1716,2025-04-17,View,Walk-in,0.37
566,4778,2025-10-31,Inquiry,Broker,0.24
567,4934,2026-06-23,View,Website,0.117
568,3855,2026-04-16,Lead,Website,0.435
569,5174,2025-07-11,Inquiry,Walk-in,0.057
570,7147,2025-02-17,Lead,Website,0.753
571,2492,2026-04-01,Inquiry,App,0.047
572,2661,2025-09-30,Inquiry,Ad Campaign,0.207
573,7137,2025-08-03,Site Visit,Ad Campaign,0.917
574,6408,2025-05-25,View,Website,0.716
575,3125,2025-02-25,Inquiry,Ad Campaign,0.739
576,5692,2024-11-25,View,Broker,0.881
