property_id,driver,driver_value,delta_label,irr,npv,roi
5053,appreciation_rate,0.1416,-0.03,0.1401,3371354.99,0.8896
5053,appreciation_rate,0.15660000000000002,-0.015,0.1544,4698474.82,1.0094
5053,appreciation_rate,0.1716,0.0,0.1688,6096255.56,1.1356
5053,appreciation_rate,0.1866,0.015,0.1831,7567482.07,1.2684
5053,appreciation_rate,0.2016,0.03,0.1975,9115011.44,1.408
5053,holding_period_years,3.0,-2.0,0.1579,2912450.86,0.5412
5053,holding_period_years,4.0,-1.0,0.165,4475125.91,0.8167
5053,holding_period_years,5.0,0.0,0.1688,6096255.56,1.1356
5053,holding_period_years,6.0,1.0,0.171,7783577.54,1.5053
5053,holding_period_years,7.0,2.0,0.1724,9544975.65,1.9345
7622,purchase_price,14470200.0,-0.1,0.1276,1926645.65,0.7735
7622,purchase_price,15274100.0,-0.05,0.126,1923192.34,0.7646
7622,purchase_price,16078000.0,0.0,0.1247,1919739.04,0.7565
7622,purchase_price,16881900.0,0.05,0.1235,1916285.75,0.7493
7622,purchase_price,17685800.0,0.1,0.1224,1912832.44,0.7427
7622,monthly_rent,48780.0,-0.1,0.1219,1699838.62,0.7397
7622,monthly_rent,51490.0,-0.05,0.1233,1809788.83,0.7481
7622,monthly_rent,54200.0,0.0,0.1247,1919739.04,0.7565
7622,monthly_rent,56910.0,0.05,0.1261,2029689.26,0.765
7622,monthly_rent,59620.00000000001,0.1,0.1275,2139639.47,0.7734
7622,vacancy_rate,0.05405,-0.5,0.1264,2053000.81,0.7667
7622,vacancy_rate,0.1081,0.0,0.1247,1919739.04,0.7565
7622,vacancy_rate,0.16215000000000002,0.5,0.123,1786477.27,0.7463
7622,vacancy_rate,0.2162,1.0,0.1213,1653215.5,0.7361
7622,vacancy_rate,0.32430000000000003,2.0,0.1178,1386691.95,0.7157
7622,annual_operating_expenses,49905.0,-0.1,0.125,1940758.95,0.7581
7622,annual_operating_expenses,52677.5,-0.05,0.1248,1930249.0,0.7573
7622,annual_operating_expenses,55450.0,0.0,0.1247,1919739.04,0.7565
7622,annual_operating_expenses,58222.5,0.05,0.1246,1909229.09,0.7557
7622,annual_operating_expenses,60995.00000000001,0.1,0.1244,1898719.13,0.7549
7622,appreciation_rate,0.0886,-0.03,0.0965,-257936.31,0.5527
7622,appreciation_rate,0.1036,-0.015,0.1106,801310.86,0.6518
7622,appreciation_rate,0.1186,0.0,0.1247,1919739.04,0.7565
7622,appreciation_rate,0.1336,0.015,0.1388,3099794.18,0.867
7622,appreciation_rate,0.1486,0.03,0.153,4343988.68,0.9835
7622,holding_period_years,3.0,-2.0,0.1145,670558.93,0.3734
7622,holding_period_years,4.0,-1.0,0.1211,1309068.32,0.556
7622,holding_period_years,5.0,0.0,0.1247,1919739.04,0.7565
7622,holding_period_years,6.0,1.0,0.1267,2505612.67,0.9773
7622,holding_period_years,7.0,2.0,0.1279,3069462.89,1.2206
5923,purchase_price,12472200.0,-0.1,0.0248,-3775617.05,0.1232
5923,purchase_price,13165100.0,-0.05,0.0233,-4065926.91,0.1157
5923,purchase_price,13858000.0,0.0,0.0219,-4356236.77,0.1089
5923,purchase_price,14550900.0,0.05,0.0207,-4646546.63,0.1027
5923,purchase_price,15243800.000000002,0.1,0.0196,-4936856.49,0.0971
5923,monthly_rent,38520.0,-0.1,0.019,-4519235.26,0.0944
5923,monthly_rent,40660.0,-0.05,0.0205,-4437736.03,0.1016
5923,monthly_rent,42800.0,0.0,0.0219,-4356236.77,0.1089
5923,monthly_rent,44940.0,0.05,0.0234,-4274737.51,0.1161
5923,monthly_rent,47080.00000000001,0.1,0.0249,-4193238.28,0.1234
5923,vacancy_rate,0.0814,-0.5,0.0248,-4197755.2,0.123
5923,vacancy_rate,0.1628,0.0,0.0219,-4356236.77,0.1089
5923,vacancy_rate,0.2442,0.5,0.0191,-4514718.34,0.0948
5923,vacancy_rate,0.3256,1.0,0.0163,-4673199.92,0.0807
5923,vacancy_rate,0.4884,2.0,0.0106,-4990163.07,0.0525
5923,annual_operating_expenses,42741.0,-0.1,0.0223,-4338234.32,0.1105
5923,annual_operating_expenses,45115.5,-0.05,0.0221,-4347235.55,0.1097
5923,annual_operating_expenses,47490.0,0.0,0.0219,-4356236.77,0.1089
5923,annual_operating_expenses,49864.5,0.05,0.0218,-4365237.99,0.1081
5923,annual_operating_expenses,52239.00000000001,0.1,0.0216,-4374239.22,0.1073
5923,appreciation_rate,-0.016399999999999998,-0.03,-0.0059,-5614630.81,-0.0278
5923,appreciation_rate,-0.0014000000000000002,-0.015,0.008,-5004329.77,0.0385
5923,appreciation_rate,0.0136,0.0,0.0219,-4356236.77,0.1089
5923,appreciation_rate,0.0286,0.015,0.036,-3668623.21,0.1835
5923,appreciation_rate,0.0436,0.03,0.05,-2939708.56,0.2627
5923,holding_period_years,3.0,-2.0,0.0105,-3251373.55,0.0312
5923,holding_period_years,4.0,-1.0,0.0177,-3824706.51,0.0699
5923,holding_period_years,5.0,0.0,0.0219,-4356236.77,0.1089
5923,holding_period_years,6.0,1.0,0.0247,-4848954.11,0.148
5923,holding_period_years,7.0,2.0,0.0267,-5305640.15,0.1873
5342,purchase_price,9376200.0,-0.1,0.1687,3357582.96,1.1116
5342,purchase_price,9897100.0,-0.05,0.1672,3471722.48,1.1026
5342,purchase_price,10418000.0,0.0,0.166,3585862.0,1.0945
5342,purchase_price,10938900.0,0.05,0.1648,3700001.52,1.0872
5342,purchase_price,11459800.0,0.1,0.1638,3814141.05,1.0805
5342,monthly_rent,29250.0,-0.1,0.1633,3442116.51,1.0775
5342,monthly_rent,30875.0,-0.05,0.1646,3513989.26,1.086
5342,monthly_rent,32500.0,0.0,0.166,3585862.0,1.0945
5342,monthly_rent,34125.0,0.05,0.1673,3657734.75,1.103
5342,monthly_rent,35750.0,0.1,0.1687,3729607.5,1.1115
5342,vacancy_rate,0.01385,-0.5,0.1663,3606337.94,1.0969
5342,vacancy_rate,0.0277,0.0,0.166,3585862.0,1.0945
5342,vacancy_rate,0.04155,0.5,0.1656,3565386.07,1.0921
5342,vacancy_rate,0.0554,1.0,0.1652,3544910.14,1.0897
5342,vacancy_rate,0.0831,2.0,0.1644,3503958.27,1.0848
5342,annual_operating_expenses,31905.0,-0.1,0.1662,3599300.34,1.0961
5342,annual_operating_expenses,33677.5,-0.05,0.1661,3592581.17,1.0953
5342,annual_operating_expenses,35450.0,0.0,0.166,3585862.0,1.0945
5342,annual_operating_expenses,37222.5,0.05,0.1658,3579142.84,1.0937
5342,annual_operating_expenses,38995.0,0.1,0.1657,3572423.67,1.0929
5342,appreciation_rate,0.132,-0.03,0.1376,1939442.66,0.8566
5342,appreciation_rate,0.14700000000000002,-0.015,0.1518,2741126.65,0.9725
5342,appreciation_rate,0.162,0.0,0.166,3585862.0,1.0945
5342,appreciation_rate,0.177,0.015,0.1802,4475359.83,1.223
5342,appreciation_rate,0.192,0.03,0.1944,5411376.0,1.3582
5342,holding_period_years,3.0,-2.0,0.156,1742717.13,0.5295
5342,holding_period_years,4.0,-1.0,0.1626,2655844.6,0.7932
5342,holding_period_years,5.0,0.0,0.166,3585862.0,1.0945
5342,holding_period_years,6.0,1.0,0.1679,4536864.7,1.4397
5342,holding_period_years,7.0,2.0,0.1689,5512893.13,1.8358
3559,purchase_price,13428000.0,-0.1,0.1168,1088986.45,0.7054
3559,purchase_price,14174000.0,-0.05,0.1158,1075178.05,0.699
3559,purchase_price,14920000.0,0.0,0.1148,1061369.64,0.6932
3559,purchase_price,15666000.0,0.05,0.1139,1047561.24,0.6879
3559,purchase_price,16412000.000000002,0.1,0.1131,1033752.83,0.6831
3559,monthly_rent,30510.0,-0.1,0.1126,908995.52,0.6806
3559,monthly_rent,32205.0,-0.05,0.1137,985182.59,0.6869
3559,monthly_rent,33900.0,0.0,0.1148,1061369.64,0.6932
3559,monthly_rent,35595.0,0.05,0.1158,1137556.69,0.6995
3559,monthly_rent,37290.0,0.1,0.1169,1213743.76,0.7057
3559,vacancy_rate,0.00595,-0.5,0.1149,1070545.09,0.6939
3559,vacancy_rate,0.0119,0.0,0.1148,1061369.64,0.6932
3559,vacancy_rate,0.01785,0.5,0.1146,1052194.19,0.6924
3559,vacancy_rate,0.0238,1.0,0.1145,1043018.75,0.6916
3559,vacancy_rate,0.0357,2.0,0.1143,1024667.85,0.6901
3559,annual_operating_expenses,44208.0,-0.1,0.115,1079989.99,0.6947
3559,annual_operating_expenses,46664.0,-0.05,0.1149,1070679.82,0.6939
3559,annual_operating_expenses,49120.0,0.0,0.1148,1061369.64,0.6932
3559,annual_operating_expenses,51576.0,0.05,0.1146,1052059.47,0.6924
3559,annual_operating_expenses,54032.00000000001,0.1,0.1145,1042749.3,0.6916
3559,appreciation_rate,0.0856,-0.03,0.0862,-937581.03,0.4915
3559,appreciation_rate,0.1006,-0.015,0.1005,34658.33,0.5896
3559,appreciation_rate,0.1156,0.0,0.1148,1061369.64,0.6932
3559,appreciation_rate,0.1306,0.015,0.1291,2144810.42,0.8025
3559,appreciation_rate,0.1456,0.03,0.1434,3287299.74,0.9177
3559,holding_period_years,3.0,-2.0,0.1039,165605.16,0.338
3559,holding_period_years,4.0,-1.0,0.1109,622907.83,0.5071
3559,holding_period_years,5.0,0.0,0.1148,1061369.64,0.6932
3559,holding_period_years,6.0,1.0,0.1171,1483025.75,0.8982
3559,holding_period_years,7.0,2.0,0.1186,1889730.92,1.1244
1256,purchase_price,5949000.0,-0.1,-0.011,-2497136.41,-0.0508
1256,purchase_price,6279500.0,-0.05,-0.0125,-2671657.55,-0.0578
1256,purchase_price,6610000.0,0.0,-0.0139,-2846178.7,-0.0641
1256,purchase_price,6940500.0,0.05,-0.0151,-3020699.84,-0.0699
1256,purchase_price,7271000.000000001,0.1,-0.0162,-3195220.99,-0.0751
1256,monthly_rent,14310.0,-0.1,-0.0168,-2918506.91,-0.0776
1256,monthly_rent,15105.0,-0.05,-0.0153,-2882342.8,-0.0709
1256,monthly_rent,15900.0,0.0,-0.0139,-2846178.7,-0.0641
1256,monthly_rent,16695.0,0.05,-0.0124,-2810014.59,-0.0574
1256,monthly_rent,17490.0,0.1,-0.0109,-2773850.48,-0.0507
1256,vacancy_rate,0.0,-0.5,-0.0139,-2846178.7,-0.0641
1256,vacancy_rate,0.0,0.0,-0.0139,-2846178.7,-0.0641
1256,vacancy_rate,0.0,0.5,-0.0139,-2846178.7,-0.0641
1256,vacancy_rate,0.0,1.0,-0.0139,-2846178.7,-0.0641
1256,vacancy_rate,0.0,2.0,-0.0139,-2846178.7,-0.0641
1256,annual_operating_expenses,18765.0,-0.1,-0.0135,-2838274.91,-0.0627
1256,annual_operating_expenses,19807.5,-0.05,-0.0137,-2842226.8,-0.0634
1256,annual_operating_expenses,20850.0,0.0,-0.0139,-2846178.7,-0.0641
1256,annual_operating_expenses,21892.5,0.05,-0.014,-2850130.59,-0.0649
1256,annual_operating_expenses,22935.000000000004,0.1,-0.0142,-2854082.49,-0.0656
1256,appreciation_rate,-0.0529,-0.03,-0.0416,-3363365.36,-0.1819
1256,appreciation_rate,-0.0379,-0.015,-0.0278,-3112832.49,-0.1249
1256,appreciation_rate,-0.0229,0.0,-0.0139,-2846178.7,-0.0641
1256,appreciation_rate,-0.0079,0.015,0.0001,-2562638.2,0.0004
1256,appreciation_rate,0.007099999999999999,0.03,0.0141,-2261421.35,0.069
1256,holding_period_years,3.0,-2.0,-0.0258,-2109947.99,-0.0735
1256,holding_period_years,4.0,-1.0,-0.0184,-2501124.14,-0.0691
1256,holding_period_years,5.0,0.0,-0.0139,-2846178.7,-0.0641
1256,holding_period_years,6.0,1.0,-0.0107,-3150484.4,-0.0588
1256,holding_period_years,7.0,2.0,-0.0084,-3418793.72,-0.053
5691,purchase_price,10866600.0,-0.1,0.1517,2831208.6,0.9625
5691,purchase_price,11470300.0,-0.05,0.1502,2899408.1,0.9529
5691,purchase_price,12074000.0,0.0,0.1488,2967607.59,0.9443
5691,purchase_price,12677700.0,0.05,0.1475,3035807.08,0.9365
5691,purchase_price,13281400.000000002,0.1,0.1464,3104006.57,0.9294
5691,monthly_rent,35820.0,-0.1,0.1459,2791411.7,0.9263
5691,monthly_rent,37810.0,-0.05,0.1473,2879509.63,0.9353
5691,monthly_rent,39800.0,0.0,0.1488,2967607.59,0.9443
5691,monthly_rent,41790.0,0.05,0.1503,3055705.54,0.9533
5691,monthly_rent,43780.0,0.1,0.1517,3143803.47,0.9623
5691,vacancy_rate,0.0134,-0.5,0.1492,2991868.02,0.9467
5691,vacancy_rate,0.0268,0.0,0.1488,2967607.59,0.9443
5691,vacancy_rate,0.0402,0.5,0.1484,2943347.16,0.9418
5691,vacancy_rate,0.0536,1.0,0.148,2919086.73,0.9393
5691,vacancy_rate,0.0804,2.0,0.1472,2870565.87,0.9344
5691,annual_operating_expenses,37593.0,-0.1,0.1491,2983441.7,0.9459
5691,annual_operating_expenses,39681.5,-0.05,0.1489,2975524.65,0.9451
5691,annual_operating_expenses,41770.0,0.0,0.1488,2967607.59,0.9443
5691,annual_operating_expenses,43858.5,0.05,0.1487,2959690.53,0.9435
5691,annual_operating_expenses,45947.00000000001,0.1,0.1485,2951773.47,0.9427
5691,appreciation_rate,0.1122,-0.03,0.1206,1187842.06,0.7224
5691,appreciation_rate,0.12719999999999998,-0.015,0.1347,2054047.22,0.8304
5691,appreciation_rate,0.1422,0.0,0.1488,2967607.59,0.9443
5691,appreciation_rate,0.1572,0.015,0.1629,3930438.82,1.0643
5691,appreciation_rate,0.1722,0.03,0.1771,4944507.58,1.1907
5691,holding_period_years,3.0,-2.0,0.1389,1380081.56,0.463
5691,holding_period_years,4.0,-1.0,0.1454,2177229.56,0.6899
5691,holding_period_years,5.0,0.0,0.1488,2967607.59,0.9443
5691,holding_period_years,6.0,1.0,0.1506,3754351.51,1.2302
5691,holding_period_years,7.0,2.0,0.1517,4540408.81,1.5521
5354,purchase_price,8899200.0,-0.1,0.0262,-2681972.27,0.132
5354,purchase_price,9393600.0,-0.05,0.025,-2876211.04,0.126
5354,purchase_price,9888000.0,0.0,0.024,-3070449.81,0.1207
5354,purchase_price,10382400.0,0.05,0.023,-3264688.58,0.1159
5354,purchase_price,10876800.0,0.1,0.0221,-3458927.35,0.1115
5354,monthly_rent,19530.0,-0.1,0.0216,-3164482.93,0.109
5354,monthly_rent,20615.0,-0.05,0.0228,-3117466.37,0.1148
5354,monthly_rent,21700.0,0.0,0.024,-3070449.81,0.1207
5354,monthly_rent,22785.0,0.05,0.0251,-3023433.25,0.1266
5354,monthly_rent,23870.000000000004,0.1,0.0263,-2976416.69,0.1324
5354,vacancy_rate,0.0237,-0.5,0.0245,-3047055.04,0.1236
5354,vacancy_rate,0.0474,0.0,0.024,-3070449.81,0.1207
5354,vacancy_rate,0.0711,0.5,0.0234,-3093844.57,0.1178
5354,vacancy_rate,0.0948,1.0,0.0228,-3117239.34,0.1149
5354,vacancy_rate,0.1422,2.0,0.0216,-3164028.87,0.109
5354,annual_operating_expenses,29916.0,-0.1,0.0243,-3057849.23,0.1223
5354,annual_operating_expenses,31578.0,-0.05,0.0241,-3064149.52,0.1215
5354,annual_operating_expenses,33240.0,0.0,0.024,-3070449.81,0.1207
5354,annual_operating_expenses,34902.0,0.05,0.0238,-3076750.1,0.1199
5354,annual_operating_expenses,36564.0,0.1,0.0236,-3083050.38,0.1191
5354,appreciation_rate,-0.008399999999999998,-0.03,-0.0043,-3997456.59,-0.0204
5354,appreciation_rate,0.006600000000000002,-0.015,0.0098,-3547762.53,0.048
5354,appreciation_rate,0.0216,0.0,0.024,-3070449.81,0.1207
5354,appreciation_rate,0.0366,0.015,0.0381,-2564265.34,0.1977
5354,appreciation_rate,0.0516,0.03,0.0523,-2027918.69,0.2794
5354,holding_period_years,3.0,-2.0,0.0126,-2283486.19,0.0374
5354,holding_period_years,4.0,-1.0,0.0197,-2690014.64,0.0788
5354,holding_period_years,5.0,0.0,0.024,-3070449.81,0.1207
5354,holding_period_years,6.0,1.0,0.0267,-3426389.51,0.163
5354,holding_period_years,7.0,2.0,0.0286,-3759341.5,0.2058
7672,purchase_price,18337500.0,-0.1,0.1229,2014768.4,0.7394
7672,purchase_price,19356250.0,-0.05,0.1214,1990162.56,0.7307
7672,purchase_price,20375000.0,0.0,0.1201,1965556.72,0.7228
7672,purchase_price,21393750.0,0.05,0.1189,1940950.88,0.7158
7672,purchase_price,22412500.0,0.1,0.1178,1916345.05,0.7093
7672,monthly_rent,54180.0,-0.1,0.1173,1694667.82,0.7065
7672,monthly_rent,57190.0,-0.05,0.1187,1830112.29,0.7147
7672,monthly_rent,60200.0,0.0,0.1201,1965556.72,0.7228
7672,monthly_rent,63210.0,0.05,0.1215,2101001.16,0.731
7672,monthly_rent,66220.0,0.1,0.1229,2236445.62,0.7392
7672,vacancy_rate,0.0054,-0.5,0.1202,1980344.43,0.7237
7672,vacancy_rate,0.0108,0.0,0.1201,1965556.72,0.7228
7672,vacancy_rate,0.0162,0.5,0.1199,1950769.01,0.722
7672,vacancy_rate,0.0216,1.0,0.1198,1935981.31,0.7211
7672,vacancy_rate,0.0324,2.0,0.1195,1906405.89,0.7193
7672,annual_operating_expenses,59643.0,-0.1,0.1204,1990678.26,0.7244
7672,annual_operating_expenses,62956.5,-0.05,0.1202,1978117.49,0.7236
7672,annual_operating_expenses,66270.0,0.0,0.1201,1965556.72,0.7228
7672,annual_operating_expenses,69583.5,0.05,0.12,1952995.95,0.7221
7672,annual_operating_expenses,72897.0,0.1,0.1198,1940435.18,0.7213
7672,appreciation_rate,0.0844,-0.03,0.0919,-752359.85,0.5221
7672,appreciation_rate,0.0994,-0.015,0.106,569526.07,0.6197
7672,appreciation_rate,0.1144,0.0,0.1201,1965556.72,0.7228
7672,appreciation_rate,0.12940000000000002,0.015,0.1342,3438808.38,0.8317
7672,appreciation_rate,0.1444,0.03,0.1484,4992441.23,0.9464
7672,holding_period_years,3.0,-2.0,0.1098,573034.56,0.3568
7672,holding_period_years,4.0,-1.0,0.1165,1287644.67,0.5315
7672,holding_period_years,5.0,0.0,0.1201,1965556.72,0.7228
7672,holding_period_years,6.0,1.0,0.1222,2610476.94,0.9327
7672,holding_period_years,7.0,2.0,0.1234,3225779.47,1.1631
195,purchase_price,12040200.0,-0.1,-0.0164,-5298347.45,-0.0758
195,purchase_price,12709100.0,-0.05,-0.0176,-5651561.35,-0.0815
195,purchase_price,13378000.0,0.0,-0.0187,-6004775.25,-0.0867
195,purchase_price,14046900.0,0.05,-0.0197,-6357989.15,-0.0913
195,purchase_price,14715800.000000002,0.1,-0.0207,-6711203.05,-0.0955
195,monthly_rent,26010.0,-0.1,-0.0212,-6127852.31,-0.098
195,monthly_rent,27455.0,-0.05,-0.02,-6066313.78,-0.0923
195,monthly_rent,28900.0,0.0,-0.0187,-6004775.25,-0.0867
195,monthly_rent,30345.0,0.05,-0.0175,-5943236.72,-0.081
195,monthly_rent,31790.000000000004,0.1,-0.0163,-5881698.18,-0.0753
195,vacancy_rate,0.0319,-0.5,-0.0179,-5962838.08,-0.0828
195,vacancy_rate,0.0638,0.0,-0.0187,-6004775.25,-0.0867
195,vacancy_rate,0.0957,0.5,-0.0196,-6046712.42,-0.0905
195,vacancy_rate,0.1276,1.0,-0.0204,-6088649.59,-0.0944
195,vacancy_rate,0.1914,2.0,-0.0221,-6172523.93,-0.1021
195,annual_operating_expenses,40662.0,-0.1,-0.0184,-5987648.48,-0.0851
195,annual_operating_expenses,42921.0,-0.05,-0.0186,-5996211.86,-0.0859
195,annual_operating_expenses,45180.0,0.0,-0.0187,-6004775.25,-0.0867
195,annual_operating_expenses,47439.0,0.05,-0.0189,-6013338.64,-0.0874
195,annual_operating_expenses,49698.00000000001,0.1,-0.0191,-6021902.02,-0.0882
195,appreciation_rate,-0.0529,-0.03,-0.0468,-7051510.97,-0.2044
195,appreciation_rate,-0.0379,-0.015,-0.0328,-6544456.71,-0.1474
195,appreciation_rate,-0.0229,0.0,-0.0187,-6004775.25,-0.0867
195,appreciation_rate,-0.0079,0.015,-0.0046,-5430916.74,-0.0221
195,appreciation_rate,0.007099999999999999,0.03,0.0095,-4821283.01,0.0465
195,holding_period_years,3.0,-2.0,-0.0305,-4430653.28,-0.087
195,holding_period_years,4.0,-1.0,-0.0232,-5266388.56,-0.0871
195,holding_period_years,5.0,0.0,-0.0187,-6004775.25,-0.0867
195,holding_period_years,6.0,1.0,-0.0157,-6657051.14,-0.0858
195,holding_period_years,7.0,2.0,-0.0134,-7233165.6,-0.0845
6007,purchase_price,19872900.0,-0.1,0.149,4900560.1,0.9439
6007,purchase_price,20976950.0,-0.05,0.1476,5019576.43,0.9349
6007,purchase_price,22081000.0,0.0,0.1463,5138592.77,0.9267
6007,purchase_price,23185050.0,0.05,0.1451,5257609.1,0.9194
6007,purchase_price,24289100.000000004,0.1,0.144,5376625.44,0.9127
6007,monthly_rent,61830.0,-0.1,0.1435,4834486.9,0.9098
6007,monthly_rent,65265.0,-0.05,0.1449,4986539.83,0.9183
6007,monthly_rent,68700.0,0.0,0.1463,5138592.77,0.9267
6007,monthly_rent,72135.0,0.05,0.1476,5290645.7,0.9352
6007,monthly_rent,75570.0,0.1,0.149,5442698.63,0.9437
6007,vacancy_rate,0.01345,-0.5,0.1466,5180625.7,0.9291
6007,vacancy_rate,0.0269,0.0,0.1463,5138592.77,0.9267
6007,vacancy_rate,0.04035,0.5,0.1459,5096559.84,0.9244
6007,vacancy_rate,0.0538,1.0,0.1455,5054526.92,0.9221
6007,vacancy_rate,0.0807,2.0,0.1447,4970461.07,0.9174
6007,annual_operating_expenses,67140.0,-0.1,0.1465,5166872.04,0.9283
6007,annual_operating_expenses,70870.0,-0.05,0.1464,5152732.41,0.9275
6007,annual_operating_expenses,74600.0,0.0,0.1463,5138592.77,0.9267
6007,annual_operating_expenses,78330.0,0.05,0.1461,5124453.14,0.926
6007,annual_operating_expenses,82060.0,0.1,0.146,5110313.5,0.9252
6007,appreciation_rate,0.1112,-0.03,0.118,1895280.23,0.7057
6007,appreciation_rate,0.12619999999999998,-0.015,0.1321,3473749.9,0.8133
6007,appreciation_rate,0.1412,0.0,0.1463,5138592.77,0.9267
6007,appreciation_rate,0.1562,0.015,0.1604,6893306.04,1.0464
6007,appreciation_rate,0.1712,0.03,0.1747,8741480.09,1.1723
6007,holding_period_years,3.0,-2.0,0.1362,2345888.68,0.4536
6007,holding_period_years,4.0,-1.0,0.1428,3747882.08,0.6766
6007,holding_period_years,5.0,0.0,0.1463,5138592.77,0.9267
6007,holding_period_years,6.0,1.0,0.1482,6523397.59,1.2079
6007,holding_period_years,7.0,2.0,0.1493,7907347.53,1.5243
5842,purchase_price,9225900.0,-0.1,0.1195,847915.73,0.7047
5842,purchase_price,9738450.0,-0.05,0.1177,811912.9,0.6941
5842,purchase_price,10251000.0,0.0,0.1161,775910.07,0.6847
5842,purchase_price,10763550.0,0.05,0.1146,739907.24,0.6761
5842,purchase_price,11276100.0,0.1,0.1132,703904.42,0.6683
5842,monthly_rent,32760.0,-0.1,0.1127,612928.15,0.6651
5842,monthly_rent,34580.0,-0.05,0.1144,694419.11,0.6749
5842,monthly_rent,36400.0,0.0,0.1161,775910.07,0.6847
5842,monthly_rent,38220.0,0.05,0.1178,857401.04,0.6945
5842,monthly_rent,40040.0,0.1,0.1194,938892.0,0.7043
5842,vacancy_rate,0.00785,-0.5,0.1163,788908.22,0.6862
5842,vacancy_rate,0.0157,0.0,0.1161,775910.07,0.6847
5842,vacancy_rate,0.023549999999999998,0.5,0.1158,762911.92,0.6831
5842,vacancy_rate,0.0314,1.0,0.1155,749913.76,0.6816
5842,vacancy_rate,0.047099999999999996,2.0,0.115,723917.46,0.6784
5842,annual_operating_expenses,31779.0,-0.1,0.1163,789295.34,0.6863
5842,annual_operating_expenses,33544.5,-0.05,0.1162,782602.7,0.6855
5842,annual_operating_expenses,35310.0,0.0,0.1161,775910.07,0.6847
5842,annual_operating_expenses,37075.5,0.05,0.1159,769217.44,0.6839
5842,annual_operating_expenses,38841.0,0.1,0.1158,762524.8,0.6831
