expense_id,property_id,date,property_tax,maintenance,insurance,management_cost,renovation_cost
66,5394,2026-07-12,24840.0,3000.0,9940.0,3700.0,150000
67,2436,2026-04-28,22970.0,4040.0,9190.0,3380.0,0
68,601,2026-05-24,26300.0,4450.0,10520.0,2820.0,0
69,2364,2026-06-02,32360.0,7190.0,12940.0,3980.0,50000
70,2062,2025-04-21,27750.0,3190.0,11100.0,3140.0,150000
71,242,2026-07-27,28040.0,3660.0,11220.0,2770.0,150000
72,2042,2025-10-31,48160.0,4630.0,19260.0,5620.0,50000
73,2825,2024-12-31,23670.0,2510.0,9470.0,2820.0,300000
74,7514,2026-07-06,20650.0,4590.0,8260.0,1880.0,50000
75,2613,2024-10-12,26540.0,2680.0,10620.0,3060.0,50000
76,7042,2024-12-03,19580.0,3860.0,7830.0,2340.0,0
77,1364,2025-09-16,17360.0,2910.0,6940.0,2050.0,0
78,6236,2026-07-13,37570.0,3520.0,15030.0,5280.0,0
79,5487,2025-08-23,17620.0,3340.0,7050.0,2330.0,300000
80,7100,2024-08-29,15320.0,3690.0,6130.0,1620.0,150000
81,1479,2024-10-27,23380.0,2690.0,9350.0,1530.0,0
82,7596,2024-12-29,24200.0,2950.0,9680.0,2400.0,0
83,2557,2026-01-02,16850.0,2810.0,6740.0,1780.0,50000
84,776,2025-05-03,24450.0,3050.0,9780.0,2170.0,0
85,4015,2025-03-06,29750.0,2950.0,11900.0,3000.0,150000
86,35,2025-03-07,24750.0,3440.0,9900.0,2300.0,0
87,6350,2025-07-12,11490.0,2630.0,4600.0,960.0,150000
88,3153,2025-01-04,26770.0,5950.0,10710.0,3280.0,0
89,1956,2024-12-18,12390.0,2730.0,4960.0,1250.0,150000
90,1586,2025-02-27,28340.0,4910.0,11340.0,2680.0,50000
91,3944,2026-03-28,27590.0,7410.0,11040.0,2840.0,300000
92,7556,2024-11-06,34010.0,7680.0,13600.0,4180.0,50000
93,3074,2026-01-27,44090.0,6730.0,17640.0,4850.0,50000
94,1022,2025-03-29,30850.0,4510.0,12340.0,3820.0,0
95,3462,2025-11-20,23170.0,2120.0,9270.0,2800.0,0
96,2614,2025-10-10,42130.0,4800.0,16850.0,4280.0,0
97,5226,2025-01-10,20980.0,4500.0,8390.0,2140.0,0
98,3844,2024-09-18,28470.0,5130.0,11390.0,3250.0,0
99,7990,2025-06-30,13660.0,3110.0,5470.0,1380.0,50000
100,1501,2026-01-30,17350.0,2250.0,6940.0,2020.0,0
101,4799,2024-12-01,23560.0,2350.0,9420.0,1960.0,50000
102,6546,2025-04-03,20630.0,4230.0,8250.0,2980.0,300000
103,6874,2026-07-30,40220.0,8120.0,16090.0,5500.0,0
104,5676,2025-02-26,17990.0,3230.0,7190.0,1940.0,300000
105,162,2025-06-30,21950.0,3490.0,8780.0,1830.0,0
106,4298,2025-04-10,28680.0,4850.0,11470.0,2330.0,0
107,1982,2026-03-22,37720.0,3960.0,15090.0,4260.0,300000
108,996,2024-10-07,19440.0,4400.0,7780.0,2660.0,150000
109,6414,2024-12-26,23160.0,5440.0,9260.0,2260.0,0
110,4912,2024-09-29,28470.0,4880.0,11390.0,3390.0,0
111,3343,2025-09-09,22120.0,4740.0,8850.0,3090.0,0
112,4552,2024-12-26,51590.0,9420.0,20640.0,6220.0,50000
113,7630,2025-04-09,20910.0,4130.0,8360.0,2340.0,50000
114,3799,2024-12-08,27310.0,5550.0,10920.0,3160.0,300000
115,1276,2025-10-21,18220.0,1460.0,7290.0,2180.0,0
116,1017,2025-07-14,12690.0,2440.0,5070.0,1150.0,0
117,7870,2025-10-11,29660.0,3740.0,11870.0,3580.0,150000
118,6440,2024-11-23,22900.0,4750.0,9160.0,1430.0,0
119,7893,2026-03-05,16040.0,3090.0,6410.0,1550.0,300000
120,6864,2025-01-08,35920.0,5400.0,14370.0,3910.0,0
121,7917,2024-09-11,37510.0,4920.0,15010.0,4160.0,0
122,338,2025-12-10,28520.0,8270.0,11410.0,3920.0,0
123,879,2026-06-29,26920.0,4440.0,10770.0,3260.0,0
124,1077,2025-10-30,15540.0,2750.0,6220.0,1710.0,300000
125,4888,2024-11-15,16130.0,2890.0,6450.0,1930.0,150000
126,3994,2025-01-25,23010.0,2230.0,9210.0,2880.0,300000
127,6361,2025-12-31,25750.0,3820.0,10300.0,3640.0,50000
128,4860,2026-05-12,11180.0,2060.0,4470.0,1340.0,0
129,6332,2026-06-21,27180.0,4520.0,10870.0,2850.0,300000
130,380,2024-10-18,19430.0,2150.0,7770.0,2070.0,0
131,493,2026-04-01,26500.0,3790.0,10600.0,2650.0,150000
132,7209,2026-04-24,24430.0,2260.0,9770.0,1770.0,50000
133,5277,2024-12-11,20210.0,4160.0,8080.0,1600.0,300000
134,2063,2026-01-27,15660.0,3570.0,6270.0,1580.0,150000
135,3885,2026-08-12,15060.0,2770.0,6020.0,1680.0,50000
136,65,2024-10-30,15080.0,1970.0,6030.0,1590.0,300000
137,2569,2025-09-27,29770.0,7970.0,11910.0,4000.0,50000
138,5464,2026-03-11,26580.0,4010.0,10630.0,4060.0,300000
139,5249,2025-04-29,20610.0,2680.0,8240.0,1740.0,0
140,2028,2024-10-19,34740.0,5590.0,13900.0,4020.0,150000
141,2696,2026-06-15,20540.0,2070.0,8220.0,1760.0,0
142,1496,2025-09-18,30870.0,6200.0,12350.0,2820.0,150000
143,7231,2026-05-17,25570.0,3880.0,10230.0,2910.0,0
144,5259,2026-01-07,24190.0,2330.0,9680.0,3300.0,300000
145,5619,2026-06-29,13440.0,2470.0,5380.0,1320.0,0
146,6737,2024-12-12,20370.0,3830.0,8150.0,2420.0,300000
147,392,2024-11-14,35400.0,6890.0,14160.0,3820.0,150000
148,5795,2025-04-16,25770.0,5550.0,10310.0,3420.0,0
149,4515,2025-01-23,26750.0,5530.0,10700.0,3140.0,0
150,6433,2024-10-21,16290.0,2640.0,6520.0,1390.0,300000
151,4475,2026-01-11,9020.0,1740.0,3610.0,920.0,300000
152,5893,2025-01-24,26590.0,3190.0,10630.0,2820.0,50000
153,3562,2025-11-17,36970.0,7230.0,14790.0,3950.0,150000
154,2279,2025-05-02,17940.0,1670.0,7180.0,1220.0,150000
155,7162,2024-09-07,14300.0,2710.0,5720.0,1550.0,50000
156,6185,2025-03-19,16380.0,1930.0,6550.0,1730.0,0
157,3100,2026-05-30,14800.0,2110.0,5920.0,1290.0,50000
158,6279,2025-11-17,16020.0,2200.0,6410.0,1790.0,50000
159,201,2026-05-05,29880.0,5700.0,11950.0,2570.0,0
160,5960,2026-02-03,11900.0,2530.0,4760.0,1700.0,300000
161,4876,2026-05-11,16840.0,3700.0,6740.0,1860.0,150000
162,7074,2024-10-26,13750.0,2880.0,5500.0,2090.0,50000
163,3105,2026-04-15,22280.0,4780.0,8910.0,2730.0,0
164,7216,2025-05-16,17200.0,3100.0,6880.0,1800.0,0
165,4599,2025-02-02,24150.0,3300.0,9660.0,2860.0,150000
166,2455,2025-06-08,35520.0,4720.0,14210.0,3330.0,0
167,3646,2025-11-28,18990.0,2670.0,7590.0,2150.0,0
168,5848,2025-07-06,11160.0,2460.0,4470.0,1250.0,0
169,805,2025-12-09,15190.0,2710.0,6080.0,1610.0,150000
170,6243,2025-09-03,24900.0,4080.0,9960.0,2210.0,0
171,2732,2026-07-18,21160.0,3150.0,8470.0,2030.0,150000
172,5992,2024-11-04,18980.0,3820.0,7590.0,2190.0,0
173,2774,2025-07-24,10520.0,2440.0,4210.0,1340.0,0
174,1571,2024-11-11,26210.0,3890.0,10480.0,2780.0,0
175,5057,2026-01-30,39560.0,7470.0,15820.0,3780.0,50000
176,7907,2026-05-20,11950.0,2810.0,4780.0,1330.0,0
177,6757,2025-04-05,19670.0,1820.0,7870.0,2300.0,0
178,5582,2025-10-26,20220.0,4210.0,8090.0,1610.0,150000
179,2691,2025-06-30,18000.0,3810.0,7200.0,2470.0,0
180,3841,2024-12-15,16630.0,2630.0,6650.0,1480.0,300000
181,1029,2026-06-25,25200.0,4650.0,10080.0,2940.0,0
182,7386,2025-02-20,22580.0,4140.0,9030.0,3100.0,0
183,503,2026-05-10,17300.0,2920.0,6920.0,1880.0,0
184,6911,2025-05-31,43860.0,8140.0,17550.0,5810.0,50000
185,4494,2025-04-07,28870.0,2890.0,11550.0,3470.0,150000
186,871,2025-10-24,38990.0,7920.0,15600.0,4180.0,300000
187,6939,2025-06-09,12960.0,1050.0,5180.0,1590.0,150000
188,4489,2025-08-10,14450.0,2910.0,5780.0,1080.0,50000
189,207,2026-06-28,34930.0,5180.0,13970.0,4050.0,150000
190,5135,2026-03-03,23440.0,3770.0,9380.0,2120.0,0
191,5978,2026-01-02,36130.0,4900.0,14450.0,2420.0,300000
192,7722,2026-04-05,15830.0,4120.0,6330.0,1400.0,150000
193,7036,2025-06-06,48720.0,8570.0,19490.0,4920.0,0
194,1485,2025-10-31,18950.0,1870.0,7580.0,2220.0,300000
195,7859,2025-07-14,25110.0,2220.0,10050.0,3160.0,0
196,7743,2026-01-21,41060.0,4520.0,16430.0,4460.0,150000
197,864,2024-12-14,32860.0,5700.0,13150.0,3340.0,150000
198,2791,2025-11-09,41620.0,6900.0,16650.0,4140.0,0
199,7409,2026-04-17,14960.0,2060.0,5980.0,1410.0,0
200,564,2024-09-26,19580.0,2250.0,7830.0,2730.0,0
201,5117,2025-11-15,21230.0,1740.0,8490.0,2650.0,0
202,4192,2024-11-14,22870.0,4440.0,9150.0,2430.0,0
203,6020,2024-11-15,37540.0,3960.0,15020.0,4540.0,0
204,1758,2024-11-27,21690.0,2360.0,8680.0,2230.0,50000
205,6629,2024-10-17,28620.0,4560.0,11450.0,3150.0,0
206,7575,2026-06-08,27290.0,4370.0,10920.0,2910.0,150000
207,6375,2026-07-11,55070.0,9380.0,22030.0,5610.0,0
208,6893,2025-08-12,13810.0,4230.0,5520.0,1590.0,0
209,1679,2025-03-26,30290.0,2790.0,12120.0,4610.0,150000
210,3243,2025-03-18,27030.0,4870.0,10810.0,3380.0,0
211,4637,2026-06-04,18880.0,2260.0,7550.0,2140.0,150000
212,1060,2025-09-20,27080.0,5200.0,10830.0,2890.0,150000
213,6669,2025-12-13,10720.0,1790.0,4290.0,1110.0,50000
214,5280,2026-03-27,29270.0,5610.0,11710.0,3970.0,0
215,1723,2025-02-03,17450.0,4190.0,6980.0,2300.0,150000
216,3315,2025-03-25,29370.0,4150.0,11750.0,2980.0,0
217,3158,2024-09-24,17150.0,1720.0,6860.0,1670.0,150000
218,5916,2024-11-26,16580.0,2550.0,6630.0,2160.0,0
219,2626,2026-01-31,13200.0,3040.0,5280.0,1620.0,0
220,2730,2025-07-23,23410.0,4500.0,9360.0,2500.0,0
221,6701,2024-08-21,24180.0,5300.0,9670.0,1820.0,50000
222,1598,2024-09-21,12130.0,2310.0,4850.0,1560.0,50000
223,3061,2026-06-20,27700.0,5780.0,11080.0,3420.0,0
224,2694,2025-10-06,25480.0,4080.0,10190.0,2260.0,0
225,4892,2025-08-07,24360.0,2710.0,9740.0,2270.0,50000
226,5148,2026-07-13,14130.0,2110.0,5650.0,1020.0,300000
227,5740,2025-11-21,32240.0,5300.0,12900.0,2580.0,0
228,3628,2025-06-19,31650.0,4350.0,12660.0,3470.0,0
229,1364,2025-02-01,17360.0,2600.0,6940.0,2050.0,0
230,7966,2024-11-18,26350.0,5050.0,10540.0,2610.0,0
231,1982,2024-11-21,37720.0,6150.0,15090.0,4260.0,150000
232,5451,2025-04-06,20010.0,2210.0,8000.0,3260.0,0
233,1664,2026-07-11,34730.0,5170.0,13890.0,3940.0,150000
234,1530,2026-06-21,30580.0,4130.0,12230.0,2390.0,0
235,2039,2026-04-18,19410.0,3790.0,7760.0,2060.0,0
236,7516,2025-07-15,22490.0,3470.0,9000.0,2390.0,150000
237,5593,2024-11-08,20910.0,3950.0,8360.0,2190.0,50000
238,3303,2025-06-04,27500.0,5390.0,11000.0,2600.0,150000
239,2238,2026-06-20,38130.0,4050.0,15250.0,4930.0,0
240,7393,2025-07-02,13380.0,2240.0,5350.0,1530.0,0
241,5505,2026-05-16,23910.0,3490.0,9570.0,2430.0,300000
242,5497,2026-07-13,36160.0,7060.0,14460.0,4570.0,300000
243,1307,2024-10-06,29510.0,4540.0,11800.0,3280.0,150000
244,4030,2025-06-09,21900.0,2480.0,8760.0,2100.0,0
245,6777,2026-08-13,27170.0,5890.0,10870.0,1830.0,50000
246,2676,2024-09-25,25380.0,4420.0,10150.0,2700.0,150000
247,5069,2025-03-01,32210.0,4040.0,12880.0,2700.0,300000
248,5865,2025-04-23,15130.0,2130.0,6050.0,1700.0,0
249,1283,2025-09-24,27650.0,3220.0,11060.0,2360.0,0
250,7527,2025-12-28,28290.0,3520.0,11310.0,3390.0,0
251,710,2026-02-16,21630.0,6200.0,8650.0,1190.0,50000
252,5576,2025-09-05,16270.0,3390.0,6510.0,2390.0,50000
253,5531,2025-12-09,24480.0,4600.0,9790.0,2580.0,0
254,4745,2026-03-16,35060.0,4740.0,14030.0,4220.0,150000
255,4414,2026-03-27,27480.0,3150.0,10990.0,3240.0,300000
256,3749,2025-03-01,45770.0,8640.0,18310.0,4460.0,150000
257,7393,2024-11-26,13380.0,3130.0,5350.0,1530.0,0
258,7987,2025-04-25,28200.0,4880.0,11280.0,2860.0,300000
259,5354,2026-06-08,19780.0,3460.0,7910.0,1740.0,0
260,4780,2026-02-05,9570.0,2640.0,3830.0,1060.0,0
261,664,2026-02-15,19680.0,4420.0,7870.0,2470.0,50000
262,1999,2025-08-27,27890.0,4240.0,11160.0,2580.0,0
263,7995,2025-03-20,12820.0,3530.0,5130.0,1620.0,50000
264,3446,2025-05-04,13240.0,2160.0,5300.0,1450.0,50000
265,3744,2025-08-21,13730.0,3550.0,5490.0,2120.0,50000
266,5728,2025-10-01,23860.0,3150.0,9550.0,2390.0,300000
267,1496,2026-08-12,30870.0,5210.0,12350.0,2820.0,0
268,3305,2025-03-21,34860.0,7440.0,13940.0,2810.0,150000
269,3764,2024-11-04,35070.0,5460.0,14030.0,3900.0,300000
270,5233,2025-06-19,21410.0,4490.0,8560.0,1880.0,0
271,1854,2026-05-27,22670.0,3750.0,9070.0,1800.0,50000
272,5617,2025-08-14,16340.0,2570.0,6540.0,1270.0,0
273,6586,2025-06-18,23450.0,3570.0,9380.0,2270.0,0
274,4660,2026-07-12,21060.0,2140.0,8420.0,3120.0,0
275,1292,2025-07-10,25410.0,3850.0,10160.0,2550.0,300000
276,3582,2026-07-30,26400.0,3180.0,10560.0,1920.0,0
277,7975,2026-07-13,27700.0,3230.0,11080.0,3260.0,0
278,3458,2025-04-26,17660.0,2660.0,7070.0,2210.0,0
279,7555,2024-12-22,27400.0,3920.0,10960.0,2520.0,0
280,7281,2026-04-23,22340.0,4010.0,8940.0,2540.0,0
281,1637,2024-10-25,36450.0,5650.0,14580.0,4060.0,150000
282,3697,2025-07-25,43620.0,5400.0,17450.0,5770.0,0
283,3000,2025-09-17,25600.0,6020.0,10240.0,2280.0,50000
284,3153,2025-01-21,26770.0,7330.0,10710.0,3280.0,50000
285,699,2024-12-30,25730.0,7230.0,10290.0,3500.0,150000
286,2161,2024-10-15,38580.0,8770.0,15430.0,3930.0,150000
287,4098,2025-05-23,15460.0,3180.0,6180.0,1880.0,150000
288,4738,2025-09-16,27300.0,4330.0,10920.0,3910.0,50000
289,6364,2024-11-06,14580.0,2940.0,5830.0,1710.0,50000
290,5686,2025-06-16,31550.0,2640.0,12620.0,4080.0,0
291,855,2025-05-16,21950.0,5900.0,8780.0,2500.0,300000
292,5856,2026-04-30,31160.0,4420.0,12460.0,3520.0,0
293,7393,2025-05-31,13380.0,3310.0,5350.0,1530.0,0
294,6529,2025-03-24,29470.0,3820.0,11790.0,4320.0,0
295,3475,2026-07-24,19210.0,2710.0,7680.0,1690.0,0
296,5758,2025-09-08,14680.0,3140.0,5870.0,2620.0,0
297,5250,2025-04-25,32580.0,6890.0,13030.0,3640.0,50000
298,5173,2026-02-15,30740.0,4130.0,12290.0,2840.0,150000
299,1708,2025-10-24,29980.0,5080.0,11990.0,3790.0,150000
300,2778,2026-06-21,22480.0,4080.0,8990.0,2470.0,300000
301,5792,2024-10-04,20990.0,2750.0,8400.0,2300.0,0
302,1734,2025-03-18,20410.0,4720.0,8160.0,2740.0,50000
303,5536,2025-12-09,11670.0,3510.0,4670.0,1110.0,300000
304,6391,2025-05-21,12870.0,1750.0,5150.0,1350.0,150000
305,4932,2026-08-09,37540.0,5540.0,15020.0,4090.0,0
306,3511,2026-02-17,30570.0,5570.0,12230.0,3200.0,50000
307,203,2025-09-28,34850.0,6260.0,13940.0,3620.0,50000
308,3256,2025-07-02,17120.0,3790.0,6850.0,1410.0,0
309,4219,2026-01-11,11590.0,2610.0,4630.0,1340.0,50000
310,4497,2025-03-28,14530.0,1260.0,5810.0,1290.0,0
311,767,2026-04-08,34020.0,5670.0,13610.0,3250.0,150000
312,4390,2024-12-30,23720.0,3050.0,9490.0,2460.0,150000
313,2328,2025-05-08,26870.0,4800.0,10750.0,2990.0,300000
314,2932,2025-01-01,17620.0,5010.0,7050.0,1750.0,150000
315,7778,2026-05-20,34290.0,5050.0,13720.0,3110.0,50000
316,198,2025-11-28,55320.0,5690.0,22130.0,3780.0,0
317,7126,2024-08-27,25320.0,5750.0,10130.0,1350.0,0
318,1931,2024-08-31,21570.0,3560.0,8630.0,1700.0,0
319,3583,2024-11-26,13170.0,3530.0,5270.0,1580.0,0
320,6896,2024-10-18,32660.0,7950.0,13060.0,3220.0,300000
321,6288,2025-01-19,26290.0,6720.0,10510.0,3210.0,0
322,609,2024-12-30,13340.0,1710.0,5330.0,1060.0,0
323,3273,2026-06-23,32550.0,3670.0,13020.0,3960.0,50000
324,1148,2026-05-04,13800.0,3650.0,5520.0,1490.0,0
325,4283,2025-04-15,24100.0,3380.0,9640.0,2810.0,50000
326,3398,2026-07-10,30400.0,5840.0,12160.0,3360.0,0
327,2512,2025-06-09,37800.0,4480.0,15120.0,2920.0,50000
328,7517,2025-08-24,16420.0,2070.0,6570.0,1900.0,150000
329,1795,2024-10-30,12140.0,1820.0,4850.0,1680.0,300000
330,660,2025-11-20,17410.0,3670.0,6960.0,2350.0,0
331,2812,2024-08-26,29600.0,4980.0,11840.0,4110.0,300000
332,7099,2025-09-24,28160.0,4440.0,11260.0,1500.0,50000
333,6052,2026-07-25,26920.0,4210.0,10770.0,3140.0,0
334,6547,2026-02-01,31150.0,4030.0,12460.0,3180.0,300000
335,1370,2025-07-26,26350.0,4550.0,10540.0,2630.0,300000
336,1987,2024-12-10,32180.0,3850.0,12870.0,4040.0,0
337,5631,2024-11-10,35860.0,5280.0,14340.0,4680.0,0
338,147,2025-11-24,31930.0,4350.0,12770.0,2960.0,0
339,3220,2025-04-03,29030.0,5140.0,11610.0,3700.0,0
340,2912,2024-11-12,28710.0,4040.0,11480.0,3650.0,0
341,1735,2024-12-21,103350.0,5140.0,41340.0,4470.0,0
342,1844,2026-03-03,25490.0,3000.0,10200.0,3100.0,0
343,489,2025-05-20,18710.0,2460.0,7480.0,2450.0,0
344,2977,2024-11-18,17990.0,3210.0,7190.0,1780.0,0
345,1960,2025-05-19,39910.0,4360.0,15960.0,5300.0,300000
346,5760,2025-11-22,25780.0,4960.0,10310.0,3680.0,0
347,6695,2025-02-11,26900.0,4750.0,10760.0,2420.0,0
348,2386,2026-01-19,32890.0,4590.0,13160.0,3350.0,50000
349,2920,2026-08-02,9230.0,1740.0,3690.0,940.0,300000
350,4737,2024-09-05,24310.0,5440.0,9720.0,2180.0,0
351,1803,2024-10-27,20080.0,4030.0,8030.0,2340.0,300000
352,6617,2026-05-13,5820.0,1350.0,2330.0,700.0,0
353,6066,2025-12-26,27760.0,7210.0,11100.0,2790.0,0
354,6295,2026-03-18,16890.0,3080.0,6760.0,2320.0,150000
355,5535,2025-07-02,22020.0,2580.0,8810.0,2540.0,0
356,4062,2025-11-07,23130.0,5470.0,9250.0,2190.0,0
357,3370,2026-07-02,24130.0,4680.0,9650.0,2710.0,300000
358,5731,2025-11-10,17380.0,2130.0,6950.0,1680.0,0
359,263,2025-12-20,32300.0,2840.0,12920.0,2620.0,300000
360,5884,2025-07-28,14220.0,4230.0,5690.0,1430.0,0
361,6288,2025-03-14,26290.0,5410.0,10510.0,3210.0,50000
362,6490,2026-04-03,17220.0,2400.0,6890.0,2500.0,150000
363,624,2025-09-17,34900.0,6940.0,13960.0,5180.0,300000
364,1017,2024-12-20,12690.0,1350.0,5070.0,1150.0,0
365,3644,2026-01-26,16520.0,2530.0,6610.0,1620.0,0
366,4977,2025-02-03,19400.0,3440.0,7760.0,1850.0,50000
367,2050,2026-04-24,11540.0,1990.0,4620.0,1320.0,300000
368,7041,2024-12-13,25710.0,4330.0,10290.0,2860.0,50000
369,5424,2025-04-09,21140.0,3520.0,8460.0,1780.0,300000
370,6398,2025-08-31,24610.0,3430.0,9850.0,2910.0,150000
371,3724,2025-02-20,19360.0,3950.0,7750.0,2400.0,300000
372,4549,2025-05-19,20170.0,3500.0,8070.0,2180.0,0
373,3109,2025-07-01,20010.0,3100.0,8000.0,1770.0,150000
374,5280,2026-03-28,29270.0,3030.0,11710.0,3970.0,150000
375,4091,2025-01-22,36460.0,5370.0,14580.0,3460.0,0
376,7159,2025-12-18,39960.0,5170.0,15980.0,5020.0,0
377,2057,2025-08-31,22710.0,2300.0,9080.0,2780.0,0
378,7401,2025-06-01,12480.0,2170.0,4990.0,1740.0,0
379,3171,2025-07-14,27300.0,4090.0,10920.0,2630.0,50000
380,1683,2025-10-19,26100.0,3820.0,10440.0,3100.0,300000
381,6960,2024-10-09,32570.0,6700.0,13030.0,4120.0,50000
382,2256,2026-02-16,25540.0,2970.0,10210.0,3210.0,0
383,1155,2025-11-08,30840.0,7180.0,12340.0,3720.0,0
384,4500,2026-05-02,39010.0,5980.0,15600.0,5440.0,300000
385,6296,2025-04-07,39940.0,3930.0,15980.0,4330.0,50000
386,6198,2025-04-12,28950.0,5540.0,11580.0,3600.0,0
387,3192,2024-11-01,26460.0,4880.0,10590.0,3260.0,0
388,1697,2026-03-20,25530.0,5080.0,10210.0,3210.0,0
389,3992,2025-06-28,32740.0,4990.0,13100.0,4580.0,0
390,4724,2026-01-11,24790.0,2330.0,9920.0,2770.0,300000
391,4683,2026-03-22,40970.0,5930.0,16390.0,4770.0,300000
392,1649,2025-04-03,27870.0,6590.0,11150.0,2820.0,0
393,5540,2025-12-04,15640.0,2850.0,6260.0,1680.0,0
394,1446,2026-06-16,27850.0,5650.0,11140.0,3090.0,50000
395,4200,2024-11-12,26470.0,2770.0,10590.0,2980.0,50000
396,3924,2025-11-25,12860.0,2750.0,5140.0,1400.0,150000
397,254,2025-03-19,26140.0,5620.0,10460.0,2720.0,150000
398,7395,2025-03-03,41850.0,7250.0,16740.0,5380.0,300000
399,3184,2024-11-27,36200.0,6980.0,14480.0,4450.0,0
400,2558,2026-07-22,6860.0,1360.0,2740.0,980.0,0
401,5593,2025-02-24,20910.0,4050.0,8360.0,2190.0,0
402,99,2025-05-19,30020.0,4260.0,12010.0,2240.0,0
403,2201,2026-07-12,19490.0,3300.0,7790.0,1980.0,300000
404,5981,2025-10-17,47570.0,9220.0,19030.0,6150.0,0
